"","m1p","m2p","mbp","nm1m2p"
"1953.1",6.18175,6.71206,5.04728,5.82431
"1953.2",6.1876,6.72621,5.05057,5.85018
"1953.3",6.18533,6.73401,5.0533,5.87195
"1953.4",6.19516,6.75341,5.06267,5.90429
"1954.1",6.18294,6.75076,5.05218,5.91429
"1954.2",6.18019,6.76099,5.04592,5.94126
"1954.3",6.1903,6.77888,5.04347,5.96895
"1954.4",6.1933,6.78676,5.04726,5.98288
"1955.1",6.1936,6.79142,5.04005,5.99288
"1955.2",6.1881,6.79237,5.02488,6.00167
"1955.3",6.18522,6.79614,5.01995,6.01339
"1955.4",6.17991,6.79902,5.01908,6.02592
"1956.1",6.17647,6.80132,5.01584,6.03487
"1956.2",6.17109,6.80478,5.00944,6.04841
"1956.3",6.16108,6.80449,5.00352,6.05901
"1956.4",6.15822,6.8089,4.99168,6.07139
"1957.1",6.14652,6.80804,4.97848,6.08223
"1957.2",6.14337,6.81614,4.97978,6.10219
"1957.3",6.13301,6.81713,4.97342,6.11486
"1957.4",6.12481,6.82217,4.97,6.13322
"1958.1",6.11648,6.8294,4.96161,6.15563
"1958.2",6.12465,6.851,4.97237,6.18998
"1958.3",6.13154,6.86756,4.97133,6.21553
"1958.4",6.13762,6.87708,4.96695,6.2282
"1959.1",6.13444,6.85983,4.96703,6.19791
"1959.2",6.13617,6.86805,4.96654,6.2122
"1959.3",6.1367,6.87476,4.96305,6.22458
"1959.4",6.12795,6.87858,4.96305,6.23978
"1960.1",6.11534,6.87396,4.95405,6.24227
"1960.2",6.1132,6.88186,4.95023,6.25892
"1960.3",6.11923,6.89629,4.95385,6.28056
"1960.4",6.119,6.91098,4.96291,6.30776
"1961.1",6.12372,6.92798,4.96368,6.33482
"1961.2",6.1248,6.93982,4.95799,6.3553
"1961.3",6.12423,6.95006,4.95983,6.37403
"1961.4",6.13325,6.96771,4.97315,6.39835
"1962.1",6.13018,6.97878,4.96948,6.42014
"1962.2",6.1305,6.99304,4.97409,6.44471
"1962.3",6.12936,7.00866,4.98057,6.47238
"1962.4",6.1259,7.01922,4.97979,6.49278
"1963.1",6.13271,7.0381,4.98873,6.51994
"1963.2",6.14207,7.05951,5.00062,6.54946
"1963.3",6.14913,7.07653,5.01064,6.57303
"1963.4",6.15282,7.08999,5.01539,6.59285
"1964.1",6.15605,7.10324,5.02515,6.6125
"1964.2",6.1601,7.11698,5.03539,6.63233
"1964.3",6.17042,7.13308,5.04376,6.65201
"1964.4",6.18019,7.15096,5.05496,6.67487
"1965.1",6.17565,7.1585,5.05381,6.6897
"1965.2",6.17865,7.1718,5.06282,6.70911
"1965.3",6.18101,7.18192,5.06764,6.72378
"1965.4",6.19327,7.19851,5.07774,6.74288
"1966.1",6.19864,7.20553,5.08239,6.75085
"1966.2",6.20091,7.20857,5.08625,6.75432
"1966.3",6.18922,7.206,5.08709,6.75696
"1966.4",6.18061,7.20497,5.08102,6.7602
"1967.1",6.18485,7.21506,5.09046,6.77355
"1967.2",6.1988,7.23881,5.10302,6.80271
"1967.3",6.2122,7.25769,5.11043,6.82457
"1967.4",6.21717,7.26712,5.11873,6.8364
"1968.1",6.21155,7.26487,5.11437,6.83597
"1968.2",6.2178,7.27085,5.11707,6.84181
"1968.3",6.2265,7.27996,5.12597,6.85112
"1968.4",6.23212,7.28643,5.12993,6.85805
"1969.1",6.23692,7.29022,5.13228,6.86131
"1969.2",6.23234,7.28677,5.12708,6.85846
"1969.3",6.22157,7.27843,5.11898,6.85142
"1969.4",6.21723,7.27614,5.11698,6.85022
"1970.1",6.21121,7.26398,5.11016,6.83478
"1970.2",6.20373,7.25682,5.11025,6.82779
"1970.3",6.2097,7.27007,5.12166,6.84492
"1970.4",6.21554,7.28498,5.12718,6.86461
"1971.1",6.21645,7.30039,5.1338,6.88751
"1971.2",6.21867,7.32133,5.13349,6.91788
"1971.3",6.22455,7.33855,5.14292,6.94069
"1971.4",6.22048,7.35247,5.14128,6.96329
"1972.1",6.22935,7.3711,5.14865,6.98652
"1972.2",6.23861,7.39033,5.16096,7.0104
"1972.3",6.24609,7.41002,5.16488,7.03569
"1972.4",6.25778,7.42968,5.1767,7.05894
"1973.1",6.26287,7.43932,5.18327,7.07062
"1973.2",6.25396,7.43542,5.18193,7.06894
"1973.3",6.24546,7.43023,5.17878,7.06521
"1973.4",6.2342,7.4201,5.17146,7.05558
"1974.1",6.23721,7.4253,5.17908,7.06174
"1974.2",6.22512,7.41688,5.18065,7.05493
"1974.3",6.20089,7.39435,5.16513,7.03313
"1974.4",6.1859,7.38208,5.15876,7.02204
"1975.1",6.16741,7.3757,5.15007,7.02087
"1975.2",6.16648,7.39615,5.15383,7.05028
"1975.3",6.16346,7.40996,5.15175,7.07098
"1975.4",6.15355,7.41622,5.14952,7.08368
"1976.1",6.15541,7.43584,5.15447,7.11022
"1976.2",6.15822,7.45355,5.1638,7.1336
"1976.3",6.1547,7.46629,5.16553,7.15241
"1976.4",6.15674,7.48559,5.16737,7.178
"1977.1",6.16299,7.50184,5.16855,7.19783
"1977.2",6.16066,7.50915,5.16813,7.20854
"1977.3",6.16598,7.52125,5.17897,7.22301
"1977.4",6.16999,7.52588,5.18226,7.22785
"1978.1",6.17452,7.52974,5.19306,7.23148
"1978.2",6.17229,7.52309,5.19026,7.22329
"1978.3",6.17449,7.52488,5.19408,7.22493
"1978.4",6.17214,7.52591,5.19529,7.22715
"1979.1",6.16108,7.51944,5.19018,7.22227
"1979.2",6.15703,7.51851,5.18598,7.22242
"1979.3",6.17058,7.52491,5.18954,7.22634
"1979.4",6.16154,7.51976,5.19112,7.22254
"1980.1",6.15139,7.51497,5.18829,7.2196
"1980.2",6.11344,7.50163,5.17876,7.21458
"1980.3",6.13891,7.5163,5.18457,7.22564
"1980.4",6.13926,7.51125,5.17765,7.21876
"1981.1",6.11922,7.50145,5.15698,7.21241
"1981.2",6.11989,7.5088,5.16005,7.22199
