"","lrm1","lny","lnmr","difp"
"1",2.848664,3.836539,0.1731126,0.01481509
"2",2.82801,3.902982,0.1012019,0
"3",2.908186,3.89688,0.1320803,0
"4",2.934326,3.847045,0.06999237,0
"5",2.986127,3.916454,0.06531947,0
"6",3.006543,3.986216,0.06531947,0.0145988
"7",3.016235,3.984211,0.06531947,0.01438874
"8",2.95403,3.956458,0.06531947,0.01418463
"9",3.00275,3.990079,0.1612681,0
"10",3.041873,4.048979,0.243495,0.01398624
"11",3.033884,4.053306,0.1633086,0
"12",3.058968,4.066436,0.1101092,0
"13",3.03522,4.088541,0.1224831,0
"14",3.087247,4.146216,0.1173385,0
"15",3.100822,4.125302,0.1476438,0.02739897
"16",3.05858,4.108145,0.1752969,0
"17",3.039497,4.095878,0.2291256,0.02666825
"18",3.07537,4.157463,0.242397,0
"19",3.107436,4.159411,0.2403546,0.01307208
"20",3.137721,4.100841,0.210909,0.0129034
"21",3.127759,4.169761,0.1712606,0.01273903
"22",3.128404,4.199699,0.1891316,0.01257878
"23",3.199932,4.197109,0.1706706,0.01242252
"24",3.068053,4.178529,0.1367138,0.05989814
"25",3.072799,4.178418,0.1686451,0.02298952
"26",3.084895,4.192901,0.1779788,0.01129956
"27",3.135006,4.260383,0.1972102,0
"28",3.099091,4.222265,0.1833211,0.0111733
"29",3.090548,4.219907,0.1354046,0.02197891
"30",3.078614,4.276832,0.06765865,0
"31",3.110883,4.293151,0.06765865,0.01081092
"32",3.024568,4.199678,0.06765865,0.01069529
"33",3.083357,4.276213,0.1153802,0.01058211
"34",3.04108,4.299289,0.2200187,0.02083409
"35",3.117137,4.341603,0.2944591,0.0102565
"36",3.026565,4.293609,0.06765865,0.01015237
"37",3.046901,4.315433,0.1218636,0.01005034
"38",2.99375,4.32215,0.09184965,0.009950331
"39",3.006729,4.312939,0.1208893,0.02927038
"40",2.991557,4.30584,0.09166719,0.03774033
"41",3.047116,4.333206,0.06765865,0.01834914
"42",3.073535,4.380844,0.06765865,0
"43",3.180678,4.3923,0.06765865,0.009049836
"44",3.135102,4.420402,0.06765865,0
"45",3.193558,4.4441,0.06765865,0.00896867
"46",3.196119,4.489679,0.06765865,0
"47",3.333479,4.518776,0.0719485,0
"48",3.411379,4.490783,0.08231704,0.01769958
"49",3.459963,4.536882,0.1513468,0
"50",3.451505,4.561972,0.2311117,0.00873368
"51",3.530157,4.619116,0.1854001,0.008658063
"52",3.297392,4.51013,0.07927318,0.0255333
"53",3.280233,4.575117,0.1179608,0.02489755
"54",3.307619,4.569593,0.09285262,0.02429269
"55",3.451498,4.631627,0.08157999,0.00796817
"56",3.437284,4.60271,0.07464354,0.00790518
"57",3.485342,4.62328,0.07464354,0.03101024
"58",3.500827,4.64374,0.07464354,0.01515181
"59",3.606705,4.715684,0.07464354,0.01492565
"60",3.508857,4.689491,0.07464354,0.02919915
"61",3.580815,4.691851,0.07464354,0.03533937
"62",3.494112,4.703741,0.09558287,0.05406722
"63",3.66848,4.80992,0.2311117,0.02597549
"64",3.49595,4.745103,0.1684761,0.04389419
"65",3.553317,4.809414,0.1478164,0.03614851
"66",3.536008,4.751507,0.08993211,0.05748709
"67",3.689291,4.880777,0.1377599,0.01662088
"68",3.64695,4.762205,0.1298873,0.0586835
"69",3.66369,4.81644,0.1754648,0.03562718
"70",3.565684,4.757928,0.1619488,0.04401689
"71",3.783132,4.807621,0.2462349,0.02830378
"72",3.641322,4.695385,0.1785645,0.04546237
"73",3.6362,4.77279,0.1779788,0.01324523
"74",3.580232,4.766532,0.1593941,0.03871451
"75",3.647325,4.842663,0.1674617,0.02087759
"76",3.629197,4.695384,0.1413259,0.04049136
"77",3.64542,4.732926,0.1524635,0.03509132
"78",3.585797,4.729782,0.1655144,0.02646657
"79",3.595339,4.801802,0.18057,0.01113184
"80",3.599353,4.698796,0.1707549,0.01465228
"81",3.693067,4.762504,0.09148469,0.01801851
"82",3.66311,4.739455,0.08709471,0.01418463
"83",3.693763,4.84324,0.09285262,0.007017573
"84",3.661466,4.771751,0.08056565,0.02758796
"85",3.789403,4.84193,0.08038111,0.02020271
"86",3.752624,4.81652,0.08111905,0.0165293
"87",3.813215,4.890468,0.1118991,0.01948114
"88",3.72502,4.785139,0.1160927,0.03475863
"89",3.770843,4.837455,0.139066,0.04255961
"90",3.713289,4.86724,0.1483338,0.02643326
"91",3.745108,4.922232,0.1531502,0.0257525
"92",3.722089,4.799556,0.1633086,0.03060044
"93",3.733176,4.875043,0.1217751,0.03234783
"94",3.73251,4.868998,0.1244276,0.01839737
"95",3.788271,4.936803,0.1403705,0.01293679
"96",3.705715,4.802846,0.1309405,0.03287275
"97",3.813328,4.890625,0.1293602,0.02457126
"98",3.821703,4.891206,0.1282173,0.007255171
"99",3.849595,4.96843,0.1410654,0.02145494
"100",3.80396,4.834531,0.1339188,0.01938634
"101",3.863014,4.923077,0.1397619,0.03723472
"102",3.852309,4.93591,0.1445332,0.01262335
"103",3.826078,4.980688,0.1551216,0.02735139
"104",3.782735,4.866376,0.1612681,0.004273511
"105",3.830368,4.959666,0.1544364,0.01900796
"106",3.825409,4.95232,0.1516905,0.01453816
