"","m1","p","gdp","r"
"1956.1",4681,0.27302,116196,2.85333
"1956.2",4714.66406,0.27583,117464,3.5
"1956.3",4700,0.28221,118336,4.06333
"1956.4",4654,0.27927,122060,4.52
"1957.1",4595,0.28136,121508,5.20667
"1957.2",4608.66406,0.2835,121300,5.32
"1957.3",4562.66406,0.28595,122160,5.32
"1957.4",4638.66406,0.28416,120916,5.17667
"1958.1",4754.66406,0.28618,120904,4.12333
"1958.2",4952.66406,0.28885,123540,2.91
"1958.3",5167,0.28769,125176,2.60333
"1958.4",5301.33203,0.28751,126812,2.99667
"1959.1",5249.66406,0.29242,126968,3.9
"1959.2",5178,0.29354,128336,5.03667
"1959.3",5163.33203,0.29384,129732,6.10333
"1959.4",5101,0.29466,130956,5.69
"1960.1",5133.66406,0.29654,133568,4.91667
"1960.2",5225,0.29756,131000,3.98
"1960.3",5251.66406,0.29741,133000,3.10667
"1960.4",5342.66406,0.29712,133440,3.98333
"1961.1",5441.33203,0.29816,132384,3.69667
"1961.2",5413,0.2976,136076,3.53
"1961.3",5551,0.29888,138464,3.13667
"1961.4",5638.66406,0.2998,140732,3.10667
"1962.1",5631,0.30042,144732,3.46
"1962.2",5652,0.30229,144892,4.1
"1962.3",5642.66406,0.30434,147100,5.57667
"1962.4",5846.33203,0.30444,149732,4.4
"1963.1",5888.33203,0.30611,150704,4.15333
"1963.2",6051.33203,0.30761,152568,3.64333
"1963.3",6069.33203,0.31026,154092,4.06333
"1963.4",6105.33203,0.31241,159532,4.18333
"1964.1",6237.66406,0.3124,162548,4.11
"1964.2",6326.66406,0.31644,163216,4.01333
"1964.3",6350.66406,0.3191,165676,4.23667
"1964.4",6426,0.32098,166576,4.43667
"1965.1",6532.33203,0.32244,171692,4.42667
"1965.2",6696,0.32693,173368,4.71
"1965.3",6841.66406,0.32991,175916,5.15333
"1965.4",6878,0.33257,180460,5.78333
"1966.1",7036.66406,0.33772,184592,6.04333
"1966.2",7150.66406,0.34236,187100,6.14667
"1966.3",7219.66406,0.34646,187624,6.36667
"1966.4",7428.33203,0.34865,189736,6.51667
"1967.1",7699.66406,0.35392,189332,5.9
"1967.2",7887,0.35739,193132,5.23333
"1967.3",7926.66406,0.35853,193972,5.73
"1967.4",8074.66406,0.36326,194572,6.52333
"1968.1",8051,0.36814,196556,6.97333
"1968.2",8031,0.3698,201568,7.28
"1968.3",8376,0.37219,205088,6.53333
"1968.4",8545,0.37517,209076,6.50333
"1969.1",8726,0.38165,210604,6.92667
"1969.2",8910.66406,0.38729,211748,7.34333
"1969.3",8821,0.38967,214584,8.32333
"1969.4",8871.33203,0.39344,218848,8.8
"1970.1",8916.33203,0.40107,218504,8.44
"1970.2",8955.33203,0.40471,217400,7.63
"1970.3",9088,0.40701,221176,7.34
"1970.4",9252,0.41113,220912,5.95667
"1971.1",9609.66406,0.41356,222884,4.74
"1971.2",10039,0.41741,229796,3.96667
"1971.3",10406,0.41955,236684,4.70333
"1971.4",10818.66406,0.42546,239184,4.63333
"1972.1",11096.66406,0.43421,238420,4.79
"1972.2",11396,0.43861,244928,5.71333
"1972.3",11826,0.44457,245864,4.84667
"1972.4",12401,0.45242,252552,5.05667
"1973.1",12795,0.45947,260360,5.08
"1973.2",13238,0.47399,262716,6.62667
"1973.3",13622.33203,0.48851,263604,8.45667
"1973.4",13901.66406,0.50431,270796,9.65
"1974.1",14225.66406,0.52434,273488,9.02667
"1974.2",14918.33203,0.54486,275072,11.43667
"1974.3",14655,0.56133,276736,11.48333
"1974.4",14739,0.57342,278728,10.07667
"1975.1",15629.66406,0.58375,278432,6.86333
"1975.2",16238.33203,0.59664,281048,7.33667
"1975.3",16850.33203,0.61345,285228,8.37667
"1975.4",17855.66406,0.62827,288040,9.16333
"1976.1",17700.66406,0.63983,294624,9.29
"1976.2",17803,0.65702,301344,9.37667
"1976.3",18102,0.66058,303416,9.38333
"1976.4",18331,0.67543,303168,8.63667
"1977.1",18767,0.68344,308204,7.9
"1977.2",19350,0.69604,309360,7.25
"1977.3",19696,0.7057,311344,7.33667
"1977.4",20208.66406,0.71216,317108,7.41667
"1978.1",20686.33203,0.72114,320172,7.45333
"1978.2",21110.33203,0.73222,324836,8.33667
"1978.3",21691.33203,0.74804,327040,9.04667
"1978.4",22400.33203,0.76456,330956,10.49667
"1979.1",22175,0.77947,334800,11.13333
"1979.2",22841,0.80861,336708,11.16667
"1979.3",23461,0.82639,340096,11.8
"1979.4",23427.33203,0.84863,341844,14.18333
"1980.1",23811,0.86693,342776,14.38333
"1980.2",23612.33203,0.8895,342264,12.98333
"1980.3",24543,0.91553,340716,10.71667
"1980.4",25638.66406,0.93743,347780,14.53333
"1981.1",25316,0.96523,354836,17.13333
"1981.2",25501.33203,0.98774,359352,18.56667
"1981.3",25382.33203,1.01314,356152,21.01666
"1981.4",24753,1.0341,353636,16.61665
"1982.1",25094.33203,1.05743,349568,15.35
"1982.2",25253.66406,1.07748,345284,16.04999
"1982.3",24936.66406,1.09666,343028,14.31667
"1982.4",25553,1.11641,340292,10.88333
"1983.1",26755.33203,1.12303,346072,9.61667
"1983.2",27412,1.13395,353860,9.31667
"1983.3",28403.33203,1.14721,359544,9.33333
"1983.4",28402.33203,1.16059,362304,9.55
"1984.1",28715.66406,1.17117,368280,10.08333
"1984.2",28996.33203,1.17406,376768,11.45
"1984.3",28479.33203,1.17795,381016,12.45
"1984.4",28669,1.18438,385396,10.76667
"1985.1",29018.66406,1.1899,390240,10.51667
"1985.2",29398.66406,1.20625,391580,9.66667
"1985.3",30203.66406,1.21492,396384,9.03333
"1985.4",31059.33203,1.21805,405308,9.01667
"1986.1",30745.33203,1.22408,405680,11.03333
"1986.2",30477.66406,1.22856,408116,8.73333
"1986.3",31563.66406,1.23916,409160,8.46667
"1986.4",32800.66406,1.25368,409616,8.4
"1987.1",33958.33203,1.27117,416484,7.25
"1987.2",35795.66406,1.28429,422916,8.3
"1987.3",35878.66406,1.29599,429980,9.3
"1987.4",36336,1.31001,436264,8.7
"1988.1",36480.33203,1.32325,440592,8.61667
"1988.2",37108.66406,1.33219,446680,9.13333
"1988.3",38423,1.35065,450328,10.05
"1988.4",38480.66406,1.36648,453516,10.83333
