"","month","year","date","mei","npgo","pdo"
"1",1,1950,1950-01-01,-1.052,-2.1883951,-2.13
"2",2,1950,1950-02-01,-1.161,-1.4458314,-2.91
"3",3,1950,1950-03-01,-1.285,-0.96503568,-1.13
"4",4,1950,1950-04-01,-1.09,-0.85878799,-1.2
"5",5,1950,1950-05-01,-1.434,-0.63408219,-2.23
"6",6,1950,1950-06-01,-1.351,-0.58098428,-1.77
"7",7,1950,1950-07-01,-1.336,-0.74211428,-2.93
"8",8,1950,1950-08-01,-1.071,-0.54938418,-0.7
"9",9,1950,1950-09-01,-0.588,-0.60154498,-2.14
"10",10,1950,1950-10-01,-0.381,0.11943427,-1.36
"11",11,1950,1950-11-01,-1.18,-0.25707438,-2.46
"12",12,1950,1950-12-01,-1.254,-0.49336649,-0.76
"13",1,1951,1951-01-01,-1.078,-0.47853012,-1.54
"14",2,1951,1951-02-01,-1.207,-0.41382623,-1.06
"15",3,1951,1951-03-01,-1.246,-0.56954018,-1.9
"16",4,1951,1951-04-01,-0.496,-0.56114016,-0.36
"17",5,1951,1951-05-01,-0.272,-1.0714146,-0.25
"18",6,1951,1951-06-01,0.457,-1.4352384,-1.09
"19",7,1951,1951-07-01,0.765,-1.1039251,0.7
"20",8,1951,1951-08-01,0.864,-1.1748547,-1.37
"21",9,1951,1951-09-01,0.806,-1.4195152,-0.08
"22",10,1951,1951-10-01,0.75,-1.0693902,-0.32
"23",11,1951,1951-11-01,0.716,-1.0120413,-0.28
"24",12,1951,1951-12-01,0.465,-1.2247459,-1.68
"25",1,1952,1952-01-01,0.412,-1.3350548,-2.01
"26",2,1952,1952-02-01,0.13,-1.0909977,-0.46
"27",3,1952,1952-03-01,0.095,-0.66951595,-0.63
"28",4,1952,1952-04-01,0.245,-0.43371917,-1.05
"29",5,1952,1952-05-01,-0.26,-0.62650865,-1
"30",6,1952,1952-06-01,-0.644,-0.97265631,-1.43
"31",7,1952,1952-07-01,-0.25,-1.3356465,-1.25
"32",8,1952,1952-08-01,-0.164,-0.89742819,-0.6
"33",9,1952,1952-09-01,0.358,-0.58261822,-0.89
"34",10,1952,1952-10-01,0.3,-0.25781197,-0.35
"35",11,1952,1952-11-01,-0.346,-0.31621332,-0.76
"36",12,1952,1952-12-01,-0.154,0.84508038,0.04
"37",1,1953,1953-01-01,0.011,0.94395233,-0.57
"38",2,1953,1953-02-01,0.366,0.74797162,-0.07
"39",3,1953,1953-03-01,0.261,1.2173325,-1.12
"40",4,1953,1953-04-01,0.711,1.2502004,0.05
"41",5,1953,1953-05-01,0.855,1.2707073,0.43
"42",6,1953,1953-06-01,0.27,1.056728,0.29
"43",7,1953,1953-07-01,0.431,1.0407542,0.74
"44",8,1953,1953-08-01,0.25,0.6189014,0.05
"45",9,1953,1953-09-01,0.544,0.29073101,-0.63
"46",10,1953,1953-10-01,0.091,1.0815173,-1.09
"47",11,1953,1953-11-01,0.055,2.0496203,-0.03
"48",12,1953,1953-12-01,0.3,1.418955,0.07
"49",1,1954,1954-01-01,-0.047,1.0939573,-1.32
"50",2,1954,1954-02-01,-0.031,1.156514,-1.61
"51",3,1954,1954-03-01,0.143,0.07937343,-0.52
"52",4,1954,1954-04-01,-0.598,-0.37253308,-1.33
"53",5,1954,1954-05-01,-1.423,-0.16404023,0.01
"54",6,1954,1954-06-01,-1.603,0.17838068,0.97
"55",7,1954,1954-07-01,-1.389,-0.035203404,0.43
"56",8,1954,1954-08-01,-1.454,-0.13153747,0.08
"57",9,1954,1954-09-01,-1.142,-0.26280328,-0.94
"58",10,1954,1954-10-01,-1.381,0.18381241,0.52
"59",11,1954,1954-11-01,-1.134,0.35474005,0.72
"60",12,1954,1954-12-01,-1.113,0.40412547,-0.5
"61",1,1955,1955-01-01,-0.782,0.32620733,0.2
"62",2,1955,1955-02-01,-0.702,-0.24927549,-1.52
"63",3,1955,1955-03-01,-1.151,-0.2159785,-1.26
"64",4,1955,1955-04-01,-1.607,0.0407132,-1.97
"65",5,1955,1955-05-01,-1.637,0.26141044,-1.21
"66",6,1955,1955-06-01,-2.286,-0.015894133,-2.44
"67",7,1955,1955-07-01,-1.911,-0.088022544,-2.35
"68",8,1955,1955-08-01,-2.03,0.2745267,-2.25
"69",9,1955,1955-09-01,-1.815,-0.11022702,-1.95
"70",10,1955,1955-10-01,-1.756,-0.52419361,-2.8
"71",11,1955,1955-11-01,-1.844,-0.080028769,-3.08
"72",12,1955,1955-12-01,-1.865,-0.5180143,-2.75
"73",1,1956,1956-01-01,-1.429,0.1202669,-2.48
"74",2,1956,1956-02-01,-1.307,-0.13795981,-2.74
"75",3,1956,1956-03-01,-1.399,0.022979146,-2.56
"76",4,1956,1956-04-01,-1.142,-0.038234934,-2.17
"77",5,1956,1956-05-01,-1.319,0.14195733,-1.41
"78",6,1956,1956-06-01,-1.517,0.47106723,-1.7
"79",7,1956,1956-07-01,-1.214,0.4639145,-1.03
"80",8,1956,1956-08-01,-1.133,0.53975909,-1.16
"81",9,1956,1956-09-01,-1.356,0.30064613,-0.71
"82",10,1956,1956-10-01,-1.463,-0.051508982,-2.3
"83",11,1956,1956-11-01,-1.059,-0.22625107,-2.11
"84",12,1956,1956-12-01,-1.044,-0.76721175,-1.28
"85",1,1957,1957-01-01,-0.966,-1.2715967,-1.82
"86",2,1957,1957-02-01,-0.381,-1.9587271,-0.68
"87",3,1957,1957-03-01,0.114,-1.3393664,0.03
"88",4,1957,1957-04-01,0.359,-1.2553542,-0.58
"89",5,1957,1957-05-01,0.913,-1.0382093,0.57
"90",6,1957,1957-06-01,0.752,-1.1681711,1.76
"91",7,1957,1957-07-01,0.948,-0.75587754,0.72
"92",8,1957,1957-08-01,1.139,-0.90544124,0.51
"93",9,1957,1957-09-01,1.172,-0.9222347,1.59
"94",10,1957,1957-10-01,1.095,-1.0286289,1.5
"95",11,1957,1957-11-01,1.114,-1.407435,-0.32
"96",12,1957,1957-12-01,1.237,-0.71664127,-0.55
"97",1,1958,1958-01-01,1.478,0.11660279,0.25
"98",2,1958,1958-02-01,1.457,0.14663043,0.62
"99",3,1958,1958-03-01,1.306,-1.1516998,0.25
"100",4,1958,1958-04-01,0.995,-0.71935478,1.06
"101",5,1958,1958-05-01,0.741,-0.85098363,1.28
"102",6,1958,1958-06-01,0.902,-0.72342443,1.33
"103",7,1958,1958-07-01,0.726,-0.86964646,0.89
"104",8,1958,1958-08-01,0.444,-0.6288164,1.06
"105",9,1958,1958-09-01,0.173,-0.20443409,0.29
"106",10,1958,1958-10-01,0.167,-0.50880797,0.01
"107",11,1958,1958-11-01,0.466,-0.77451839,-0.18
"108",12,1958,1958-12-01,0.691,-0.40523129,0.86
"109",1,1959,1959-01-01,0.541,0.12278854,0.69
"110",2,1959,1959-02-01,0.78,-0.59064476,-0.43
"111",3,1959,1959-03-01,0.489,-0.39206877,-0.95
"112",4,1959,1959-04-01,0.187,-0.45130383,-0.02
"113",5,1959,1959-05-01,0.023,-0.43784908,0.23
"114",6,1959,1959-06-01,0.027,-0.37320207,0.44
"115",7,1959,1959-07-01,-0.173,-0.39649446,-0.5
"116",8,1959,1959-08-01,0.081,-0.50436494,-0.62
"117",9,1959,1959-09-01,0.043,0.072659201,-0.85
"118",10,1959,1959-10-01,-0.092,0.13413238,0.52
"119",11,1959,1959-11-01,-0.165,-0.04796909,1.11
"120",12,1959,1959-12-01,-0.256,0.42278478,0.06
"121",1,1960,1960-01-01,-0.306,1.0163805,0.3
"122",2,1960,1960-02-01,-0.261,0.81857807,0.52
"123",3,1960,1960-03-01,-0.093,0.86326859,-0.21
"124",4,1960,1960-04-01,-0.021,0.79348216,0.09
"125",5,1960,1960-05-01,-0.327,0.91892054,0.91
"126",6,1960,1960-06-01,-0.229,0.31314454,0.64
"127",7,1960,1960-07-01,-0.325,0.70915221,-0.27
"128",8,1960,1960-08-01,-0.251,0.43794466,-0.38
"129",9,1960,1960-09-01,-0.486,0.52397594,-0.94
"130",10,1960,1960-10-01,-0.365,0.48853548,0.09
"131",11,1960,1960-11-01,-0.33,0.95336825,-0.23
"132",12,1960,1960-12-01,-0.435,1.1361285,0.17
"133",1,1961,1961-01-01,-0.175,1.1032184,1.18
"134",2,1961,1961-02-01,-0.261,1.3593808,0.43
"135",3,1961,1961-03-01,-0.075,1.7493986,0.09
"136",4,1961,1961-04-01,0.019,0.95715692,0.34
"137",5,1961,1961-05-01,-0.287,1.4002097,-0.06
"138",6,1961,1961-06-01,-0.114,1.2018429,-0.61
"139",7,1961,1961-07-01,-0.201,1.0626986,-1.22
"140",8,1961,1961-08-01,-0.257,1.0746483,-1.13
"141",9,1961,1961-09-01,-0.259,0.77296683,-2.01
"142",10,1961,1961-10-01,-0.558,0.34873726,-2.28
"143",11,1961,1961-11-01,-0.418,0.22058507,-1.85
"144",12,1961,1961-12-01,-0.624,0.39737078,-2.69
"145",1,1962,1962-01-01,-1.062,0.17476225,-1.29
"146",2,1962,1962-02-01,-0.996,-0.14977739,-1.15
"147",3,1962,1962-03-01,-0.748,-0.60767641,-1.42
"148",4,1962,1962-04-01,-1.026,-0.47141795,-0.8
"149",5,1962,1962-05-01,-0.913,-0.73901362,-1.22
"150",6,1962,1962-06-01,-0.857,-0.30441143,-1.62
"151",7,1962,1962-07-01,-0.716,-0.062123467,-1.46
"152",8,1962,1962-08-01,-0.554,-0.37063506,-0.48
"153",9,1962,1962-09-01,-0.532,0.33421582,-1.58
"154",10,1962,1962-10-01,-0.664,0.16424001,-1.55
"155",11,1962,1962-11-01,-0.614,0.44560527,-0.37
"156",12,1962,1962-12-01,-0.502,0.46514247,-0.96
"157",1,1963,1963-01-01,-0.729,-0.81285016,-0.33
"158",2,1963,1963-02-01,-0.846,-0.27996258,-0.16
"159",3,1963,1963-03-01,-0.692,-1.0965502,-0.54
"160",4,1963,1963-04-01,-0.801,-0.81056845,-0.41
"161",5,1963,1963-05-01,-0.453,-0.42822716,-0.65
"162",6,1963,1963-06-01,-0.045,-0.71623806,-0.88
"163",7,1963,1963-07-01,0.457,-0.36669314,-1
"164",8,1963,1963-08-01,0.633,-0.1346054,-1.03
"165",9,1963,1963-09-01,0.764,0.11978808,0.45
"166",10,1963,1963-10-01,0.815,0.50714133,-0.52
"167",11,1963,1963-11-01,0.852,0.66107473,-2.08
"168",12,1963,1963-12-01,0.748,0.54103299,-1.08
"169",1,1964,1964-01-01,0.853,1.0728952,0.01
"170",2,1964,1964-02-01,0.456,0.29248032,-0.21
"171",3,1964,1964-03-01,-0.286,0.35166979,-0.87
"172",4,1964,1964-04-01,-0.61,0.25015275,-1.03
"173",5,1964,1964-05-01,-1.268,0.27190132,-1.91
"174",6,1964,1964-06-01,-1.087,0.88409534,-0.32
