"","Subject","Row","Column","Response","aligned.Response..for.Row","aligned.Response..for.Column","aligned.Response..for.Row.Column","ART.Response..for.Row","ART.Response..for.Column","ART.Response..for.Row.Column"
"1","s1","r1","c1",11.5,-0.475,3.11666666666667,1.325,23,35,34
"2","s2","r1","c1",10.1,-1.875,1.71666666666667,-0.075,10,28.5,17
"3","s3","r1","c1",9.9,-2.075,1.51666666666667,-0.275,7,26.5,14
"4","s4","r1","c1",10.6,-1.375,2.21666666666667,0.425,16,31,26
"5","s5","r1","c2",9,-0.95,0.741666666666667,0.725,20,22,31
"6","s6","r1","c2",7.4,-2.55,-0.858333333333333,-0.875,3,13,5
"7","s7","r1","c2",8.8,-1.15,0.541666666666667,0.525,18.5,19.5,27.5
"8","s8","r1","c2",8.8,-1.15,0.541666666666667,0.525,18.5,19.5,27.5
"9","s9","r1","c3",3.8,-2.725,-3.65833333333333,-1.85,2,3,1
"10","s10","r1","c3",6.3,-0.225,-1.15833333333333,0.65,24,11.5,30
"11","s11","r1","c3",4.9,-1.625,-2.55833333333333,-0.75,13,5,8
"12","s12","r1","c3",5.3,-1.225,-2.15833333333333,-0.35,17,9,13
"13","s13","r2","c1",9.9,-1.46666666666667,2.51666666666667,0.116666666666667,15,33.5,21
"14","s14","r2","c1",9.8,-1.56666666666667,2.41666666666667,0.0166666666666667,14,32,19.5
"15","s15","r2","c1",9.3,-2.06666666666667,1.91666666666667,-0.483333333333333,8,30,11.5
"16","s16","r2","c1",9.1,-2.26666666666667,1.71666666666667,-0.683333333333333,5,28.5,10
"17","s17","r2","c2",9.3,-0.616666666666667,1.46666666666667,1.41666666666667,22,25,35
"18","s18","r2","c2",7.4,-2.51666666666667,-0.433333333333333,-0.483333333333333,4,14,11.5
"19","s19","r2","c2",7.7,-2.21666666666667,-0.133333333333333,-0.183333333333333,6,15,16
"20","s20","r2","c2",7.9,-2.01666666666667,0.0666666666666667,0.0166666666666667,9,16,19.5
"21","s21","r2","c3",4.1,-3.06666666666667,-3.60833333333333,-1.15833333333333,1,4,3
"22","s22","r2","c3",6.3,-0.866666666666667,-1.40833333333333,1.04166666666667,21,10,32
"23","s23","r2","c3",5.5,-1.66666666666667,-2.20833333333333,0.241666666666667,12,8,23
"24","s24","r2","c3",5.4,-1.76666666666667,-2.30833333333333,0.141666666666667,11,6,22
"25","s25","r3","c1",13.9,2.36666666666667,1.21666666666667,-1.01666666666667,28,24,4
"26","s26","r3","c1",16,4.46666666666667,3.31666666666667,1.08333333333333,35,36,33
"27","s27","r3","c1",14.2,2.66666666666667,1.51666666666667,-0.716666666666667,29,26.5,9
"28","s28","r3","c1",15.2,3.66666666666667,2.51666666666667,0.283333333333333,32,33.5,24
"29","s29","r3","c2",13,3.69166666666667,0.641666666666667,-0.0166666666666667,33,21,18
"30","s30","r3","c2",13.4,4.09166666666667,1.04166666666667,0.383333333333333,34,23,25
"31","s31","r3","c2",11.2,1.89166666666667,-1.15833333333333,-1.81666666666667,25,11.5,2
"32","s32","r3","c2",12.8,3.49166666666667,0.441666666666667,-0.216666666666667,31,18,15
"33","s33","r3","c3",9.6,1.99166666666667,-3.68333333333333,-0.791666666666667,26.5,1.5,6.5
"34","s34","r3","c3",9.6,1.99166666666667,-3.68333333333333,-0.791666666666667,26.5,1.5,6.5
"35","s35","r3","c3",11,3.39166666666667,-2.28333333333333,0.608333333333333,30,7,29
"36","s36","r3","c3",13.4,5.79166666666667,0.116666666666667,3.00833333333333,36,17,36
