"","Subject","Row","Column","Response"
"1","s1","r1","c1",11.5
"2","s2","r1","c1",10.1
"3","s3","r1","c1",9.9
"4","s4","r1","c1",10.6
"5","s5","r1","c2",9
"6","s6","r1","c2",7.4
"7","s7","r1","c2",8.8
"8","s8","r1","c2",8.8
"9","s9","r1","c3",3.8
"10","s10","r1","c3",6.3
"11","s11","r1","c3",4.9
"12","s12","r1","c3",5.3
"13","s13","r2","c1",9.9
"14","s14","r2","c1",9.8
"15","s15","r2","c1",9.3
"16","s16","r2","c1",9.1
"17","s17","r2","c2",9.3
"18","s18","r2","c2",7.4
"19","s19","r2","c2",7.7
"20","s20","r2","c2",7.9
"21","s21","r2","c3",4.1
"22","s22","r2","c3",6.3
"23","s23","r2","c3",5.5
"24","s24","r2","c3",5.4
"25","s25","r3","c1",13.9
"26","s26","r3","c1",16
"27","s27","r3","c1",14.2
"28","s28","r3","c1",15.2
"29","s29","r3","c2",13
"30","s30","r3","c2",13.4
"31","s31","r3","c2",11.2
"32","s32","r3","c2",12.8
"33","s33","r3","c3",9.6
"34","s34","r3","c3",9.6
"35","s35","r3","c3",11
"36","s36","r3","c3",13.4
