"","Subject","A","B","C","Y","aligned.Y..for.A","aligned.Y..for.B","aligned.Y..for.A.B","aligned.Y..for.C","aligned.Y..for.A.C","aligned.Y..for.B.C","aligned.Y..for.A.B.C","ART.Y..for.A","ART.Y..for.B","ART.Y..for.A.B","ART.Y..for.C","ART.Y..for.A.C","ART.Y..for.B.C","ART.Y..for.A.B.C"
"1","s1","a1","b1","c1",100,-12.25,-6.5,-8.25,-7,-2.25,-1.5,-3.25,3,3,2,2.5,3.5,6,2.5
"2","s1","a1","b1","c2",116,-8.25,-2.5,-4.25,7,2.25,1.5,3.25,6,6,7,14,13,10,14
"3","s2","a1","b1","c1",104,-8.25,-2.5,-4.25,-3,1.75,2.5,0.75,6,6,7,6.5,10.5,13,10.5
"4","s2","a1","b1","c2",112,-12.25,-6.5,-8.25,3,-1.75,-2.5,-0.75,3,3,2,11,6,3,7
"5","s3","a1","b2","c1",128,-7.25,7.5,9.25,-2,2.75,2.5,4.25,8,16,15,8,15,13,16
"6","s3","a1","b2","c2",132,-12.25,2.5,4.25,3,-1.75,-1.5,-3.25,3,10.5,11.5,11,6,6,2.5
"7","s4","a1","b2","c1",122,-13.25,1.5,3.25,-8,-3.25,-3.5,-1.75,1,9,10,1,2,2,5
"8","s4","a1","b2","c2",136,-8.25,6.5,8.25,7,2.25,2.5,0.75,6,14.5,13.5,14,13,13,10.5
"9","s5","a2","b1","c1",136,8.25,-6.5,4.25,-7,-1.75,-1.5,-0.75,10.5,3,11.5,2.5,6,6,7
"10","s5","a2","b1","c2",148,14.25,-0.5,10.25,9,3.75,3.5,2.75,16,8,16,16,16,16,12
"11","s6","a2","b1","c1",140,12.25,-2.5,8.25,-3,2.25,2.5,3.25,14.5,6,13.5,6.5,13,13,14
"12","s6","a2","b1","c2",140,6.25,-8.5,2.25,1,-4.25,-4.5,-5.25,9,1,9,9,1,1,1
"13","s7","a2","b2","c1",130,9.25,3.5,-7.25,-6,-0.75,-1.5,-2.25,12,12,4,4,8,6,4
"14","s7","a2","b2","c2",146,12.25,6.5,-4.25,7,1.75,2.5,3.25,14.5,14.5,7,14,10.5,13,14
"15","s8","a2","b2","c1",132,11.25,5.5,-5.25,-4,1.25,0.5,-0.25,13,13,5,5,9,9,9
"16","s8","a2","b2","c2",142,8.25,2.5,-8.25,3,-2.25,-1.5,-0.75,10.5,10.5,2,11,3.5,6,7
