"","Tray","Moisture","Fertilizer","DryMatter","aligned.DryMatter..for.Moisture","aligned.DryMatter..for.Fertilizer","aligned.DryMatter..for.Moisture.Fertilizer","ART.DryMatter..for.Moisture","ART.DryMatter..for.Fertilizer","ART.DryMatter..for.Moisture.Fertilizer"
"1","t1","m1","f1",3.3,-3.58541666666667,-2.82708333333333,1.77708333333333,8.5,8,45
"2","t1","m1","f2",4.3,-3.58541666666667,-1.28541666666667,1.23541666666667,8.5,21,39.5
"3","t1","m1","f3",4.5,-4.45208333333333,0.497916666666667,-1.21458333333333,4,27,10
"4","t1","m1","f4",5.8,-4.08541666666667,3.18125,-2.23125,5.5,42,4
"5","t2","m1","f1",4,-2.88541666666667,-2.12708333333333,2.47708333333333,10,12,48
"6","t2","m1","f2",4.1,-3.78541666666667,-1.48541666666667,1.03541666666667,7,19,37
"7","t2","m1","f3",6.5,-2.45208333333333,2.49791666666667,0.785416666666667,12,38,34
"8","t2","m1","f4",7.3,-2.58541666666667,4.68125,-0.73125,11,48,15
"9","t3","m1","f1",1.9,-4.98541666666667,-4.22708333333333,0.377083333333333,1,3,26.5
"10","t3","m1","f2",3.8,-4.08541666666667,-1.78541666666667,0.735416666666667,5.5,16.5,33
"11","t3","m1","f3",4.4,-4.55208333333333,0.397916666666667,-1.31458333333333,3,25.5,9
"12","t3","m1","f4",5.1,-4.78541666666667,2.48125,-2.93125,2,37,2
"13","t4","m2","f1",5,0.30625,-3.99375,-1.58125,19,4,6
"14","t4","m2","f2",7.9,1.33958333333333,-1.41875,-0.222916666666667,32,20,19
"15","t4","m2","f3",10.7,1.30625,1.19791666666667,-0.0729166666666667,31,30,21
"16","t4","m2","f4",13.5,0.539583333333333,2.74791666666667,0.410416666666667,21,39,28
"17","t5","m2","f1",5.9,1.20625,-3.09375,-0.68125,30,7,16
"18","t5","m2","f2",8.5,1.93958333333333,-0.81875,0.377083333333333,36,22,26.5
"19","t5","m2","f3",10.3,0.90625,0.797916666666667,-0.472916666666667,26,28,18
"20","t5","m2","f4",13.9,0.939583333333333,3.14791666666667,0.810416666666667,27,41,35
"21","t6","m2","f1",6.9,2.20625,-2.09375,0.31875,39,13,24
"22","t6","m2","f2",7,0.439583333333333,-2.31875,-1.12291666666667,20,10.5,11
"23","t6","m2","f3",10.9,1.50625,1.39791666666667,0.127083333333333,34,33,22
"24","t6","m2","f4",15.2,2.23958333333333,4.44791666666667,2.11041666666667,40,47,47
"25","t7","m3","f1",6.5,2.38125,-3.19375,-1.35625,41,6,8
"26","t7","m3","f2",10.7,3.81458333333333,-0.21875,1.30208333333333,47,23,41
"27","t7","m3","f3",12.2,2.48125,1.09791666666667,0.152083333333333,42,29,23
"28","t7","m3","f4",15.7,2.81458333333333,3.74791666666667,1.33541666666667,45,44,42
"29","t8","m3","f1",8.2,4.08125,-1.49375,0.34375,48,18,25
"30","t8","m3","f2",8.9,2.01458333333333,-2.01875,-0.497916666666667,37.5,14,17
"31","t8","m3","f3",13.4,3.68125,2.29791666666667,1.35208333333333,46,36,43
"32","t8","m3","f4",14.9,2.01458333333333,2.94791666666667,0.535416666666667,37.5,40,29
"33","t9","m3","f1",5.2,1.08125,-4.49375,-2.65625,28,2,3
"34","t9","m3","f2",8.6,1.71458333333333,-2.31875,-0.797916666666667,35,10.5,14
"35","t9","m3","f3",11.1,1.38125,-0.00208333333333333,-0.947916666666667,33,24,12.5
"36","t9","m3","f4",15.6,2.71458333333333,3.64791666666667,1.23541666666667,43,43,39.5
"37","t10","m4","f1",6.8,1.13125,-1.99375,1.39375,29,15,44
"38","t10","m4","f2",9,2.79791666666667,1.21458333333333,2.05208333333333,44,31,46
"39","t10","m4","f3",10.3,0.23125,1.29791666666667,0.702083333333333,18,32,32
"40","t10","m4","f4",12.5,0.83125,4.21458333333333,0.585416666666667,24.5,45.5,30.5
"41","t11","m4","f1",6.4,0.73125,-2.39375,0.99375,23,9,36
"42","t11","m4","f2",6,-0.202083333333333,-1.78541666666667,-0.947916666666667,17,16.5,12.5
"43","t11","m4","f3",10.7,0.63125,1.69791666666667,1.10208333333333,22,34,38
"44","t11","m4","f4",12.5,0.83125,4.21458333333333,0.585416666666667,24.5,45.5,30.5
"45","t12","m4","f1",4,-1.66875,-4.79375,-1.40625,14,1,7
"46","t12","m4","f2",3.8,-2.40208333333333,-3.98541666666667,-3.14791666666667,13,5,1
"47","t12","m4","f3",9.4,-0.66875,0.397916666666667,-0.197916666666667,16,25.5,20
"48","t12","m4","f4",10.2,-1.46875,1.91458333333333,-1.71458333333333,15,35,5
