"","X1","X2","Y","X"
"1","A","C",0.756561102236795,"A:C"
"2","A","D",-0.303690805057868,"A:D"
"3","A","E",1.29499515062964,"A:E"
"4","A","C",-0.06185815988994,"A:C"
"5","A","D",-0.269711706104555,"A:D"
"6","A","E",2.01117247659795,"A:E"
"7","A","C",-1.56921221026794,"A:C"
"8","A","D",-0.54339245435625,"A:D"
"9","A","E",1.51632489787001,"A:E"
"10","A","C",-0.551684572163488,"A:C"
"11","A","D",0.683633486762654,"A:D"
"12","A","E",1.14880319054323,"A:E"
"13","A","C",1.4428306410491,"A:C"
"14","A","D",-0.588964504796185,"A:D"
"15","A","E",1.18214459952589,"A:E"
"16","A","C",-0.726174605784313,"A:C"
"17","A","D",-0.565979524015064,"A:D"
"18","A","E",3.81024301908838,"A:E"
"19","A","C",-0.778690730620366,"A:C"
"20","A","D",-1.04818456654639,"A:D"
"21","A","E",2.72323556576174,"A:E"
"22","A","C",-0.356347794787208,"A:C"
"23","A","D",-0.254230773394268,"A:D"
"24","A","E",1.69996026919888,"A:E"
"25","A","C",1.31570432849244,"A:C"
"26","A","D",1.05469006525485,"A:D"
"27","A","E",2.41346900579923,"A:E"
"28","A","C",0.516540783371664,"A:C"
"29","A","D",1.78720193615498,"A:D"
"30","A","E",2.00906550486847,"A:E"
"31","A","C",-0.767836363594961,"A:C"
"32","A","D",-0.735810457637069,"A:D"
"33","A","E",2.67543487907237,"A:E"
"34","A","C",0.986433215411988,"A:C"
"35","A","D",2.21854064680528,"A:D"
"36","A","E",1.61050198828099,"A:E"
"37","A","C",0.00616335603361364,"A:C"
"38","A","D",-0.805102140615392,"A:D"
"39","A","E",1.92359662660826,"A:E"
"40","A","C",0.718573693303034,"A:C"
"41","A","D",-0.2898884942589,"A:D"
"42","A","E",3.24788184253352,"A:E"
"43","A","C",-0.141652538030338,"A:C"
"44","A","D",0.421877724352111,"A:D"
"45","A","E",1.81889367429797,"A:E"
"46","A","C",2.12611742787076,"A:C"
"47","A","D",0.640325827443577,"A:D"
"48","A","E",1.51303452682505,"A:E"
"49","A","C",-1.19279849189403,"A:C"
"50","A","D",-0.284855398936454,"A:D"
"51","A","E",2.39062032983495,"A:E"
"52","A","C",0.270828383449683,"A:C"
"53","A","D",-0.883495364903845,"A:D"
"54","A","E",2.14279966848229,"A:E"
"55","A","C",0.930769730029346,"A:C"
"56","A","D",-1.45313320885247,"A:D"
"57","A","E",2.92714309890112,"A:E"
"58","A","C",-0.783106279874111,"A:C"
"59","A","D",1.29105331760035,"A:D"
"60","A","E",2.73229403161276,"A:E"
"61","A","C",-0.30477718815603,"A:C"
"62","A","D",0.340212572847706,"A:D"
