"","time","larain"
"1",1878,20.86
"2",1879,17.41
"3",1880,18.65
"4",1881,5.53
"5",1882,10.74
"6",1883,14.14
"7",1884,40.29
"8",1885,10.53
"9",1886,16.72
"10",1887,16.02
"11",1888,20.82
"12",1889,33.26
"13",1890,12.69
"14",1891,12.84
"15",1892,18.72
"16",1893,21.96
"17",1894,7.51
"18",1895,12.55
"19",1896,11.8
"20",1897,14.28
"21",1898,4.83
"22",1899,8.69
"23",1900,11.3
"24",1901,11.96
"25",1902,13.12
"26",1903,14.77
"27",1904,11.88
"28",1905,19.19
"29",1906,21.46
"30",1907,15.3
"31",1908,13.74
"32",1909,23.92
"33",1910,4.89
"34",1911,17.85
"35",1912,9.78
"36",1913,17.17
"37",1914,23.21
"38",1915,16.67
"39",1916,23.29
"40",1917,8.45
"41",1918,17.49
"42",1919,8.82
"43",1920,11.18
"44",1921,19.85
"45",1922,15.27
"46",1923,6.25
"47",1924,8.11
"48",1925,8.94
"49",1926,18.56
"50",1927,18.63
"51",1928,8.69
"52",1929,8.32
"53",1930,13.02
"54",1931,18.93
"55",1932,10.72
"56",1933,18.76
"57",1934,14.67
"58",1935,14.49
"59",1936,18.24
"60",1937,17.97
"61",1938,27.16
"62",1939,12.06
"63",1940,20.26
"64",1941,31.28
"65",1942,7.4
"66",1943,22.57
"67",1944,17.45
"68",1945,12.78
"69",1946,16.22
"70",1947,4.13
"71",1948,7.59
"72",1949,10.63
"73",1950,7.38
"74",1951,14.33
"75",1952,24.95
"76",1953,4.08
"77",1954,13.69
"78",1955,11.89
"79",1956,13.62
"80",1957,13.24
"81",1958,17.49
"82",1959,6.23
"83",1960,9.57
"84",1961,5.83
"85",1962,15.37
"86",1963,12.31
"87",1964,7.98
"88",1965,26.81
"89",1966,12.91
"90",1967,23.66
"91",1968,7.58
"92",1969,26.32
"93",1970,16.54
"94",1971,9.26
"95",1972,6.54
"96",1973,17.45
"97",1974,16.69
"98",1975,10.7
"99",1976,11.01
"100",1977,14.97
"101",1978,30.57
"102",1979,17
"103",1980,26.33
"104",1981,10.92
"105",1982,14.41
"106",1983,34.04
"107",1984,8.9
"108",1985,8.92
"109",1986,18
"110",1987,9.11
"111",1988,11.57
"112",1989,4.56
"113",1990,6.49
"114",1991,15.07
"115",1992,22.65
