"","time","gold"
"1",1,426.8
"2",2,425.5
"3",3,425.8
"4",4,423.15
"5",5,421.25
"6",6,422.55
"7",7,421.7
"8",8,424.65
"9",9,421.7
"10",10,422.85
"11",11,422.55
"12",12,424.1
"13",13,421.7
"14",14,423.3
"15",15,427.6
"16",16,426.2
"17",17,423.7
"18",18,426.3
"19",19,426.4
"20",20,423.8
"21",21,421.15
"22",22,421.9
"23",23,419.8
"24",24,416.5
"25",25,414.5
"26",26,411.5
"27",27,413.2
"28",28,413.5
"29",29,417.05
"30",30,422.8
"31",31,424.6
"32",32,424.15
"33",33,426.6
"34",34,426.55
"35",35,427.1
"36",36,430.75
"37",37,433.25
"38",38,434.75
"39",39,432.4
"40",40,436.55
"41",41,434.65
"42",42,429.15
"43",43,433.25
"44",44,429.65
"45",45,433.6
"46",46,434.85
"47",47,439.9
"48",48,440.2
"49",49,440.95
"50",50,442.75
"51",51,442
"52",52,441.2
"53",53,442.65
"54",54,436.65
"55",55,436.25
"56",56,430.65
"57",57,427.25
"58",58,424.9
"59",59,426.95
"60",60,426.5
"61",61,427.5
"62",62,427.45
"63",63,425.95
"64",64,423.7
"65",65,426.6
"66",66,426.4
"67",67,425.4
"68",68,428.1
"69",69,429.15
"70",70,428.85
"71",71,427.2
"72",72,423.65
"73",73,425.65
"74",74,426.9
"75",75,432.4
"76",76,433.4
"77",77,433.4
"78",78,433
"79",79,434.7
"80",80,434.1
"81",81,432.75
"82",82,433.2
"83",83,429.2
"84",84,429.2
"85",85,430.5
"86",86,429.7
"87",87,425.8
"88",88,426.9
"89",89,428.35
"90",90,426.25
"91",91,421.45
"92",92,419.9
"93",93,420.35
"94",94,419.4
"95",95,421.75
"96",96,420.7
"97",97,417.6
"98",98,418.25
"99",99,418.5
"100",100,418.75
"101",101,418.6
"102",102,416.9
"103",103,416.1
"104",104,417.2
"105",105,423.2
"106",106,424.8
"107",107,426.6
"108",108,424.9
"109",109,423.55
"110",110,422.75
"111",111,425.6
"112",112,426.95
"113",113,426.65
"114",114,431.3
"115",115,436.05
"116",116,440.5
"117",117,434.35
"118",118,437.5
"119",119,437.15
"120",120,442.95
"121",121,439.35
"122",122,437.5
"123",123,434.9
"124",124,436.8
"125",125,434.2
"126",126,427.6
"127",127,426
"128",128,423.85
"129",129,427.85
"130",130,423.75
"131",131,425
"132",132,426.95
"133",133,425.55
"134",134,422.5
"135",135,419.6
"136",136,421.6
"137",137,420
"138",138,420.65
"139",139,423.65
"140",140,426.35
"141",141,424.85
"142",142,424.5
"143",143,422.75
"144",144,425.3
"145",145,427.15
"146",146,431.35
"147",147,431.85
"148",148,433.6
"149",149,435.6
"150",150,437.5
"151",151,436.85
"152",152,434.7
"153",153,436.3
"154",154,437.8
"155",155,447.25
"156",156,442.6
"157",157,440.85
"158",158,444.25
"159",159,439
"160",160,439.25
"161",161,437.5
"162",162,439.85
"163",163,438.25
"164",164,439
"165",165,438.5
"166",166,436.15
"167",167,433
"168",168,435.5
"169",169,446.3
"170",170,445.6
"171",171,443.5
"172",172,444.5
"173",173,444.8
"174",174,446.7
"175",175,449.15
"176",176,448.7
"177",177,447.85
"178",178,449.1
"179",179,458.1
"180",180,461.95
"181",181,470
"182",182,467
"183",183,472.75
"184",184,464.5
"185",185,461.05
"186",186,465.65
"187",187,462
"188",188,472.5
"189",189,473.4
"190",190,465
"191",191,467.5
"192",192,465.25
"193",193,466.3
"194",194,472
"195",195,477.5
"196",196,475.5
"197",197,478.5
"198",198,471.25
"199",199,470.7
"200",200,472.35
"201",201,473
"202",202,468.4
"203",203,464
"204",204,463.15
"205",205,463.75
"206",206,467
"207",207,471.55
"208",208,473.25
"209",209,473.65
"210",210,472.65
"211",211,465.55
"212",212,461.65
"213",213,464.8
"214",214,461.35
"215",215,457.6
"216",216,457.15
"217",217,462.6
"218",218,467
"219",219,465.9
"220",220,469.75
"221",221,467.55
"222",222,470.65
"223",223,480.75
"224",224,487.9
"225",225,488
"226",226,493
"227",227,488.85
"228",228,492.75
"229",229,495.7
"230",230,497.3
"231",231,497.1
"232",232,493.8
"233",233,494.4
"234",234,504.75
"235",235,505
"236",236,508.25
"237",237,512.3
"238",238,514.85
"239",239,524.75
"240",240,537.5
"241",241,522.8
"242",242,513.75
"243",243,502.4
"244",244,502.5
"245",245,507.45
"246",246,505.75
"247",247,494.5
"248",248,494.75
"249",249,503.6
"250",250,509.15
"251",251,517
"252",252,513
