"","time","oil.price"
"1",1986,22.93
"2",1986.08333333333,15.45
"3",1986.16666666667,12.61
"4",1986.25,12.84
"5",1986.33333333333,15.38
"6",1986.41666666667,13.43
"7",1986.5,11.58
"8",1986.58333333333,15.1
"9",1986.66666666667,14.87
"10",1986.75,14.9
"11",1986.83333333333,15.22
"12",1986.91666666667,16.11
"13",1987,18.65
"14",1987.08333333333,17.75
"15",1987.16666666667,18.3
"16",1987.25,18.68
"17",1987.33333333333,19.44
"18",1987.41666666667,20.07
"19",1987.5,21.34
"20",1987.58333333333,20.31
"21",1987.66666666667,19.53
"22",1987.75,19.86
"23",1987.83333333333,18.85
"24",1987.91666666667,17.27
"25",1988,17.13
"26",1988.08333333333,16.8
"27",1988.16666666667,16.2
"28",1988.25,17.86
"29",1988.33333333333,17.42
"30",1988.41666666667,16.53
"31",1988.5,15.5
"32",1988.58333333333,15.52
"33",1988.66666666667,14.54
"34",1988.75,13.77
"35",1988.83333333333,14.14
"36",1988.91666666667,16.38
"37",1989,18.02
"38",1989.08333333333,17.94
"39",1989.16666666667,19.48
"40",1989.25,21.07
"41",1989.33333333333,20.12
"42",1989.41666666667,20.05
"43",1989.5,19.78
"44",1989.58333333333,18.58
"45",1989.66666666667,19.59
"46",1989.75,20.1
"47",1989.83333333333,19.86
"48",1989.91666666667,21.1
"49",1990,22.86
"50",1990.08333333333,22.11
"51",1990.16666666667,20.39
"52",1990.25,18.43
"53",1990.33333333333,18.2
"54",1990.41666666667,16.7
"55",1990.5,18.45
"56",1990.58333333333,27.31
"57",1990.66666666667,33.51
"58",1990.75,36.04
"59",1990.83333333333,32.33
"60",1990.91666666667,27.28
"61",1991,25.23
"62",1991.08333333333,20.48
"63",1991.16666666667,19.9
"64",1991.25,20.83
"65",1991.33333333333,21.23
"66",1991.41666666667,20.19
"67",1991.5,21.4
"68",1991.58333333333,21.69
"69",1991.66666666667,21.89
"70",1991.75,23.23
"71",1991.83333333333,22.46
"72",1991.91666666667,19.5
"73",1992,18.79
"74",1992.08333333333,19.01
"75",1992.16666666667,18.92
"76",1992.25,20.23
"77",1992.33333333333,20.98
"78",1992.41666666667,22.38
"79",1992.5,21.77
"80",1992.58333333333,21.34
"81",1992.66666666667,21.88
"82",1992.75,21.68
"83",1992.83333333333,20.34
"84",1992.91666666667,19.41
"85",1993,19.03
"86",1993.08333333333,20.09
"87",1993.16666666667,20.32
"88",1993.25,20.25
"89",1993.33333333333,19.95
"90",1993.41666666667,19.09
"91",1993.5,17.89
"92",1993.58333333333,18.01
"93",1993.66666666667,17.5
"94",1993.75,18.15
"95",1993.83333333333,16.61
"96",1993.91666666667,14.51
"97",1994,15.03
