"","time","hours"
"1",1982.5,38.9
"2",1982.58333333333,39
"3",1982.66666666667,38.9
"4",1982.75,39
"5",1982.83333333333,39.3
"6",1982.91666666667,39.7
"7",1983,39.2
"8",1983.08333333333,38.8
"9",1983.16666666667,39.6
"10",1983.25,39.8
"11",1983.33333333333,39.9
"12",1983.41666666667,40.3
"13",1983.5,40
"14",1983.58333333333,40.2
"15",1983.66666666667,40.8
"16",1983.75,40.7
"17",1983.83333333333,40.8
"18",1983.91666666667,41.2
"19",1984,40.6
"20",1984.08333333333,40.7
"21",1984.16666666667,40.7
"22",1984.25,40.9
"23",1984.33333333333,40.6
"24",1984.41666666667,40.8
"25",1984.5,40.3
"26",1984.58333333333,40.4
"27",1984.66666666667,40.7
"28",1984.75,40.5
"29",1984.83333333333,40.7
"30",1984.91666666667,41.2
"31",1985,40.3
"32",1985.08333333334,39.7
"33",1985.16666666667,40.4
"34",1985.25,40.1
"35",1985.33333333334,40.3
"36",1985.41666666667,40.6
"37",1985.5,40.1
"38",1985.58333333334,40.5
"39",1985.66666666667,40.8
"40",1985.75,40.8
"41",1985.83333333334,40.9
"42",1985.91666666667,41.7
"43",1986,40.7
"44",1986.08333333334,40.3
"45",1986.16666666667,40.7
"46",1986.25,40.5
"47",1986.33333333334,40.6
"48",1986.41666666667,40.8
"49",1986.5,40.2
"50",1986.58333333334,40.7
"51",1986.66666666667,41
"52",1986.75,40.7
"53",1986.83333333334,41
"54",1986.91666666667,41.5
"55",1987,40.8
"56",1987.08333333334,40.8
"57",1987.16666666667,40.9
"58",1987.25,40.4
"59",1987.33333333334,40.9
"60",1987.41666666667,41.1
