"","log.sales","price"
"1",10.1509,1.75
"2",10.2646,1.69
"3",10.5188,1.62
"4",10.4293,1.64
"5",10.0794,1.67
"6",10.4942,1.61
"7",10.2082,1.7
"8",10.5517,1.51
"9",10.4755,1.54
"10",10.3517,1.67
"11",10.249,1.61
"12",10.4381,1.63
"13",11.0575,1.34
"14",11.2674,1.18
"15",10.8295,1.36
"16",10.5071,1.46
"17",10.6876,1.52
"18",10.0158,1.66
"19",10.2283,1.69
"20",9.8304,1.77
"21",10.1999,1.67
"22",10.1381,1.64
"23",9.8086,1.87
"24",9.9814,1.73
"25",9.9003,1.82
"26",9.847,1.85
"27",9.8735,1.8
"28",9.7262,1.84
"29",10.4123,1.52
"30",10.1014,1.79
"31",9.615,1.91
"32",9.5705,1.92
"33",9.5589,1.87
"34",9.3437,1.95
"35",10.3383,1.53
"36",10.0136,1.57
"37",9.8203,1.86
"38",9.9206,1.77
"39",9.8333,1.85
"40",9.8711,1.76
"41",9.8894,1.87
"42",9.7592,1.86
"43",10.127,1.76
"44",9.6761,1.84
"45",9.9236,1.79
"46",9.4801,1.92
"47",9.827,1.91
"48",9.9913,1.83
"49",9.57,1.93
"50",9.4782,1.92
"51",10.3138,1.67
"52",10.1021,1.72
"53",9.9461,1.77
"54",9.7358,1.88
"55",10.0932,1.84
"56",10.1144,1.71
"57",9.9987,1.82
"58",10.0368,1.84
"59",10.2233,1.76
"60",10.2775,1.73
"61",10.2682,1.79
"62",10.1771,1.79
"63",10.5337,1.7
"64",10.3466,1.78
"65",10.7333,1.65
"66",11.0031,1.47
"67",10.9128,1.58
"68",10.8457,1.62
"69",10.3497,1.65
"70",10.3891,1.7
"71",10.4213,1.89
"72",10.1079,1.89
"73",10.2301,1.75
"74",10.4194,1.62
"75",10.4805,1.62
"76",10.4179,1.8
"77",10.1865,1.72
"78",10.2084,1.73
"79",10.1811,1.81
"80",10.1725,1.8
"81",9.9617,1.82
"82",10.2137,1.66
"83",10.6083,1.59
"84",10.8169,1.45
"85",10.0217,1.88
"86",9.9682,1.86
"87",10.2869,1.87
"88",9.9742,1.85
"89",9.7477,1.94
"90",9.9287,1.85
"91",10.1579,1.7
"92",10.1955,1.71
"93",10.0335,1.71
"94",10.0243,1.82
"95",10.3615,1.72
"96",10.4361,1.66
"97",9.9179,1.93
"98",9.601,1.88
"99",9.8873,1.93
"100",10.0654,1.6
"101",9.7268,1.82
"102",10.2768,1.59
"103",9.9885,1.75
"104",9.9402,1.78
