"","time","tbone"
"1",1,0.076935
"2",2,0.112946
"3",3,0.125732
"4",4,0.115295
"5",5,0.083832
"6",6,0.044403
"7",7,-0.010651
"8",8,-0.107361
"9",9,-0.207703
"10",10,-0.241211
"11",11,-0.158936
"12",12,-0.019226
"13",13,0.096191
"14",14,0.140289
"15",15,0.09079
"16",16,-0.038696
"17",17,-0.225128
"18",18,-0.411896
"19",19,-0.55304
"20",20,-0.611511
"21",21,-0.586395
"22",22,-0.515869
"23",23,-0.426514
"24",24,-0.321594
"25",25,-0.215851
"26",26,-0.129822
"27",27,-0.132568
"28",28,-0.282227
"29",29,-0.417694
"30",30,-0.354034
"31",31,-0.033905
"32",32,0.332062
"33",33,0.556732
"34",34,0.626831
"35",35,0.602173
"36",36,0.557129
"37",37,0.503662
"38",38,0.440796
"39",39,0.373535
"40",40,0.298157
"41",41,0.227142
"42",42,0.169891
"43",43,0.121582
"44",44,0.071869
"45",45,0.02652
"46",46,0.013031
"47",47,0.032715
"48",48,0.067596
"49",49,0.099548
"50",50,0.115784
"51",51,0.110992
"52",52,0.083832
"53",53,0.044312
"54",54,-0.004303
"55",55,-0.089294
"56",56,-0.190887
"57",57,-0.244537
"58",58,-0.185547
"59",59,-0.044312
"60",60,0.088104
"61",61,0.15094
"62",62,0.111847
"63",63,-0.016022
"64",64,-0.207825
"65",65,-0.407013
"66",66,-0.562225
"67",67,-0.635925
"68",68,-0.620605
"69",69,-0.546448
"70",70,-0.448334
"71",71,-0.336487
"72",72,-0.224213
"73",73,-0.13089
"74",74,-0.112152
"75",75,-0.254211
"76",76,-0.422272
"77",77,-0.40863
"78",78,-0.10788
"79",79,0.278198
"80",80,0.537292
"81",81,0.627136
"82",82,0.611145
"83",83,0.566742
"84",84,0.5177
"85",85,0.458527
"86",86,0.394958
"87",87,0.324219
"88",88,0.251312
"89",89,0.186157
"90",90,0.130096
"91",91,0.07663
"92",92,0.024475
"93",93,0.005371
"94",94,0.023987
"95",95,0.059052
"96",96,0.094452
"97",97,0.116119
"98",98,0.115021
"99",99,0.08963
"100",100,0.046875
"101",101,-0.000549
"102",102,-0.078583
"103",103,-0.188599
"104",104,-0.260895
"105",105,-0.220673
"106",106,-0.085052
"107",107,0.057159
"108",108,0.132019
"109",109,0.110992
"110",110,-0.002563
"111",111,-0.184326
"112",112,-0.380676
"113",113,-0.544373
"114",114,-0.629486
"115",115,-0.626709
"116",116,-0.561218
"117",117,-0.466461
"118",118,-0.355408
"119",119,-0.236786
"120",120,-0.134705
"121",121,-0.092834
"122",122,-0.200897
"123",123,-0.383423
"124",124,-0.440033
"125",125,-0.198181
"126",126,0.193634
"127",127,0.492523
"128",128,0.616028
"129",129,0.614777
"130",130,0.572174
"131",131,0.525726
"132",132,0.473297
"133",133,0.416107
"134",134,0.350098
"135",135,0.27417
"136",136,0.202606
"137",137,0.144501
"138",138,0.090942
"139",139,0.033844
"140",140,0.004272
"141",141,0.014679
"142",142,0.049072
"143",143,0.086853
"144",144,0.113007
"145",145,0.118988
"146",146,0.09726
"147",147,0.058411
"148",148,0.01297
"149",149,-0.058014
"150",150,-0.168976
"151",151,-0.256989
"152",152,-0.244873
"153",153,-0.119781
"154",154,0.03186
"155",155,0.132721
"156",156,0.138428
"157",157,0.036865
"158",158,-0.141449
"159",159,-0.346741
"160",160,-0.524506
"161",161,-0.625244
"162",162,-0.638824
"163",163,-0.578491
"164",164,-0.48175
"165",165,-0.37149
"166",166,-0.255676
"167",167,-0.152435
"168",168,-0.091492
"169",169,-0.154999
"170",170,-0.349396
"171",171,-0.482513
"172",172,-0.326141
"173",173,0.058594
"174",174,0.412628
"175",175,0.591003
"176",176,0.622986
"177",177,0.588989
"178",178,0.550598
"179",179,0.50412
"180",180,0.446899
"181",181,0.378662
"182",182,0.300873
"183",183,0.225769
"184",184,0.163055
"185",185,0.108521
"186",186,0.05188
"187",187,0.014648
"188",188,0.017273
"189",189,0.047516
"190",190,0.085907
"191",191,0.118713
"192",192,0.131592
"193",193,0.115479
"194",194,0.078308
"195",195,0.032745
"196",196,-0.027039
"197",197,-0.130493
"198",198,-0.234497
"199",199,-0.261749
"200",200,-0.162811
"201",201,-0.006409
"202",202,0.11853
"203",203,0.14975
"204",204,0.077881
"205",205,-0.078766
"206",206,-0.283997
"207",207,-0.478821
"208",208,-0.610107
"209",209,-0.645752
"210",210,-0.595886
"211",211,-0.503021
"212",212,-0.39444
"213",213,-0.279663
"214",214,-0.170288
"215",215,-0.096344
"216",216,-0.122955
"217",217,-0.300262
"218",218,-0.461273
"219",219,-0.381287
"220",220,-0.025238
"221",221,0.356354
"222",222,0.577698
"223",223,0.634766
"224",224,0.605042
"225",225,0.564789
"226",226,0.520905
"227",227,0.4664
"228",228,0.399963
"229",229,0.322906
"230",230,0.248261
"231",231,0.181824
"232",232,0.124817
"233",233,0.066101
"234",234,0.019684
"235",235,0.009247
"236",236,0.033112
"237",237,0.069489
"238",238,0.105408
"239",239,0.124207
"240",240,0.114075
"241",241,0.080566
"242",242,0.035492
"243",243,-0.019684
"244",244,-0.114197
"245",245,-0.223236
"246",246,-0.273743
"247",247,-0.197083
"248",248,-0.041595
"249",249,0.097443
"250",250,0.157074
"251",251,0.10907
"252",252,-0.03653
"253",253,-0.242462
"254",254,-0.443695
"255",255,-0.590332
"256",256,-0.644653
"257",257,-0.60791
"258",258,-0.520935
"259",259,-0.414063
"260",260,-0.300201
"261",261,-0.190308
"262",262,-0.105682
"263",263,-0.100037
"264",264,-0.248962
"265",265,-0.431671
"266",266,-0.418518
"267",267,-0.110535
"268",268,0.279877
"269",269,0.541443
"270",270,0.627045
"271",271,0.612244
"272",272,0.575134
"273",273,0.535492
"274",274,0.483093
"275",275,0.417542
"276",276,0.342499
"277",277,0.267639
"278",278,0.201111
"279",279,0.141144
"280",280,0.076965
"281",281,0.020752
"282",282,0.001007
"283",283,0.02124
"284",284,0.06134
"285",285,0.099579
"286",286,0.121185
"287",287,0.118378
"288",288,0.086121
"289",289,0.0383
"290",290,-0.014191
"291",291,-0.094513
"292",292,-0.205078
"293",293,-0.27597
"294",294,-0.226044
"295",295,-0.082733
"296",296,0.066254
"297",297,0.149567
"298",298,0.121887
"299",299,-0.004974
"300",300,-0.20401
"301",301,-0.412415
"302",302,-0.577393
"303",303,-0.65799
"304",304,-0.640503
"305",305,-0.554138
"306",306,-0.441101
"307",307,-0.319061
"308",308,-0.201782
"309",309,-0.107208
"310",310,-0.084869
"311",311,-0.215057
"312",312,-0.402649
"313",313,-0.438507
"314",314,-0.174896
"315",315,0.221802
"316",316,0.51236
"317",317,0.625702
"318",318,0.622498
"319",319,0.586761
"320",320,0.546021
"321",321,0.497498
"322",322,0.440948
"323",323,0.370911
"324",324,0.298737
"325",325,0.232178
"326",326,0.173645
"327",327,0.11557
"328",328,0.057404
"329",329,0.02832
"330",330,0.036835
"331",331,0.074066
"332",332,0.115051
"333",333,0.14267
"334",334,0.145844
"335",335,0.116119
"336",336,0.067993
"337",337,0.016724
"338",338,-0.059326
"339",339,-0.170074
"340",340,-0.251648
"341",341,-0.226196
"342",342,-0.092072
"343",343,0.057983
"344",344,0.156219
"345",345,0.152191
"346",346,0.043976
"347",347,-0.149109
"348",348,-0.360352
"349",349,-0.538086
"350",350,-0.635315
"351",351,-0.632294
"352",352,-0.554565
"353",353,-0.444336
"354",354,-0.323181
"355",355,-0.200623
"356",356,-0.097107
"357",357,-0.057587
"358",358,-0.167389
"359",359,-0.376953
"360",360,-0.474152
"361",361,-0.253387
"362",362,0.157623
"363",363,0.493744
"364",364,0.639587
"365",365,0.643707
"366",366,0.598969
"367",367,0.556732
"368",368,0.5112
"369",369,0.456512
"370",370,0.386353
"371",371,0.307404
"372",372,0.234772
"373",373,0.173248
"374",374,0.119141
"375",375,0.056946
"376",376,0.018188
"377",377,0.019135
"378",378,0.052002
"379",379,0.09256
"380",380,0.126617
"381",381,0.135834
"382",382,0.111969
"383",383,0.063782
"384",384,0.012207
"385",385,-0.060852
"386",386,-0.172791
"387",387,-0.271973
"388",388,-0.272522
"389",389,-0.146545
"390",390,0.016632
"391",391,0.132965
"392",392,0.15033
"393",393,0.058289
"394",394,-0.124969
"395",395,-0.33609
"396",396,-0.523224
"397",397,-0.637787
"398",398,-0.649872
"399",399,-0.582123
"400",400,-0.47583
"401",401,-0.357056
"402",402,-0.237213
"403",403,-0.125977
"404",404,-0.065704
"405",405,-0.140411
"406",406,-0.354187
"407",407,-0.497986
"408",408,-0.340881
"409",409,0.05957
"410",410,0.430359
"411",411,0.616638
"412",412,0.648071
"413",413,0.611176
"414",414,0.569641
"415",415,0.523651
"416",416,0.468658
"417",417,0.400848
"418",418,0.322418
"419",419,0.248749
"420",420,0.185242
"421",421,0.12912
"422",422,0.066711
"423",423,0.021118
"424",424,0.017181
"425",425,0.044342
"426",426,0.085052
"427",427,0.127441
"428",428,0.145172
"429",429,0.130402
"430",430,0.088104
"431",431,0.035522
"432",432,-0.033691
"433",433,-0.144562
"434",434,-0.257416
"435",435,-0.288605
"436",436,-0.185761
"437",437,-0.018677
"438",438,0.117828
"439",439,0.16275
"440",440,0.094513
"441",441,-0.072296
"442",442,-0.284302
"443",443,-0.484711
"444",444,-0.620331
"445",445,-0.652283
"446",446,-0.596008
"447",447,-0.49469
"448",448,-0.378998
"449",449,-0.259521
"450",450,-0.147247
"451",451,-0.071075
"452",452,-0.101868
"453",453,-0.294525
"454",454,-0.473541
"455",455,-0.400299
"456",456,-0.034424
"457",457,0.368042
"458",458,0.598694
"459",459,0.658722
"460",460,0.630432
"461",461,0.592194
"462",462,0.550659
"463",463,0.499725
"464",464,0.436646
"465",465,0.354523
"466",466,0.275085
"467",467,0.207947
"468",468,0.148102
"469",469,0.087158
"470",470,0.03479
"471",471,0.020752
"472",472,0.039764
"473",473,0.074493
"474",474,0.109833
"475",475,0.128693
"476",476,0.120239
"477",477,0.082123
"478",478,0.03241
"479",479,-0.024536
"480",480,-0.118713
"481",481,-0.232361
"482",482,-0.28598
"483",483,-0.212158
"484",484,-0.052734
"485",485,0.095306
"486",486,0.161285
"487",487,0.117096
"488",488,-0.031494
"489",489,-0.245026
"490",490,-0.455139
"491",491,-0.606689
"492",492,-0.659485
"493",493,-0.618256
"494",494,-0.521088
"495",495,-0.406494
"496",496,-0.287415
"497",497,-0.173889
"498",498,-0.09021
"499",499,-0.105316
"500",500,-0.286743
"501",501,-0.472229
"502",502,-0.430023
"503",503,-0.083801
"504",504,0.332489
"505",505,0.586334
"506",506,0.659576
"507",507,0.633026
"508",508,0.587341
"509",509,0.542664
"510",510,0.491211
"511",511,0.431458
"512",512,0.357422
"513",513,0.281403
"514",514,0.217896
"515",515,0.164764
"516",516,0.10083
"517",517,0.040527
"518",518,0.012695
"519",519,0.027435
"520",520,0.06601
"521",521,0.10434
"522",522,0.128998
"523",523,0.122833
"524",524,0.085449
"525",525,0.033905
"526",526,-0.023102
"527",527,-0.113251
"528",528,-0.222687
"529",529,-0.282501
"530",530,-0.21759
"531",531,-0.059204
"532",532,0.090271
"533",533,0.164886
"534",534,0.130737
"535",535,-0.012085
"536",536,-0.222137
"537",537,-0.434631
"538",538,-0.595764
"539",539,-0.664398
"540",540,-0.635132
"541",541,-0.541168
"542",542,-0.425415
"543",543,-0.300415
"544",544,-0.179108
"545",545,-0.085632
"546",546,-0.079987
"547",547,-0.250946
"548",548,-0.462341
"549",549,-0.47583
"550",550,-0.158936
"551",551,0.267456
