"","time","deere2"
"1",1,-18
"2",2,-24
"3",3,-17
"4",4,-27
"5",5,-37
"6",6,-34
"7",7,-8
"8",8,14
"9",9,18
"10",10,7
"11",11,4
"12",12,17
"13",13,10
"14",14,13
"15",15,-1
"16",16,3
"17",17,-4
"18",18,-3
"19",19,-3
"20",20,-5
"21",21,-8
"22",22,0
"23",23,-9
"24",24,-4
"25",25,-3
"26",26,4
"27",27,7
"28",28,14
"29",29,9
"30",30,-2
"31",31,0
"32",32,2
"33",33,7
"34",34,5
"35",35,-18
"36",36,8
"37",37,3
"38",38,1
"39",39,-10
"40",40,4
"41",41,5
"42",42,11
"43",43,3
"44",44,11
"45",45,5
"46",46,6
"47",47,6
"48",48,-8
"49",49,-8
"50",50,-9
"51",51,-7
"52",52,0
"53",53,-6
"54",54,15
"55",55,10
"56",56,15
"57",57,-14
"58",58,-3
"59",59,-5
"60",60,-13
"61",61,-14
"62",62,-3
"63",63,0
"64",64,7
"65",65,10
"66",66,4
"67",67,-5
"68",68,5
"69",69,6
"70",70,15
"71",71,6
"72",72,-5
"73",73,-3
"74",74,-8
"75",75,-9
"76",76,-16
"77",77,-10
"78",78,-10
"79",79,-6
"80",80,-4
"81",81,-6
"82",82,-7
"83",83,0
"84",84,-5
"85",85,2
"86",86,5
"87",87,6
"88",88,2
"89",89,8
"90",90,17
"91",91,11
"92",92,21
"93",93,9
"94",94,11
"95",95,9
"96",96,9
"97",97,7
"98",98,4
"99",99,14
"100",100,12
"101",101,12
"102",102,10
