"","time","ima22.s"
"1",1,0
"2",2,0
"3",3,-0.00568563903268538
"4",4,2.12403750532814
"5",5,2.15336509658737
"6",6,4.06617634600599
"7",7,5.84828741988072
"8",8,7.44223489596488
"9",9,8.6059661673293
"10",10,9.4385913985419
"11",11,13.3340771610756
"12",12,14.220967869338
"13",13,16.7383051665777
"14",14,17.1839517991643
"15",15,18.4702417912664
"16",16,21.0957784477898
"17",17,20.3938836494305
"18",18,23.7049533023572
"19",19,22.9467686453382
"20",20,25.2321084024242
"21",21,24.914316643335
"22",22,28.0380516421505
"23",23,27.0960261254305
"24",24,28.5727226885458
"25",25,28.3896119858699
"26",26,29.3725744590196
"27",27,29.7504431408894
"28",28,29.7255881278167
"29",29,29.7966424581738
"30",30,28.6338632645405
"31",31,29.6328169334852
"32",32,29.4247730952572
"33",33,28.8124438160101
"34",34,27.1298932832225
"35",35,28.3886931933852
"36",36,27.6535080306077
"37",37,27.4507005591758
"38",38,27.3804841618205
"39",39,26.7030539597681
"40",40,27.8557729824334
"41",41,29.6361067328676
"42",42,28.8397188569851
"43",43,29.3312234498499
"44",44,31.5746787399557
"45",45,29.0755366876557
"46",46,30.4776134104609
"47",47,29.6478334803678
"48",48,29.0476186775483
"49",49,30.1453482780242
"50",50,27.6208907284947
"51",51,27.6959474531228
"52",52,25.52856078288
"53",53,26.0331419819699
"54",54,22.1260959622635
"55",55,20.6504557761077
"56",56,18.7057802240796
"57",57,17.2781551553593
"58",58,15.4538259078547
"59",59,16.0317548901381
"60",60,16.6637223920836
"61",61,16.5990916816505
"62",62,18.2469704036553
