"","time","CREF"
"1",1,169.8819
"2",2,170.4539
"3",3,169.2554
"4",4,169.9316
"5",5,170.576
"6",6,172.1319
"7",7,171.3098
"8",8,172.6797
"9",9,172.1221
"10",10,172.3932
"11",11,173.4775
"12",12,173.9692
"13",13,174.2833
"14",14,172.8792
"15",15,173.5388
"16",16,174.1199
"17",17,173.2799
"18",18,174.5703
"19",19,172.428
"20",20,171.8078
"21",21,171.8737
"22",22,170.7603
"23",23,171.7708
"24",24,172.5664
"25",25,172.8844
"26",26,175.5003
"27",27,176.1127
"28",28,176.1103
"29",29,177.1386
"30",30,175.6034
"31",31,174.8007
"32",32,175.0486
"33",33,174.2952
"34",34,173.1716
"35",35,171.9629
"36",36,172.7238
"37",37,173.3754
"38",38,172.4136
"39",39,172.4224
"40",40,173.1408
"41",41,171.8245
"42",42,171.6022
"43",43,173.586
"44",44,175.8368
"45",45,176.2772
"46",46,176.4123
"47",47,176.4083
"48",48,176.6739
"49",49,176.8796
"50",50,178.9021
"51",51,181.262
"52",52,182.0884
"53",53,181.8795
"54",54,181.8111
"55",55,181.8404
"56",56,183.3282
"57",57,185.0866
"58",58,185.293
"59",59,184.1992
"60",60,185.4602
"61",61,185.4319
"62",62,183.8087
"63",63,184.4116
"64",64,184.6461
"65",65,185.5915
"66",66,186.1304
"67",67,185.9354
"68",68,185.2318
"69",69,187.7029
"70",70,187.7402
"71",71,188.068
"72",72,187.8711
"73",73,186.0415
"74",74,186.233
"75",75,186.6097
"76",76,186.5372
"77",77,188.2554
"78",78,189.0312
"79",79,189.9382
"80",80,189.3012
"81",81,188.2472
"82",82,188.6101
"83",83,189.8783
"84",84,190.6943
"85",85,191.0639
"86",86,190.7539
"87",87,192.0125
"88",88,191.936
"89",89,192.3098
"90",90,192.1372
"91",91,190.5228
"92",92,188.1552
"93",93,187.0268
"94",94,187.4219
"95",95,186.9815
"96",96,187.7731
"97",97,186.8541
"98",98,187.594
"99",99,186.324
"100",100,187.2207
"101",101,188.6812
"102",102,187.2843
"103",103,185.7349
"104",104,184.9338
"105",105,184.4282
"106",106,184.8124
"107",107,186.1772
"108",108,186.2804
"109",109,185.6509
"110",110,187.3357
"111",111,188.4901
"112",112,189.2076
"113",113,188.5554
"114",114,190.5858
"115",115,190.3394
"116",116,190.2827
"117",117,188.8583
"118",118,189.7371
"119",119,191.138
