"","time","electricity"
"1",1973,160218
"2",1973.08333333333,143539
"3",1973.16666666667,148158
"4",1973.25,139589
"5",1973.33333333333,147395
"6",1973.41666666667,161244
"7",1973.5,173733
"8",1973.58333333333,177365
"9",1973.66666666667,156875
"10",1973.75,154197
"11",1973.83333333333,148138
"12",1973.91666666667,153605
"13",1974,157555
"14",1974.08333333333,142748
"15",1974.16666666667,150342
"16",1974.25,142312
"17",1974.33333333333,153813
"18",1974.41666666667,156440
"19",1974.5,178247
"20",1974.58333333333,174119
"21",1974.66666666667,152467
"22",1974.75,152196
"23",1974.83333333333,150071
"24",1974.91666666667,160009
"25",1975,164623
"26",1975.08333333333,147349
"27",1975.16666666667,155760
"28",1975.25,146495
"29",1975.33333333333,153531
"30",1975.41666666667,162717
"31",1975.5,177057
"32",1975.58333333333,179931
"33",1975.66666666667,155441
"34",1975.75,155188
"35",1975.83333333333,153035
"36",1975.91666666667,169628
"37",1976,178609
"38",1976.08333333333,156966
"39",1976.16666666667,164467
"40",1976.25,153467
"41",1976.33333333333,157664
"42",1976.41666666667,173674
"43",1976.5,186691
"44",1976.58333333333,186639
"45",1976.66666666667,165237
"46",1976.75,164009
"47",1976.83333333333,169346
"48",1976.91666666667,184144
"49",1977,196665
"50",1977.08333333333,162949
"51",1977.16666666667,169437
"52",1977.25,157117
"53",1977.33333333333,169596
"54",1977.41666666667,181031
"55",1977.5,199168
"56",1977.58333333333,196363
"57",1977.66666666667,176498
"58",1977.75,166645
"59",1977.83333333333,167388
"60",1977.91666666667,184589
"61",1978,198108
"62",1978.08333333333,173746
"63",1978.16666666667,173461
"64",1978.25,160013
"65",1978.33333333333,175549
"66",1978.41666666667,188585
"67",1978.5,202947
"68",1978.58333333333,206659
"69",1978.66666666667,185802
"70",1978.75,176013
"71",1978.83333333333,176389
"72",1978.91666666667,192105
"73",1979,209987
"74",1979.08333333333,186587
"75",1979.16666666667,183154
"76",1979.25,170260
"77",1979.33333333333,178409
"78",1979.41666666667,186976
"79",1979.5,202522
"80",1979.58333333333,205101
"81",1979.66666666667,180975
"82",1979.75,179953
"83",1979.83333333333,177770
"84",1979.91666666667,188970
"85",1980,200296
"86",1980.08333333333,188961
"87",1980.16666666667,187745
"88",1980.25,169017
"89",1980.33333333333,176066
"90",1980.41666666667,189748
"91",1980.5,217058
"92",1980.58333333333,215629
"93",1980.66666666667,191698
"94",1980.75,178761
"95",1980.83333333333,178771
"96",1980.91666666667,195849
"97",1981,206758
"98",1981.08333333333,179860
"99",1981.16666666667,185834
"100",1981.25,172841
"101",1981.33333333333,178139
"102",1981.41666666667,203021
"103",1981.5,220655
"104",1981.58333333333,210639
"105",1981.66666666667,187051
"106",1981.75,181558
"107",1981.83333333333,175792
"108",1981.91666666667,195826
"109",1982,209694
"110",1982.08333333333,180546
"111",1982.16666666667,187968
"112",1982.25,172877
"113",1982.33333333333,177480
"114",1982.41666666667,186447
"115",1982.5,210865
"116",1982.58333333333,205892
"117",1982.66666666667,180875
"118",1982.75,173172
"119",1982.83333333333,173599
"120",1982.91666666667,184958
"121",1983,195871
"122",1983.08333333333,172725
"123",1983.16666666667,182769
"124",1983.25,170669
"125",1983.33333333333,174725
"126",1983.41666666667,191367
"127",1983.5,220447
"128",1983.58333333333,230193
"129",1983.66666666667,195817
"130",1983.75,183137
"131",1983.83333333333,183171
"132",1983.91666666667,212555
"133",1984,216924
"134",1984.08333333333,189810
"135",1984.16666666667,200387
"136",1984.25,181381
"137",1984.33333333333,192550
"138",1984.41666666667,209967
"139",1984.5,221526
"140",1984.58333333333,229532
"141",1984.66666666667,195411
"142",1984.75,191142
"143",1984.83333333333,190602
"144",1984.91666666667,200232
"145",1985,228148
"146",1985.08333333333,198488
"147",1985.16666666667,195250
"148",1985.25,185173
"149",1985.33333333333,197123
"150",1985.41666666667,205682
"151",1985.5,227004
"152",1985.58333333333,226286
"153",1985.66666666667,202712
"154",1985.75,194995
"155",1985.83333333333,192649
"156",1985.91666666667,219490
"157",1986,217761
"158",1986.08333333333,192582
"159",1986.16666666667,197115
"160",1986.25,186370
"161",1986.33333333333,197647
"162",1986.41666666667,215334
"163",1986.5,242954
"164",1986.58333333333,225402
"165",1986.66666666667,206905
"166",1986.75,197960
"167",1986.83333333333,196654
"168",1986.91666666667,213787
"169",1987,223041
"170",1987.08333333333,194281
"171",1987.16666666667,202130
"172",1987.25,189792
"173",1987.33333333333,206407
"174",1987.41666666667,225908
"175",1987.5,248196
"176",1987.58333333333,247881
"177",1987.66666666667,213221
