"","time","days"
"1",1,39
"2",2,39
"3",3,41
"4",4,26
"5",5,28
"6",6,28
"7",7,25
"8",8,26
"9",9,24
"10",10,38
"11",11,35
"12",12,38
"13",13,38
"14",14,25
"15",15,38
"16",16,24
"17",17,38
"18",18,25
"19",19,40
"20",20,38
"21",21,38
"22",22,25
"23",23,25
"24",24,35
"25",25,35
"26",26,35
"27",27,32
"28",28,41
"29",29,33
"30",30,31
"31",31,21
"32",32,21
"33",33,26
"34",34,26
"35",35,28
"36",36,28
"37",37,28
"38",38,28
"39",39,28
"40",40,20
"41",41,27
"42",42,25
"43",43,27
"44",44,25
"45",45,28
"46",46,20
"47",47,28
"48",48,22
"49",49,26
"50",50,34
"51",51,21
"52",52,21
"53",53,33
"54",54,33
"55",55,21
"56",56,33
"57",57,22
"58",58,17
"59",59,22
"60",60,20
"61",61,27
"62",62,20
"63",63,55
"64",64,39
"65",65,26
"66",66,26
"67",67,26
"68",68,39
"69",69,25
"70",70,22
"71",71,33
"72",72,33
"73",73,19
"74",74,32
"75",75,32
"76",76,42
"77",77,27
"78",78,37
"79",79,27
"80",80,27
"81",81,27
"82",82,26
"83",83,26
"84",84,26
"85",85,25
"86",86,25
"87",87,35
"88",88,35
"89",89,35
"90",90,35
"91",91,20
"92",92,30
"93",93,25
"94",94,25
"95",95,27
"96",96,27
"97",97,25
"98",98,25
"99",99,25
"100",100,34
"101",101,28
"102",102,28
"103",103,21
"104",104,22
"105",105,21
"106",106,49
"107",107,35
"108",108,28
"109",109,28
"110",110,27
"111",111,20
"112",112,27
"113",113,27
"114",114,26
"115",115,26
"116",116,26
"117",117,22
"118",118,22
"119",119,22
"120",120,34
"121",121,26
"122",122,19
"123",123,28
"124",124,19
"125",125,27
"126",126,16
"127",127,27
"128",128,20
"129",129,63
"130",130,25
