"","time","prescrip"
"1",1986.58333333333,14.5471
"2",1986.66666666667,14.6721
"3",1986.75,14.8016
"4",1986.83333333333,14.6125
"5",1986.91666666667,14.2967
"6",1987,14.325
"7",1987.08333333333,14.6231
"8",1987.16666666667,15.1362
"9",1987.25,15.22
"10",1987.33333333333,15.7592
"11",1987.41666666667,16.0724
"12",1987.5,16.1126
"13",1987.58333333333,16.1826
"14",1987.66666666667,16.4537
"15",1987.75,15.9885
"16",1987.83333333333,16.1646
"17",1987.91666666667,16.6733
"18",1988,16.5005
"19",1988.08333333333,16.8483
"20",1988.16666666667,16.5935
"21",1988.25,17.4391
"22",1988.33333333333,17.9894
"23",1988.41666666667,17.8031
"24",1988.5,18.5141
"25",1988.58333333333,18.818
"26",1988.66666666667,19.2117
"27",1988.75,18.965
"28",1988.83333333333,18.7972
"29",1988.91666666667,19.1667
"30",1989,18.9739
"31",1989.08333333333,18.5933
"32",1989.16666666667,19.3313
"33",1989.25,20.1503
"34",1989.33333333333,20.9867
"35",1989.41666666667,21.1868
"36",1989.5,21.8878
"37",1989.58333333333,21.8578
"38",1989.66666666667,22.4741
"39",1989.75,22.1601
"40",1989.83333333333,21.9503
"41",1989.91666666667,21.9989
"42",1990,21.8922
"43",1990.08333333333,22.2364
"44",1990.16666666667,23.0349
"45",1990.25,23.4658
"46",1990.33333333333,24.6513
"47",1990.41666666667,24.7339
"48",1990.5,25.287
"49",1990.58333333333,25.3264
"50",1990.66666666667,25.7877
"51",1990.75,25.1988
"52",1990.83333333333,25.41
"53",1990.91666666667,25.29
"54",1991,24.5715
"55",1991.08333333333,24.2925
"56",1991.16666666667,25.4905
"57",1991.25,26.1685
"58",1991.33333333333,27.0857
"59",1991.41666666667,27.4766
"60",1991.5,28.2164
"61",1991.58333333333,27.9908
"62",1991.66666666667,28.1535
"63",1991.75,27.5391
"64",1991.83333333333,27.9092
"65",1991.91666666667,26.8256
"66",1992,27.9715
"67",1992.08333333333,29.4773
"68",1992.16666666667,30.6624
