"","time","spots"
"1",1945,32.3
"2",1946,99.9
"3",1947,170.9
"4",1948,166.6
"5",1949,174.1
"6",1950,103.7
"7",1951,64.4
"8",1952,30.5
"9",1953,12.5
"10",1954,3.4
"11",1955,34.6
"12",1956,125.9
"13",1957,168.3
"14",1958,172.1
"15",1959,145
"16",1960,102.1
"17",1961,44.7
"18",1962,29.8
"19",1963,22.2
"20",1964,7.4
"21",1965,12.1
"22",1966,38.7
"23",1967,86.3
"24",1968,97.5
"25",1969,104.6
"26",1970,107.4
"27",1971,66.5
"28",1972,67.3
"29",1973,36.7
"30",1974,32.3
"31",1975,14.4
"32",1976,11.6
"33",1977,26
"34",1978,86.9
"35",1979,145.8
"36",1980,149.1
"37",1981,146.5
"38",1982,114.8
"39",1983,64.7
"40",1984,43.5
"41",1985,16.2
"42",1986,11
"43",1987,29
"44",1988,100.9
"45",1989,162.2
"46",1990,145.1
"47",1991,144.3
"48",1992,93.5
"49",1993,54.5
"50",1994,31
"51",1995,18.2
"52",1996,8.4
"53",1997,20.3
"54",1998,61.6
"55",1999,96.1
"56",2000,123.3
"57",2001,123.3
"58",2002,109.4
"59",2003,65.9
"60",2004,43.3
"61",2005,30.2
