"","time","airpass"
"1",1960,112
"2",1960.08333333333,118
"3",1960.16666666667,132
"4",1960.25,129
"5",1960.33333333333,121
"6",1960.41666666667,135
"7",1960.5,148
"8",1960.58333333333,148
"9",1960.66666666667,136
"10",1960.75,119
"11",1960.83333333333,104
"12",1960.91666666667,118
"13",1961,115
"14",1961.08333333333,126
"15",1961.16666666667,141
"16",1961.25,135
"17",1961.33333333333,125
"18",1961.41666666667,149
"19",1961.5,170
"20",1961.58333333333,170
"21",1961.66666666667,158
"22",1961.75,133
"23",1961.83333333333,114
"24",1961.91666666667,140
"25",1962,145
"26",1962.08333333333,150
"27",1962.16666666667,178
"28",1962.25,163
"29",1962.33333333333,172
"30",1962.41666666667,178
"31",1962.5,199
"32",1962.58333333333,199
"33",1962.66666666667,184
"34",1962.75,162
"35",1962.83333333333,146
"36",1962.91666666667,166
"37",1963,171
"38",1963.08333333333,180
"39",1963.16666666667,193
"40",1963.25,181
"41",1963.33333333333,183
"42",1963.41666666667,218
"43",1963.5,230
"44",1963.58333333333,242
"45",1963.66666666667,209
"46",1963.75,191
"47",1963.83333333333,172
"48",1963.91666666667,194
"49",1964,196
"50",1964.08333333333,196
"51",1964.16666666667,236
"52",1964.25,235
"53",1964.33333333333,229
"54",1964.41666666667,243
"55",1964.5,264
"56",1964.58333333333,272
"57",1964.66666666667,237
"58",1964.75,211
"59",1964.83333333333,180
"60",1964.91666666667,201
"61",1965,204
"62",1965.08333333333,188
"63",1965.16666666667,235
"64",1965.25,227
"65",1965.33333333333,234
"66",1965.41666666667,264
"67",1965.5,302
"68",1965.58333333333,293
"69",1965.66666666667,259
"70",1965.75,229
"71",1965.83333333333,203
"72",1965.91666666667,229
"73",1966,242
"74",1966.08333333333,233
"75",1966.16666666667,267
"76",1966.25,269
"77",1966.33333333333,270
"78",1966.41666666667,315
"79",1966.5,364
"80",1966.58333333333,347
"81",1966.66666666667,312
"82",1966.75,274
"83",1966.83333333333,237
"84",1966.91666666667,278
"85",1967,284
"86",1967.08333333333,277
"87",1967.16666666667,317
"88",1967.25,313
"89",1967.33333333333,318
"90",1967.41666666667,374
"91",1967.5,413
"92",1967.58333333333,405
"93",1967.66666666667,355
"94",1967.75,306
"95",1967.83333333333,271
"96",1967.91666666667,306
"97",1968,315
"98",1968.08333333333,301
"99",1968.16666666667,356
"100",1968.25,348
"101",1968.33333333333,355
"102",1968.41666666667,422
"103",1968.5,465
"104",1968.58333333333,467
"105",1968.66666666667,404
"106",1968.75,347
"107",1968.83333333333,305
"108",1968.91666666667,336
"109",1969,340
"110",1969.08333333333,318
"111",1969.16666666667,362
"112",1969.25,348
"113",1969.33333333333,363
"114",1969.41666666667,435
"115",1969.5,491
"116",1969.58333333333,505
"117",1969.66666666667,404
"118",1969.75,359
"119",1969.83333333333,310
"120",1969.91666666667,337
"121",1970,360
"122",1970.08333333333,342
"123",1970.16666666667,406
"124",1970.25,396
"125",1970.33333333333,420
"126",1970.41666666667,472
"127",1970.5,548
"128",1970.58333333333,559
"129",1970.66666666667,463
"130",1970.75,407
"131",1970.83333333333,362
"132",1970.91666666667,405
"133",1971,417
"134",1971.08333333333,391
"135",1971.16666666667,419
"136",1971.25,461
"137",1971.33333333333,472
"138",1971.41666666667,535
"139",1971.5,622
"140",1971.58333333333,606
"141",1971.66666666667,508
"142",1971.75,461
"143",1971.83333333333,390
"144",1971.91666666667,432
