"","time","wages"
"1",1981.5,7.75
"2",1981.58333333333,7.74
"3",1981.66666666667,7.87
"4",1981.75,7.89
"5",1981.83333333333,7.94
"6",1981.91666666667,8
"7",1982,8.17
"8",1982.08333333333,8.1
"9",1982.16666666667,8.13
"10",1982.25,8.19
"11",1982.33333333333,8.22
"12",1982.41666666667,8.25
"13",1982.5,8.31
"14",1982.58333333333,8.26
"15",1982.66666666667,8.33
"16",1982.75,8.31
"17",1982.83333333333,8.36
"18",1982.91666666667,8.42
"19",1983,8.46
"20",1983.08333333333,8.5
"21",1983.16666666667,8.47
"22",1983.25,8.48
"23",1983.33333333333,8.49
"24",1983.41666666667,8.49
"25",1983.5,8.53
"26",1983.58333333333,8.44
"27",1983.66666666667,8.52
"28",1983.75,8.54
"29",1983.83333333333,8.61
"30",1983.91666666667,8.67
"31",1984,8.72
"32",1984.08333333333,8.7
"33",1984.16666666667,8.73
"34",1984.25,8.75
"35",1984.33333333333,8.76
"36",1984.41666666667,8.77
"37",1984.5,8.83
"38",1984.58333333334,8.78
"39",1984.66666666667,8.85
"40",1984.75,8.87
"41",1984.83333333334,8.93
"42",1984.91666666667,9
"43",1985,9.07
"44",1985.08333333334,9.07
"45",1985.16666666667,9.09
"46",1985.25,9.13
"47",1985.33333333334,9.13
"48",1985.41666666667,9.13
"49",1985.5,9.19
"50",1985.58333333334,9.12
"51",1985.66666666667,9.16
"52",1985.75,9.17
"53",1985.83333333334,9.23
"54",1985.91666666667,9.31
"55",1986,9.31
"56",1986.08333333334,9.33
"57",1986.16666666667,9.33
"58",1986.25,9.33
"59",1986.33333333334,9.34
"60",1986.41666666667,9.32
"61",1986.5,9.35
"62",1986.58333333334,9.27
"63",1986.66666666667,9.31
"64",1986.75,9.32
"65",1986.83333333334,9.37
"66",1986.91666666667,9.42
"67",1987,9.44
"68",1987.08333333334,9.44
"69",1987.16666666667,9.44
"70",1987.25,9.48
"71",1987.33333333334,9.45
"72",1987.41666666667,9.44
