"","time","rwalk"
"1",1,-0.41433
"2",2,-0.26562
"3",3,-0.01265
"4",4,-1.43122
"5",5,-2.03763
"6",6,-0.21557
"7",7,0.31156
"8",8,-0.01238
"9",9,1.21935
"10",10,1.68878
"11",11,-0.25072
"12",12,-0.36377
"13",13,-0.19018
"14",14,0.11405
"15",15,1.06257
"16",16,1.08051
"17",17,1.38852
"18",18,0.41559
"19",19,2.28341
"20",20,1.16283
"21",21,1.67733
"22",22,2.19975
"23",23,2.22445
"24",24,1.61552
"25",25,1.22053
"26",26,2.98847
"27",27,2.93562
"28",28,3.30164
"29",29,3.00882
"30",30,3.25035
"31",31,3.00119
"32",32,1.99269
"33",33,2.9921
"34",34,3.15369
"35",35,4.27616
"36",36,3.99574
"37",37,3.36665
"38",38,5.74931
"39",39,5.54778
"40",40,5.95717
"41",41,6.06768
"42",42,6.84505
"43",43,6.17746
"44",44,6.34316
"45",45,6.8175
"46",46,4.19324
"47",47,4.59088
"48",48,2.72785
"49",49,3.56401
"50",50,4.57672
"51",51,4.43031
"52",52,5.4987
"53",53,6.16741
"54",54,8.40961
"55",55,7.86863
"56",56,7.58613
"57",57,7.75676
"58",58,5.19904
"59",59,5.2641
"60",60,4.83394
