"","time","euph"
"1",1,0.243988
"2",2,0.376678
"3",3,0.486389
"4",4,0.572266
"5",5,0.634888
"6",6,0.677856
"7",7,0.702606
"8",8,0.712982
"9",9,0.712006
"10",10,0.701782
"11",11,0.681366
"12",12,0.650238
"13",13,0.608398
"14",14,0.55368
"15",15,0.485596
"16",16,0.405609
"17",17,0.317139
"18",18,0.223816
"19",19,0.132202
"20",20,0.052063
"21",21,-0.009338
"22",22,-0.050262
"23",23,-0.07074
"24",24,-0.077057
"25",25,-0.075958
"26",26,-0.077057
"27",27,-0.08728
"28",28,-0.111633
"29",29,-0.151154
"30",30,-0.207123
"31",31,-0.27713
"32",32,-0.355286
"33",33,-0.436554
"34",34,-0.518005
"35",35,-0.594391
"36",36,-0.664581
"37",37,-0.7229
"38",38,-0.766876
"39",39,-0.794067
"40",40,-0.797272
"41",41,-0.772034
"42",42,-0.714478
"43",43,-0.622833
"44",44,-0.501465
"45",45,-0.356079
"46",46,-0.195007
"47",47,-0.029388
"48",48,0.131744
"49",49,0.278503
"50",50,0.405212
"51",51,0.507935
"52",52,0.586914
"53",53,0.643951
"54",54,0.681824
"55",55,0.703094
"56",56,0.710785
"57",57,0.707764
"58",58,0.696533
"59",59,0.675842
"60",60,0.643829
"61",61,0.602081
"62",62,0.546783
"63",63,0.476349
"64",64,0.39444
"65",65,0.303925
"66",66,0.210114
"67",67,0.119843
"68",68,0.043457
"69",69,-0.013855
"70",70,-0.049591
"71",71,-0.066406
"72",72,-0.069824
"73",73,-0.067505
"74",74,-0.069977
"75",75,-0.083862
"76",76,-0.113159
"77",77,-0.157196
"78",78,-0.21698
"79",79,-0.290771
"80",80,-0.371735
"81",81,-0.455231
"82",82,-0.536285
"83",83,-0.611694
"84",84,-0.678009
"85",85,-0.732239
"86",86,-0.772278
"87",87,-0.794586
"88",88,-0.792175
"89",89,-0.760864
"90",90,-0.696838
"91",91,-0.598907
"92",92,-0.472198
"93",93,-0.32309
"94",94,-0.160309
"95",95,0.006226
"96",96,0.164459
"97",97,0.306366
"98",98,0.427612
"99",99,0.523987
"100",100,0.597382
"101",101,0.64917
"102",102,0.682037
"103",103,0.699036
"104",104,0.702942
"105",105,0.69754
"106",106,0.682892
"107",107,0.659637
"108",108,0.624664
"109",109,0.579132
"110",110,0.519897
"111",111,0.446777
"112",112,0.363342
"113",113,0.271973
"114",114,0.178986
"115",115,0.0914
"116",116,0.019012
"117",117,-0.032867
"118",118,-0.063171
"119",119,-0.075317
"120",120,-0.075592
"121",121,-0.071991
"122",122,-0.074738
"123",123,-0.090027
"124",124,-0.121857
"125",125,-0.1698
"126",126,-0.23349
"127",127,-0.30954
"128",128,-0.391632
"129",129,-0.475311
"130",130,-0.556
"131",131,-0.630432
"132",132,-0.695679
"133",133,-0.74881
"134",134,-0.786621
"135",135,-0.805511
"136",136,-0.798248
"137",137,-0.759583
"138",138,-0.688232
"139",139,-0.583496
"140",140,-0.451813
"141",141,-0.297821
"142",142,-0.133057
"143",143,0.034393
"144",144,0.191681
"145",145,0.330292
"146",146,0.446442
"147",147,0.538727
"148",148,0.607727
"149",149,0.655609
"150",150,0.685577
"151",151,0.700958
"152",152,0.704071
"153",153,0.69754
"154",154,0.681793
"155",155,0.656586
"156",156,0.621368
"157",157,0.57431
"158",158,0.513428
"159",159,0.438599
"160",160,0.353546
"161",161,0.261658
"162",162,0.169464
"163",163,0.085297
"164",164,0.016968
"165",165,-0.03125
"166",166,-0.058441
"167",167,-0.06778
"168",168,-0.067322
"169",169,-0.065216
"170",170,-0.071411
"171",171,-0.09079
"172",172,-0.126831
"173",173,-0.178833
"174",174,-0.246521
"175",175,-0.324738
"176",176,-0.407471
"177",177,-0.491333
"178",178,-0.570007
"179",179,-0.641693
"180",180,-0.701752
"181",181,-0.748901
"182",182,-0.780762
"183",183,-0.793121
"184",184,-0.779358
"185",185,-0.73465
"186",186,-0.657623
"187",187,-0.548187
"188",188,-0.411743
"189",189,-0.255951
"190",190,-0.090729
"191",191,0.075317
"192",192,0.230011
"193",193,0.364807
"194",194,0.476624
"195",195,0.563477
"196",196,0.62619
"197",197,0.667236
"198",198,0.690765
"199",199,0.700378
"200",200,0.698517
"201",201,0.689636
"202",202,0.671295
"203",203,0.644592
"204",204,0.607269
"205",205,0.558167
"206",206,0.494812
"207",207,0.420074
"208",208,0.335754
"209",209,0.245178
"210",210,0.155701
"211",211,0.07547
"212",212,0.011932
"213",213,-0.03067
"214",214,-0.053711
"215",215,-0.06131
"216",216,-0.060364
"217",217,-0.06015
"218",218,-0.069611
"219",219,-0.093323
"220",220,-0.134399
"221",221,-0.190765
"222",222,-0.262421
"223",223,-0.34314
"224",224,-0.427551
"225",225,-0.511353
"226",226,-0.590546
"227",227,-0.662048
"228",228,-0.721802
"229",229,-0.768036
"230",230,-0.797699
"231",231,-0.805481
"232",232,-0.785583
"233",233,-0.733337
"234",234,-0.647491
"235",235,-0.52948
"236",236,-0.38559
"237",237,-0.224091
"238",238,-0.054474
"239",239,0.110443
"240",240,0.261536
"241",241,0.391083
"242",242,0.497253
"243",243,0.578674
"244",244,0.636505
"245",245,0.674316
"246",246,0.695343
