"","time","oilfilters"
"1",1983.5,2385
"2",1983.58333333333,3302
"3",1983.66666666667,3958
"4",1983.75,3302
"5",1983.83333333333,2441
"6",1983.91666666667,3107
"7",1984,5862
"8",1984.08333333333,4536
"9",1984.16666666667,4625
"10",1984.25,4492
"11",1984.33333333333,4486
"12",1984.41666666667,4005
"13",1984.5,3744
"14",1984.58333333333,2546
"15",1984.66666666667,1954
"16",1984.75,2285
"17",1984.83333333333,1778
"18",1984.91666666667,3222
"19",1985,5472
"20",1985.08333333333,5310
"21",1985.16666666667,1965
"22",1985.25,3791
"23",1985.33333333333,3622
"24",1985.41666666667,3726
"25",1985.5,3370
"26",1985.58333333334,2535
"27",1985.66666666667,1572
"28",1985.75,2146
"29",1985.83333333334,2249
"30",1985.91666666667,1721
"31",1986,5357
"32",1986.08333333334,5811
"33",1986.16666666667,2436
"34",1986.25,4608
"35",1986.33333333334,2871
"36",1986.41666666667,3349
"37",1986.5,2909
"38",1986.58333333334,2324
"39",1986.66666666667,1603
"40",1986.75,2148
"41",1986.83333333334,2245
"42",1986.91666666667,1586
"43",1987,5332
"44",1987.08333333334,5787
"45",1987.16666666667,2886
"46",1987.25,5475
"47",1987.33333333334,3843
"48",1987.41666666667,2537
