"","time","deere3"
"1",1,-500
"2",2,-1250
"3",3,-500
"4",4,-3000
"5",5,-2375
"6",6,2000
"7",7,2375
"8",8,1500
"9",9,-625
"10",10,250
"11",11,0
"12",12,625
"13",13,3125
"14",14,2125
"15",15,2250
"16",16,3875
"17",17,1000
"18",18,250
"19",19,750
"20",20,750
"21",21,-375
"22",22,-625
"23",23,-875
"24",24,-1125
"25",25,250
"26",26,-250
"27",27,-125
"28",28,-1750
"29",29,625
"30",30,125
"31",31,625
"32",32,-375
"33",33,875
"34",34,-500
"35",35,250
"36",36,625
"37",37,-250
"38",38,2375
"39",39,-2000
"40",40,125
"41",41,125
"42",42,-1000
"43",43,375
"44",44,-1250
"45",45,500
"46",46,1625
"47",47,1875
"48",48,1875
"49",49,3000
"50",50,3625
"51",51,750
"52",52,-1125
"53",53,-2875
"54",54,-5750
"55",55,-1750
"56",56,-750
"57",57,-750
