"","r","v","hkrate","outlier1","outlier2","day"
"1",-0.030453479,0.0006806746,-0.03086896,0,0,1
"2",-0.011479839,0.0007505721,-0.006432233,0,0,2
"3",0.0246746692,0.0005650065,0.02572645,0,0,3
"4",0.0427839873,0.0006218054,0.03857727,0,0,4
"5",0.1078237475,0.000999737,0.1015157,0,0,5
"6",0.056406694,0.0034864387,0.03980713,0,0,6
"7",0.0873587208,0.0021131041,0.08084957,0,0,7
"8",-0.029121324,0.002769917,-0.04234162,0,0,8
"9",-0.006923584,0.0026393799,0,0,0,9
"10",-0.01796853,0.001646087,-0.01796853,0,0,10
"11",0.0663512361,0.0017530496,0.0692894,0,0,11
"12",0.0164606483,0.0028420874,0.005130639,0,0,12
"13",-0.019685192,0.0016254562,-0.02052414,0,0,13
"14",-0.04313355,0.0012331909,-0.0397775,0,0,14
"15",0.0499493742,0.0021456454,0.05645368,0,0,15
"16",0.0028175612,0.002011089,-0.006413587,0,0,16
"17",0.0104954282,0.0010600738,0.01154416,0,0,17
"18",0.0339477888,0.0012652447,0.03206012,0,0,18
"19",0.0142173734,0.0016127105,0.008974992,0,0,19
"20",-0.003660902,0.0009826888,-0.005128468,0,0,20
"21",-0.003402926,0.0008123485,-0.002564333,0,0,21
"22",0.0034271614,0.0009934179,0.003846474,0,0,22
"23",-0.0044997,0.0007485243,-0.005128665,0,0,23
"24",0.006854275,0.0005730031,0.0076929,0,0,24
"25",0.0025400135,0.0006399003,0.001282092,0,0,25
"26",0.0091838301,0.0005436813,0.008974186,0,0,26
"27",0.0014674339,0.0004393644,0,0,0,27
"28",-0.002563971,0.0004293094,-0.002563971,0,0,28
"29",-0.004265333,0.0003888156,-0.00384608,0,0,29
"30",-0.008321504,0.0003278763,-0.007692604,0,0,30
"31",0.0025885029,0.000320819,0.003846376,0,0,31
"32",0.0108852287,0.0002882756,0.01025628,0,0,32
"33",0.0209047683,0.0002765326,0.01922769,0,0,33
"34",-0.009673992,0.0003527435,-0.01281805,0,0,34
"35",0.0017496152,0.0002742915,0.003845587,0,0,35
"36",-0.01988269,0.0002143559,-0.02051151,0,0,36
"37",0.0004922431,0.0003405217,0.003846228,0,0,37
"38",-0.008345838,0.0002458333,-0.008974762,0,0,38
"39",0.028017952,0.0001923356,0.02948548,0,0,39
"40",-0.011843257,0.0004285433,-0.01666464,0,0,40
"41",0.0100942446,0.0002958934,0.0128192,0,0,41
"42",-0.01969745,0.0001964766,-0.02179361,0,0,42
"43",0.0143843997,0.0003692356,0.01794803,0,0,43
"44",0.0003710048,0.0003192678,-0.002563807,0,0,44
"45",0.0072719964,0.0001856457,0.007691223,0,0,45
"46",-0.012843383,0.0002494489,-0.01410103,0,0,46
"47",0.0015401709,0.000284724,0.003845932,0,0,47
"48",-0.008345195,0.0001814375,-0.008974071,0,0,48
"49",0.002378714,0.0001954619,0.003846129,0,0,49
"50",-0.000653119,0.0002110591,-0.001282027,0,0,50
"51",-0.002773736,0.000161323,-0.002564103,0,0,51
"52",-0.001701351,0.0001534847,-0.001282076,0,0,52
"53",0.0100465085,0.0001623813,0.01025615,0,0,53
"54",0.001677057,0.0001655779,0,0,0,54
"55",0,0.0001370491,0,0,0,55
"56",0.001281944,0.0001317617,0.001281944,0,0,56
"57",-0.008764336,0.0001348422,-0.008973956,0,0,57
"58",0.0216068638,0.0001409035,0.02307426,0,0,58
"59",-0.015455141,0.0002381438,-0.01922818,0,0,59
"60",-0.009554353,0.0002114582,-0.006410215,0,0,60
"61",0.0117718395,0.000159978,0.01282002,0,0,61
"62",-0.001749539,0.0002074687,-0.003845833,0,0,62
"63",-0.00062886,0.0001793011,0,0,0,63
"64",-0.005128008,0.0001396707,-0.005128008,0,0,64
"65",0.0427411724,0.0001605521,0.04357969,0,0,65
"66",-0.039017761,0.0006104281,-0.04614379,0,0,66
"67",-0.003699175,0.0006497438,0.003846129,0,0,67
"68",0.0044748893,0.000249665,0.003845981,0,0,68
"69",-0.004499124,0.0003508809,-0.005128008,0,0,69
"70",-0.012377498,0.0004393226,-0.01153898,0,0,70
"71",0.0109341882,0.000289482,0.01282101,0,0,71
"72",-0.012006744,0.0002775879,-0.0141032,0,0,72
"73",-0.003588323,0.0003386533,-0.001282207,0,0,73
"74",0.0228675571,0.0002501319,0.02307722,0,0,74
"75",-0.002636281,0.0003398577,-0.006409804,0,0,75
"76",-0.001048113,0.0002762869,0,0,0,76
"77",-0.002564037,0.000202423,-0.002564037,0,0,77
"78",-0.001701307,0.0002322024,-0.001282043,0,0,78
"79",-0.00790224,0.0002154161,-0.007692604,0,0,79
"80",0.0089987969,0.0001853809,0.01025667,0,0,80
"81",-0.003451063,0.0001973805,-0.005128205,0,0,81
"82",0.0081356362,0.0001780392,0.008974186,0,0,82
"83",-0.004942617,0.000169578,-0.006410051,0,0,83
"84",-0.003612289,0.0001643021,-0.002564135,0,0,84
"85",-0.00041928,0.0001508957,0,0,0,85
"86",0.02820187,0.0001397861,0.02820187,0,0,86
"87",0.0161463311,0.0003354472,0.01153484,0,0,87
"88",-0.028876385,0.0002549657,-0.03076253,0,0,88
"89",-0.00631218,0.000350804,-0.001281977,0,0,89
"90",-0.007901834,0.0002858704,-0.007692209,0,0,90
"91",2.42675e-05,0.0002222239,0.001282076,0,0,91
"92",-0.004918761,0.0002412135,-0.005128402,0,0,92
"93",-0.009813919,0.0002265009,-0.008975337,0,0,93
"94",0.0267378679,0.0002064161,0.02820549,0,0,94
"95",-0.012053837,0.000367125,-0.01666592,0,0,95
"96",0.0203499853,0.0002672975,0.02307515,0,0,96
"97",-0.016737796,0.0002792659,-0.02051098,0,0,97
"98",-0.005918066,0.0003392708,-0.002564168,0,0,98
"99",-0.006829994,0.0002446034,-0.006410708,0,0,99
"100",0.0015160719,0.0002188813,0.002564333,0,0,100
"101",-0.014967667,0.0002388538,-0.01538698,0,0,101
"102",0.003895494,0.0002557408,0.00641153,0,0,102
"103",0.0138702255,0.0001934693,0.01282183,0,0,103
"104",0.0008144809,0.0002274953,-0.001282109,0,0,104
"105",-0.002773914,0.0002039318,-0.002564267,0,0,105
"106",-0.006830257,0.0001640025,-0.006410955,0,0,106
"107",-0.006177361,0.0001808879,-0.00512906,0,0,107
"108",0.0068548014,0.0001758411,0.007693491,0,0,108
"109",0.0102330102,0.0001548757,0.008974992,0,0,109
"110",-0.011354094,0.0001719562,-0.01282166,0,0,110
"111",0.0299545179,0.0001827295,0.03205108,0,0,111
"112",-0.016552707,0.0003675941,-0.02179361,0,0,112
"113",-0.04716511,0.0002747136,-0.04360148,0,0,113
"114",-0.005846924,0.0007259944,0.001282668,0,0,114
"115",-0.008769283,0.0004137654,-0.008979021,0,0,115
"116",0.0113587055,0.0002397332,0.01282693,0,0,116
"117",0.0264640538,0.0004555436,0.02436663,0,0,117
"118",0.0168065233,0.0005252622,0.01282216,0,0,118
"119",0.0072250458,0.0003335882,0.005128402,0,0,119
"120",-0.051740018,0.0003186248,-0.0525786,0,0,120
"121",-0.017577103,0.0010287762,-0.008979597,0,0,121
"122",-0.006599879,0.000554654,-0.00513156,0,0,122
"123",0.0350762916,0.0002681189,0.03591539,0,0,123
"124",-0.090358176,0.0008807283,-0.09623096,0,0,124
"125",0.012501932,0.0026054107,0.02823735,0,0,125
"126",-0.003083011,0.0009138301,-0.007700304,0,0,126
"127",0.0038744698,0.0005037995,0.005133602,0,0,127
"128",0.0265034923,0.0014047924,0.02566406,0,0,128
"129",0.0016304065,0.0010431815,-0.002566109,0,0,129
"130",0.044477807,0.0004652551,0.04489741,0,0,130
"131",0.0445269492,0.0012726696,0.03718545,0,0,131
"132",-0.014433939,0.0013940042,-0.0205144,0,0,132
"133",-0.000789927,0.0006177232,0.00256453,0,0,133
"134",0.0017015848,0.0007215196,0.00128224,0,0,134
"135",0.0079027653,0.0008878306,0.007693097,0,0,135
"136",0.0038221878,0.0005541503,0.002564234,0,0,136
"137",-0.002144938,0.0004762899,-0.002564234,0,0,137
"138",0.0059911656,0.0005647992,0.006410462,0,0,138
"139",-0.096435179,0.0004395346,-0.0974834,0,0,139
"140",-0.036475154,0.0026890575,-0.02053494,0,0,140
