"","time","robot"
"1",1,0.0011
"2",2,0.0011
"3",3,0.0024
"4",4,0
"5",5,-0.0018
"6",6,0.0055
"7",7,0.0055
"8",8,-0.0015
"9",9,0.0047
"10",10,-1e-04
"11",11,0.0031
"12",12,0.0031
"13",13,0.0052
"14",14,0.0034
"15",15,0.0027
"16",16,0.0041
"17",17,0.0041
"18",18,0.0034
"19",19,0.0067
"20",20,0.0028
"21",21,0.0083
"22",22,0.0083
"23",23,0.003
"24",24,0.0032
"25",25,0.0035
"26",26,0.0041
"27",27,0.0041
"28",28,0.0053
"29",29,0.0026
"30",30,0.0074
"31",31,0.0011
"32",32,0.0011
"33",33,-1e-04
"34",34,8e-04
"35",35,4e-04
"36",36,0
"37",37,0
"38",38,-9e-04
"39",39,0.0038
"40",40,0.0054
"41",41,2e-04
"42",42,2e-04
"43",43,0.0036
"44",44,-4e-04
"45",45,0.0017
"46",46,0
"47",47,0
"48",48,0.0047
"49",49,0.0021
"50",50,0.008
"51",51,0.0029
"52",52,0.0029
"53",53,0.0042
"54",54,0.0052
"55",55,0.0056
"56",56,0.0055
"57",57,0.0055
"58",58,0.001
"59",59,0.0043
"60",60,6e-04
"61",61,0.0013
"62",62,0.0013
"63",63,8e-04
"64",64,0.0023
"65",65,0.0043
"66",66,0.0013
"67",67,0.0013
"68",68,0.0045
"69",69,0.0037
"70",70,0.0015
"71",71,0.0013
"72",72,0.0013
"73",73,0.0029
"74",74,0.0039
"75",75,-0.0018
"76",76,0.0016
"77",77,0.0016
"78",78,-3e-04
"79",79,0
"80",80,9e-04
"81",81,0.0017
"82",82,0.0017
"83",83,0.003
"84",84,-1e-04
"85",85,0.007
"86",86,-8e-04
"87",87,-8e-04
"88",88,9e-04
"89",89,0.0025
"90",90,0.0031
"91",91,2e-04
"92",92,2e-04
"93",93,0.0022
"94",94,0.002
"95",95,3e-04
"96",96,0.0033
"97",97,0.0033
"98",98,0.0044
"99",99,-0.001
"100",100,0.0048
"101",101,0.0019
"102",102,0.0019
"103",103,0.0031
"104",104,0.002
"105",105,0.0017
"106",106,0.0014
"107",107,0.0014
"108",108,0.0039
"109",109,0.0052
"110",110,0.002
"111",111,0.0012
"112",112,0.0012
"113",113,0.0031
"114",114,0.0022
"115",115,0.004
"116",116,0.0038
"117",117,0.0038
"118",118,7e-04
"119",119,0.0016
"120",120,0.0024
"121",121,3e-04
"122",122,3e-04
"123",123,0.0057
"124",124,6e-04
"125",125,9e-04
"126",126,0.004
"127",127,0.004
"128",128,0.0035
"129",129,0.0032
"130",130,0.0068
"131",131,0.0028
"132",132,0.0028
"133",133,0.0048
"134",134,0.0035
"135",135,0.0042
"136",136,-0.002
"137",137,-0.002
"138",138,0.0023
"139",139,-0.0011
"140",140,0.0062
"141",141,-0.0021
"142",142,-0.0021
"143",143,0
"144",144,-0.0019
"145",145,-5e-04
"146",146,0.0048
"147",147,0.0048
"148",148,0.0027
"149",149,9e-04
"150",150,-2e-04
"151",151,0.0079
"152",152,0.0079
"153",153,0.0017
"154",154,0.0034
"155",155,0.003
"156",156,0.0025
"157",157,0.0025
"158",158,4e-04
"159",159,0.0031
"160",160,0.0057
"161",161,-3e-04
"162",162,-3e-04
"163",163,6e-04
"164",164,0.0018
"165",165,0.0022
"166",166,0.0042
"167",167,0.0042
"168",168,0.0055
"169",169,-5e-04
"170",170,-0.0053
"171",171,0.0028
"172",172,0.0028
"173",173,5e-04
"174",174,0.0036
"175",175,0.0017
"176",176,-0.0043
"177",177,-0.0043
"178",178,0.0066
"179",179,-0.0016
"180",180,0.0055
"181",181,-0.0011
"182",182,-0.0011
"183",183,-0.0049
"184",184,0.0047
"185",185,0.0056
"186",186,0.0057
"187",187,0.0057
"188",188,-2e-04
"189",189,0.0056
"190",190,0.0037
"191",191,0.0012
"192",192,0.0012
"193",193,0.0018
"194",194,-0.0025
"195",195,-0.0011
"196",196,0.0027
"197",197,0.0027
"198",198,0.0039
"199",199,0.0058
"200",200,3e-04
"201",201,0.004
"202",202,0.004
"203",203,0.0042
"204",204,0
"205",205,0.0056
"206",206,-0.0029
"207",207,-0.0029
"208",208,-0.0026
"209",209,0.0016
"210",210,0.0019
"211",211,0.0015
"212",212,0.0015
"213",213,7e-04
"214",214,7e-04
"215",215,-0.0044
"216",216,-0.003
"217",217,-0.003
"218",218,0.0013
"219",219,0.0029
"220",220,-0.001
"221",221,9e-04
"222",222,9e-04
"223",223,-0.0016
"224",224,0
"225",225,0
"226",226,0.0014
"227",227,0.0014
"228",228,-3e-04
"229",229,9e-04
"230",230,-0.0068
"231",231,3e-04
"232",232,3e-04
"233",233,-0.0012
"234",234,0.0037
"235",235,-0.0019
"236",236,0.0023
"237",237,0.0023
"238",238,-0.0033
"239",239,-2e-04
"240",240,-0.001
"241",241,0.0021
"242",242,0.0021
"243",243,0.0026
"244",244,-2e-04
"245",245,0.0011
"246",246,0.0028
"247",247,0.0028
"248",248,-4e-04
"249",249,0.0026
"250",250,-0.0015
"251",251,2e-04
"252",252,2e-04
"253",253,0.0018
"254",254,-5e-04
"255",255,4e-04
"256",256,-8e-04
"257",257,-8e-04
"258",258,0.0018
"259",259,0.0019
"260",260,0.0029
"261",261,-0.0022
"262",262,-0.0022
"263",263,0.001
"264",264,-0.0033
"265",265,0.002
"266",266,0
"267",267,0
"268",268,3e-04
"269",269,7e-04
