"","time","SP"
"1",1936,149.2
"2",1936.25,148.4
"3",1936.5,160.1
"4",1936.75,171.8
"5",1937,179.2
"6",1937.25,154
"7",1937.5,137.6
"8",1937.75,105.5
"9",1938,85
"10",1938.25,115.6
"11",1938.5,122.4
"12",1938.75,132.1
"13",1939,109.8
"14",1939.25,108.6
"15",1939.5,130.2
"16",1939.75,124.9
"17",1940,122.5
"18",1940.25,99.8
"19",1940.5,106.6
"20",1940.75,105.8
"21",1941,99.6
"22",1941.25,98.5
"23",1941.5,102
"24",1941.75,86.9
"25",1942,81.1
"26",1942.25,83
"27",1942.5,88.5
"28",1942.75,97.7
"29",1943,115.8
"30",1943.25,123.5
"31",1943.5,120.8
"32",1943.75,116.7
"33",1944,120.2
"34",1944.25,129.8
"35",1944.5,127.8
"36",1944.75,132.8
"37",1945,136.4
"38",1945.25,149.6
"39",1945.5,161.6
"40",1945.75,173.6
"41",1946,180.8
"42",1946.25,184.3
"43",1946.5,149.6
"44",1946.75,153
"45",1947,151.7
"46",1947.25,152.1
"47",1947.5,151.1
"48",1947.75,153
"49",1948,150.8
"50",1948.25,167.4
"51",1948.5,154.9
"52",1948.75,152
"53",1949,150.6
"54",1949.25,141.6
"55",1949.5,155.8
"56",1949.75,167.6
"57",1950,172.9
"58",1950.25,176.9
"59",1950.5,194.5
"60",1950.75,204.1
"61",1951,214
"62",1951.25,209.6
"63",1951.5,232.6
"64",1951.75,237.7
"65",1952,243.7
"66",1952.25,249.6
"67",1952.5,245.4
"68",1952.75,265.7
"69",1953,252.9
"70",1953.25,241.4
"71",1953.5,233.5
"72",1953.75,248.1
"73",1954,269.4
"74",1954.25,292.1
"75",1954.5,323.1
"76",1954.75,359.8
"77",1955,365.8
"78",1955.25,410.3
"79",1955.5,436.7
"80",1955.75,454.8
"81",1956,484.8
"82",1956.25,469.7
"83",1956.5,453.5
"84",1956.75,466.7
"85",1957,441.1
"86",1957.25,473.7
"87",1957.5,424.2
"88",1957.75,399.9
"89",1958,421
"90",1958.25,452.4
"91",1958.5,500.6
"92",1958.75,552.1
"93",1959,554.4
"94",1959.25,584.7
"95",1959.5,568.8
"96",1959.75,598.9
"97",1960,553.4
"98",1960.25,569.2
"99",1960.5,535.2
"100",1960.75,581.1
"101",1961,650.6
"102",1961.25,646.4
"103",1961.5,667.3
"104",1961.75,715.5
"105",1962,695.5
"106",1962.25,547.5
"107",1962.5,562.7
"108",1962.75,631
"109",1963,665.7
"110",1963.25,693.7
"111",1963.5,717
"112",1963.75,750.2
"113",1964,789.8
"114",1964.25,816.9
"115",1964.5,841.8
"116",1964.75,847.5
"117",1965,861.6
"118",1965.25,841.2
"119",1965.5,899.6
"120",1965.75,924.3
"121",1966,892.3
"122",1966.25,847.4
"123",1966.5,765.6
"124",1966.75,803.3
"125",1967,902
"126",1967.25,906.4
"127",1967.5,967.1
"128",1967.75,964.7
"129",1968,902
"130",1968.25,995.8
"131",1968.5,1026.7
"132",1968.75,1028.6
"133",1969,1015.1
"134",1969.25,977.1
"135",1969.5,931.2
"136",1969.75,920.6
"137",1970,896.3
"138",1970.25,727.2
"139",1970.5,842.1
"140",1970.75,921.5
"141",1971,1003.1
"142",1971.25,997
"143",1971.5,983.4
"144",1971.75,1020.9
"145",1972,1072
"146",1972.25,1071.4
"147",1972.5,1105.5
"148",1972.75,1180.5
"149",1973,1115.2
"150",1973.25,1042.6
"151",1973.5,1084.3
"152",1973.75,975.5
"153",1974,939.8
"154",1974.25,860
"155",1974.5,635.4
"156",1974.75,685.6
"157",1975,833.6
"158",1975.25,951.9
"159",1975.5,838.7
"160",1975.75,801.9
"161",1976,1027.7
"162",1976.25,1042.8
"163",1976.5,1052.4
"164",1976.75,1074.6
"165",1977,984.2
"166",1977.25,1004.8
"167",1977.5,965.3
"168",1977.75,951
