"","time","ar1.2.s"
"1",1,-0.0677787262714146
"2",2,1.49943342414609
"3",3,0.488805858540044
"4",4,0.398661330769096
"5",5,-0.516249318455942
"6",6,0.867620419867054
"7",7,1.31439845140649
"8",8,1.29584622360161
"9",9,0.0881589949387024
"10",10,0.794821614044445
"11",11,1.53856106968274
"12",12,1.08252231814327
"13",13,-0.347218537532736
"14",14,2.02658188519465
"15",15,0.32187760657565
"16",16,0.0825433921949882
"17",17,1.38097051468222
"18",18,0.902436619594476
"19",19,1.08960671586422
"20",20,-0.182231375313202
"21",21,1.02535552379104
"22",22,-0.036136239031931
"23",23,-0.176622596905118
"24",24,0.573363000140048
"25",25,-1.8823776322688
"26",26,-1.19817921813213
"27",27,-1.3018571346556
"28",28,-1.7599950762594
"29",29,-0.752965136513285
"30",30,-0.338190423634347
"31",31,0.020942126403534
"32",32,-1.38203311047839
"33",33,-0.267272102975144
"34",34,-0.0409093145570471
"35",35,-1.80494524444944
"36",36,-3.91041385373938
"37",37,-1.3694440562645
"38",38,-0.538207997624601
"39",39,-0.454508507592299
"40",40,0.305278415627339
"41",41,0.523404588001428
"42",42,0.107381768687602
"43",43,-1.48991194110464
"44",44,-0.119705914908205
"45",45,1.29032062707647
"46",46,0.753218850550128
"47",47,-0.209492192112702
"48",48,-1.27744587655507
"49",49,-1.29316767624542
"50",50,-1.48497500501924
"51",51,0.58496065283783
"52",52,-0.189079561756263
"53",53,1.21643693863975
"54",54,-0.149383142740716
"55",55,-0.995024709599507
"56",56,-0.642195185070113
"57",57,-0.372007740544288
"58",58,-0.125195365144601
"59",59,-0.655650902098724
"60",60,-0.780678871738216
