"","id","name","location","river","stationDescription","catchmentDescription","hydrometricArea","operator","haName","gridReference","stationType","catchmentArea","gdfStart","gdfEnd","farText","categories","altitude","sensitivity","lat","lon","Region","RecordedYears"
"1","1001","Wick at Tarroul","Tarroul","Wick","Velocity-area station with cableway in relatively straight (formalised) section.  Rarely by-passed; MAF probably contained. Natural flow regime.","Relatively dry and flat catchment given over largely to agriculture (arable and pasture). Almost entirely covered with superficial deposits.","1","Scottish Environment Protection Agency - North West","Wick Group","ND262549","Velocity-area",161.9,1995,2014,NA,"HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016",13,20,58.4760607656954,-3.26708999057457,"Scotland",19
"2","2001","Helmsdale at Kilphedir","Kilphedir","Helmsdale","Velocity-area station; approx. 35m wide river section with flows outflanking cableway on rb at extreme stages. Adequately gauged to bankfull. Ratings extrapolated beyond 2.2m. Loch Badanloch and An-Ruathair used for river regulation (to benefit fisheries) utilising 30% of catchment, reduced to 24% in Nov 1986 following removal of control structure on Loch An-Ruathair. Data available on storage changes in both lochs.","Typical Scottish upland impermeable bedrock catchment almost entirely covered with superficial deposits. Mix of hill pasture and moorland with some 20 sq.km of surface storage distributed over several medium size lochs.","2","Scottish Environment Protection Agency - North West","Helmsdale Group","NC998181","Velocity-area",551.4,1975,2014,"R: Regulation from surface water and/or ground water.","FEH_POOLING,FEH_QMED,FUTURE_FLOWS,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",17,9.1,58.1404265900151,-3.7035835019426,"Scotland",39
"3","2002","Brora at Bruachrobie","Bruachrobie","Brora","Velocity-area station about 40 m wide with relatively stable cobble control at the end of the measuring reach. Ratings extrapolated beyond 1.8m. Mainly natural regime. Small headwater diversion into the Shin catchment (HEP). Major storage in Loch Brora (no control).","Mountainous headwaters, often snowy in winter. Bedrock predominantly impermeable with extensive superficial deposits. Rough pasture and moorland, some forest, with arable land d/s.","2","Scottish Environment Protection Agency - North West","Helmsdale Group","NC891039","Velocity-area",434.4,1993,2014,NA,"FEH_POOLING,FEH_QMED,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016",9,11,58.010399278311,-3.87850508406888,"Scotland",21
"4","3001","Shin at Lairg","Lairg","Shin","River section between main Loch Shin (HEP) dam and diversion dam at Lairg. 1953-56 data pre-dates the start of impoundment (and includes important 1955 recession). 1957 data are compensation flows only.","","3","North of Scotland Hydro-Electric Board","Shin Group","NC581062","Velocity-area",494.6,1953,1957,NA,"HR2008,HRS1996REG,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",81.7,5.7,58.0222177368056,-4.4040490601393,"Scotland",4
"5","3002","Carron at Sgodachail","Sgodachail","Carron","Velocity-area station; river section about 35m wide, natural control. Well gauged to bank-full. Gravel bed with problems of stability in low flow control necessitating revised rating from time to time. Ratings extrapolated beyond 2.5m. Computed low flows are natural in relation to about 80% of catchment; remainder of headwaters are diverted at low and medium flows to Conon Valley hydro scheme.","Approx. 80% of this remote Highland catchment is below 600m with a few hilltop tarns but no significant storage. Impermeable mountainous catchment, often snowy in winter. Landuse rough pasture with some forest cover.","3","Scottish Environment Protection Agency - North West","Shin Group","NH491921","Velocity-area",241.1,1974,2014,"H: Regulation for hydro-electric power.","FEH_POOLING,FEH_QMED,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",70.7,14,57.8927318255338,-4.54725851587522,"Scotland",40
"6","3003","Oykel at Easter Turnaig","Easter Turnaig","Oykel","Velocity-area station; 40m wide river section. Flows fully contained except in extreme circumstances (e.g. Oct 1978). Construction of random stone croys immediately d/s (Feb 1986) affected low flow rating significantly; relatively unstable gravel control remains subject to change after moderate flood events. Nov-Dec 2010 flows considered suspect due to extended period of freezing conditions. 100% natural flow regime with little loch storage.","Catchment is typical Highland mix of rough grazing and moorland with some afforestation in middle reaches. Mountainous headwaters, often snowy in winter. Impermeable bedrock with >80% overlain by superficial deposits.","3","Scottish Environment Protection Agency - North West","Shin Group","NC403001","Velocity-area",330.7,1977,2014,"N: Natural to within 10% at the 95 percentile flow.","FEH_POOLING,FEH_QMED,FRIEND-EWA,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2003,WEB_SUMMARY_2003",15.6,14,57.9614448749668,-4.70091372182687,"Scotland",37
"7","3004","Cassley at Rosehall","Rosehall","Cassley","Velocity-area station; cableway at 35m wide river section located 400m d/s of stage measuring site. Stable gabion groyne control adequately gauged to bankfull. Nov-Dec 2010 flows considered suspect due to extended period of freezing conditions. Runoff (apart from compensation flows and spillage) from 14% of upper catchment diverted to Shin hydro scheme. No significant surface storage.","Typical Highland mix of rough grazing and moorland with some afforestation.","3","Scottish Environment Protection Agency - North West","Shin Group","NC471021","Velocity-area",187.5,1979,2014,"H: Regulation for hydro-electric power.","HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",3.3,6,57.981778388654,-4.58741165252796,"Scotland",35
"8","3005","Shin at Inveran","Inveran","Shin","30m wide river section contained at all but historic stages by lh floodbank. Fully calibrated to bankfull with stable gravel control. Station measures only compensation flows and spillage from Shin Dam along with natural runoff from 44 sq.km. Turbine discharges bypass station but are recorded. Natural catchment is increased by 20% through interbasin transfers from R. Cassley, Hope, Naver and Brora - but large net export. Station closed during 2011.","Catchment is mainly rough grazing and moorland.","3","Scottish Environment Protection Agency - North West","Shin Group","NH574974","Velocity-area",575,1981,2011,"H: Regulation for hydro-electric power.","HR2008,HRS1996REG,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",4.3,7,57.9430236518284,-4.41057505333926,"Scotland",30
"9","4001","Conon at Moy Bridge","Moy Bridge","Conon","Velocity-area station; 80m wide river section with cableway in straight reach (which stands appreciably above the valley bottom). Rare bypassing, via right floodbank, during extreme flows (notch installed in floodbank, following 1989 flood, to avoid catastrophic failure). Station resited 20m u/s in Jan 1976, early flows less reliable. Patchy records prior to 1970. Gauged to bankfull. Catchment enhanced by 20% due to transfers from the Orrin, Ewe, Broom and Carron catchments for power generation. Extensive volumes of surface storage controlled for power generation (but no further development after 1960). Hydrograph dominated by influence of Torr Achilty power station. Particularly low flows during commissioning of HEP scheme (e.g. Sept 1956).","Impermeable bedrock with >50% overlain by superficial deposits. Mountainous with some afforestation.","4","Scottish Environment Protection Agency - North West","Conon Group","NH481546","Velocity-area",961.8,1947,2014,"H: Regulation for hydro-electric power.","FRIEND-EWA,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2003,WEB_SUMMARY_2003",10,6,57.5558951186586,-4.54040289496873,"Scotland",67
"10","4003","Alness at Alness","Alness","Alness","Velocity-area station; 20m wide fully contained river section with stable boulder control. Difficulties in c/m low flows. Adequately gauged to MAF but upgrading of high flow rating anticipated. Barrage on Loch Morie, through which 45% of catchment drains, was constructed in 1979 for river regulation (to benefit fisheries).","Mountainous headwaters, often snowy in winter. Bedrock predominantly Devonian sandstone with areas of Moinian metamorphics in the upper reaches of the catchment. Landuse mainly rough grazing and moorland with forestry.","4","Scottish Environment Protection Agency - North West","Conon Group","NH654695","Velocity-area",201,1974,2014,NA,"FEH_POOLING,FEH_QMED,FUTURE_FLOWS,HIFLOWS_INCLUDED,HIFLOWS_POOLING,HR2008,HRS1996REG,HRS1996STATS,MEAN_FLOW,NRFA,NRFA_MEAN_FLOW,NRFA_PEAK_FLOW,PEAK_FLOW,SLA,TEXT_2015_USE_NEW,WEB,WEB_DOWNLOAD_2016,WEB_SUMMARY_2003",11.9,9,57.6951110503695,-4.25982909608162,"Scotland",40
