"","source","destination","id","t","n","category"
"1",1,8184,"00001",2005-10-18,1,"Cattle"
"2",2,3478,"00002",2005-09-16,1,"Cattle"
"3",3,8184,"00003",2005-10-25,1,"Cattle"
"4",3,8184,"00004",2005-10-25,1,"Cattle"
"5",4,3478,"00005",2005-09-15,1,"Cattle"
"6",5,3478,"00006",2005-08-28,1,"Cattle"
"7",6,3478,"00007",2005-09-15,1,"Cattle"
"8",7,8185,"00008",2005-09-09,1,"Cattle"
"9",8,8186,"00009",2005-09-27,1,"Cattle"
"10",8,8186,"0000A",2005-09-27,1,"Cattle"
"11",8,8186,"0000B",2005-09-27,1,"Cattle"
"12",8,8186,"0000C",2005-09-27,1,"Cattle"
"13",9,8187,"0000D",2005-10-07,1,"Cattle"
"14",9,8187,"0000E",2005-10-07,1,"Cattle"
"15",10,9,"0000F",2005-10-27,1,"Cattle"
"16",10,9,"00010",2005-10-27,1,"Cattle"
"17",10,9,"00011",2005-10-27,1,"Cattle"
"18",10,9,"00012",2005-10-27,1,"Cattle"
"19",11,22,"00013",2005-10-25,1,"Cattle"
"20",11,22,"00014",2005-10-25,1,"Cattle"
"21",11,22,"00015",2005-10-25,1,"Cattle"
"22",11,22,"00016",2005-10-25,1,"Cattle"
"23",11,8188,"00017",2005-08-16,1,"Cattle"
"24",11,8188,"00018",2005-08-16,1,"Cattle"
"25",11,8189,"00019",2005-09-07,1,"Cattle"
"26",11,8189,"0001A",2005-09-07,1,"Cattle"
"27",11,8188,"0001B",2005-09-07,1,"Cattle"
"28",11,8188,"0001C",2005-09-07,1,"Cattle"
"29",12,8190,"0001D",2005-08-31,1,"Cattle"
"30",12,8190,"0001E",2005-08-31,1,"Cattle"
"31",12,8188,"0001F",2005-09-11,1,"Cattle"
"32",12,8188,"00020",2005-09-26,1,"Cattle"
"33",13,239,"00021",2005-08-25,1,"Cattle"
"34",13,239,"00022",2005-08-25,1,"Cattle"
"35",13,239,"00023",2005-08-25,1,"Cattle"
"36",13,239,"00024",2005-08-25,1,"Cattle"
"37",13,239,"00025",2005-08-25,1,"Cattle"
"38",13,8190,"00026",2005-08-31,1,"Cattle"
"39",13,8190,"00027",2005-09-14,1,"Cattle"
"40",13,8190,"00028",2005-09-14,1,"Cattle"
"41",14,6942,"00029",2005-10-05,1,"Cattle"
