"","NKPR","ED","CD","PH","family","env"
"1",36.0203125,4.33375,2.3175,2.0878125,"1","1"
"2",34.246875,4.045,2.25125,1.8921875,"2","1"
"3",28.1265625,3.74125,2.14125,2.119375,"3","1"
"4",30.725,4.321875,2.288125,2.085,"4","1"
"5",34.00625,4.66,2.500625,2.1003125,"5","1"
"6",36.5,4.32874999999999,2.43625,2.196875,"1","2"
"7",32.903125,3.88375,2.208125,1.6859375,"2","2"
"8",31.1125,3.56625,2.120625,2.02125,"3","2"
"9",29.6015625,3.961875,2.259375,1.9753125,"4","2"
"10",35.4234375,4.490625,2.47125,2.305,"5","2"
"11",35.8375000000001,4.481875,2.32375,1.8753125,"1","3"
"12",35.9500000000001,4.319375,2.528125,1.6003125,"2","3"
"13",32.9500000000001,3.778125,2.181875,1.9896875,"3","3"
"14",33.8500000000001,4.57875,2.585,1.933046875,"4","3"
"15",32.6500000000001,4.32,2.33,1.919375,"5","3"
"16",36.0622499999999,4.25444444444445,2.4015375,2.06,"1","4"
"17",26.00625,3.82875000000001,2.298125,1.6778125,"2","4"
"18",28.05,3.470625,2.064375,2.074375,"3","4"
"19",29.81875,4.11312500000001,2.338125,1.9984375,"4","4"
"20",32.75625,4.36500000000001,2.400625,1.855,"5","4"
