"","Lon","Lat","BNL1434.1","BNL1434.2","BNL840.1","BNL840.2","BNL2496.1","BNL2496.2","BNL1421.1","BNL1421.2","BNL1551.1","BNL1551.2","CIR249.1","CIR249.2","BNL3103.1","BNL3103.2","CIR311.1","CIR311.2","CIR246.1","CIR246.2"
"CE041",-39.513167,-6.872833,264,264,153,153,135,166,199,199,164,164,193,193,202,202,162,162,160,160
"CE042",-39.653333,-6.253167,264,264,153,153,119,127,199,205,164,164,193,199,NA,NA,162,162,160,160
"CE044",-39.6,-6.156167,264,264,153,153,112,119,199,205,164,164,193,199,NA,NA,162,162,160,160
"CE045",-39.395,-6.176167,NA,NA,153,153,127,127,199,199,164,164,193,193,202,204,162,162,160,160
"CE046",-39.362833,-6.814667,264,264,153,153,127,127,199,205,164,164,193,193,NA,NA,162,162,160,160
"CE047",-39.4465,-6.846333,264,278,153,153,112,127,199,205,166,166,193,193,204,204,162,176,160,160
"CE049",-39.274,-7.296333,264,264,153,153,127,127,199,199,166,166,199,199,204,204,162,162,160,160
"CE0410",-39.690333,-7.209833,264,264,153,153,127,135,193,205,170,170,193,193,204,204,162,162,160,160
"CE0411",-39.683167,-7.215,264,264,153,153,135,135,199,199,164,164,193,198,202,204,162,162,160,160
"CE0412",-40.041167,-7.098167,271,278,153,153,112,127,193,205,164,164,193,193,193,204,162,162,160,160
"CE0413",-40.141667,-6.726333,264,271,153,153,125,125,193,205,164,164,193,193,204,204,162,162,160,160
"CE0414",-40.020667,-6.719167,264,264,153,153,125,125,193,193,164,164,193,193,204,204,162,162,160,160
"CE0415",-40.093194,-6.753305,271,278,153,153,119,127,193,193,164,164,193,199,204,204,162,162,160,160
"CE0417",-40.121167,-6.526167,264,264,153,153,112,125,193,199,166,170,193,193,204,204,162,162,160,160
"CE0418",-40.058167,-5.830333,264,271,153,153,119,166,199,199,164,164,193,196,NA,NA,162,162,150,160
"CE0419",-40.065355,-5.8315,264,264,153,153,125,166,199,199,164,164,193,193,198,204,162,162,160,172
"CE0420",-40.548333,-5.387833,264,264,153,153,125,166,193,193,164,164,193,193,202,204,162,162,160,160
"CE0421",-40.476,-5.433333,264,271,153,153,125,125,193,199,164,164,193,193,NA,NA,162,162,158,160
"CE0422",-40.010333,-5.438666,264,264,153,153,125,166,199,205,164,164,193,193,198,198,162,162,158,160
"CE0423",-39.814833,-5.2325,264,264,NA,NA,NA,NA,NA,NA,164,164,193,193,NA,NA,162,162,150,150
"CE0424",-39.692333,-5.219833,264,271,153,153,127,166,193,199,164,164,193,193,NA,NA,162,162,160,160
"CE0425",-39.786,-5.220333,264,264,153,153,127,166,199,205,164,172,193,199,204,204,162,162,158,160
"CE0426",-40.048,-4.8315,264,271,153,153,127,166,NA,NA,164,164,193,193,202,204,162,162,160,160
"CE0428",-40.252167,-4.6935,264,271,153,153,125,166,NA,NA,164,164,193,193,198,202,162,162,160,160
"CE0430",-40.66,-4.57,264,264,153,153,112,127,NA,NA,164,170,193,199,204,204,162,162,150,150
"CE0431",-40.115,-4.601,264,264,153,153,166,166,NA,NA,164,164,193,198,204,204,162,165,160,172
"CE0433",-40.0945,-4.626167,264,264,NA,NA,127,135,199,205,164,166,193,196,NA,NA,162,162,160,160
"CE0434",-39.735167,-4.2095,264,264,153,153,135,166,199,199,164,166,193,193,193,204,162,162,160,160
"CE0435",-39.754667,-4.222,264,264,153,153,112,166,199,199,164,166,193,193,193,204,162,162,160,160
"CE0436",-40.249167,-3.833667,264,264,NA,NA,127,127,193,205,164,166,193,193,NA,NA,162,162,158,158
"CE0437",-40.269833,-3.870333,264,271,153,153,119,125,199,199,164,164,193,193,NA,NA,162,162,160,160
"CE0439",-40.343333,-3.5285,254,264,153,153,112,112,205,205,164,164,193,193,204,204,176,176,160,160
"CE0444",-40.457,-2.8745,254,264,153,153,112,125,199,199,164,166,193,193,204,204,162,162,160,160
"CE0448",-40.140333,-3.056333,254,254,153,153,112,125,199,247,164,164,193,193,202,202,162,176,160,160
"CE0450",-39.818833,-3.335,254,264,153,153,166,166,193,199,164,164,193,196,202,204,176,176,160,160
"CE0451",-40,-3.5505,254,264,153,153,119,125,199,199,166,166,193,193,NA,NA,162,162,160,160
"CE0454",-39.496667,-3.6285,264,264,153,153,125,166,193,205,166,166,193,193,193,193,162,176,150,160
"CE0455",-39.5085,-3.640167,264,264,153,153,112,166,193,205,164,166,193,193,204,204,162,162,160,160
"CE0456",-39.566,-3.717,264,264,153,153,108,125,193,199,166,166,193,193,204,204,162,162,160,160
"CE0457",-38.517167,-4.006833,264,264,153,153,108,108,193,199,166,166,193,193,NA,NA,162,162,158,160
"CE0458",-38.649333,-3.851833,264,264,153,153,166,166,199,199,164,164,193,193,202,204,162,162,160,160
"CE0459",-38.653333,-3.788,264,264,153,153,119,127,205,205,164,166,198,199,204,204,162,162,158,158
"CE0461",-38.6845,-4.159667,264,264,153,153,127,166,193,205,164,164,193,199,202,202,162,162,160,160
"CE0462",-38.858,-4.409167,254,264,NA,NA,112,112,193,193,164,164,193,199,NA,NA,162,176,160,160
"CE0463",-38.8985,-4.4555,254,264,153,153,112,150,NA,NA,164,166,199,199,202,202,162,162,160,160
"CE0464",-38.903833,-4.511,254,254,153,153,127,135,193,199,164,164,193,193,202,202,162,176,172,172
"CE0466",-38.788667,-4.788167,264,264,153,153,119,127,199,199,164,164,193,193,202,202,162,162,160,160
"CE0467",-39.015,-5.192,264,264,NA,NA,112,166,NA,NA,164,164,193,193,NA,NA,162,162,160,160
"CE0468",-39.009333,-5.084833,264,264,153,153,127,127,199,205,NA,NA,193,193,204,204,162,162,160,160
"CE0469",-39.427167,-5.296167,264,264,153,153,119,127,199,199,164,164,193,193,NA,NA,162,162,160,160
"CE0470",-39.5085,-5.351333,264,264,153,153,119,127,199,205,164,164,193,193,202,202,162,162,160,160
"CE0471",-39.451667,-5.516667,264,271,153,153,112,112,193,199,164,164,193,193,204,204,162,162,160,160
"CE0472",-39.588667,-5.827833,264,271,153,153,135,166,193,199,164,164,193,196,202,202,162,162,160,172
"CE0474",-39.374167,-7.228667,264,264,153,153,127,127,193,193,164,164,193,193,204,204,162,162,158,160
"CE0475",-39.388667,-7.362167,254,264,153,153,166,166,205,205,164,164,193,196,202,202,162,162,160,160
"CE0476",-39.287,-7.106,264,278,153,153,166,166,193,193,164,164,193,193,198,202,162,162,160,160
"CE0479",-38.8005,-6.996167,254,254,153,153,119,127,NA,NA,164,164,193,193,202,202,162,162,160,160
