"","x","y","z"
"alabama,autauga",NA,NA,0.894128177562621
"alabama,autauga,1",-86.5051651000977,32.3491973876953,NA
"alabama,autauga,2",-86.619758605957,32.4064903259277,NA
"alabama,autauga,3",-86.6541366577148,32.412223815918,NA
"alabama,autauga,4",-86.6827850341797,32.3663864135742,NA
"alabama,autauga,5",-86.7400817871094,32.4064903259277,NA
"alabama,autauga,6",-86.7687301635742,32.4064903259277,NA
"alabama,autauga,7",-86.7801895141602,32.3262786865234,NA
"alabama,autauga,8",-86.7973709106445,32.3205490112305,NA
"alabama,autauga,9",-86.803108215332,32.3262786865234,NA
"alabama,autauga,10",-86.814567565918,32.3663864135742,NA
"alabama,autauga,11",-86.8775863647461,32.4924354553223,NA
"alabama,autauga,12",-86.9119644165039,32.6643257141113,NA
"alabama,autauga,13",-86.6999740600586,32.6643257141113,NA
"alabama,autauga,14",-86.6999740600586,32.7101631164551,NA
"alabama,autauga,15",-86.4192199707031,32.7044296264648,NA
"alabama,autauga,16",-86.4192199707031,32.4179534912109,NA
"alabama,autauga,17",-86.5051651000977,32.3491973876953,NA
"alabama,baldwin",NA,NA,1
"alabama,baldwin,1",-87.9375686645508,31.1459865570068,NA
"alabama,baldwin,2",-87.8745346069336,31.1631755828857,NA
"alabama,baldwin,3",-87.8630752563477,31.1918201446533,NA
"alabama,baldwin,4",-87.8688049316406,31.2090129852295,NA
"alabama,baldwin,5",-87.8344268798828,31.2204704284668,NA
"alabama,baldwin,6",-87.8516235351562,31.2433891296387,NA
"alabama,baldwin,7",-87.7828598022461,31.2834949493408,NA
"alabama,baldwin,8",-87.794319152832,31.3121452331543,NA
"alabama,baldwin,9",-87.6854629516602,31.2892265319824,NA
"alabama,baldwin,10",-87.610969543457,31.2491188049316,NA
"alabama,baldwin,11",-87.610969543457,30.9339923858643,NA
"alabama,baldwin,12",-87.6338958740234,30.8595085144043,NA
"alabama,baldwin,13",-87.4104385375977,30.6475124359131,NA
"alabama,baldwin,14",-87.4620056152344,30.5100040435791,NA
"alabama,baldwin,15",-87.3932571411133,30.4469795227051,NA
"alabama,baldwin,16",-87.439094543457,30.4183292388916,NA
"alabama,baldwin,17",-87.4505462646484,30.4011421203613,NA
"alabama,baldwin,18",-87.4620056152344,30.3896808624268,NA
"alabama,baldwin,19",-87.525032043457,30.3724918365479,NA
"alabama,baldwin,20",-87.53076171875,30.3323860168457,NA
"alabama,baldwin,21",-87.5880584716797,30.3266544342041,NA
"alabama,baldwin,22",-87.5937881469727,30.286548614502,NA
"alabama,baldwin,23",-88.0063171386719,30.2407131195068,NA
"alabama,baldwin,24",-88.0120468139648,30.269359588623,NA
"alabama,baldwin,25",-87.8286972045898,30.286548614502,NA
"alabama,baldwin,26",-87.8000564575195,30.286548614502,NA
"alabama,baldwin,27",-87.8000564575195,30.3266544342041,NA
"alabama,baldwin,28",-87.8401565551758,30.3839530944824,NA
"alabama,baldwin,29",-87.9031829833984,30.4240608215332,NA
"alabama,baldwin,30",-87.9432907104492,30.527193069458,NA
"alabama,baldwin,31",-87.9203720092773,30.5615692138672,NA
"alabama,baldwin,32",-87.9203720092773,30.670431137085,NA
"alabama,baldwin,33",-88.0063171386719,30.7964820861816,NA
"alabama,baldwin,34",-87.9432907104492,30.8193988800049,NA
"alabama,baldwin,35",-87.9833984375,30.8824234008789,NA
"alabama,baldwin,36",-87.9146423339844,30.9397220611572,NA
"alabama,baldwin,37",-87.9547500610352,30.979829788208,NA
"alabama,baldwin,38",-87.9547500610352,31.0829620361328,NA
"alabama,baldwin,39",-87.9375686645508,31.1459865570068,NA
"alabama,barbour",NA,NA,0.513373771706959
"alabama,barbour,1",-85.4280090332031,31.6158123016357,NA
"alabama,barbour,2",-85.7431335449219,31.6158123016357,NA
"alabama,barbour,3",-85.6972961425781,31.7475910186768,NA
"alabama,barbour,4",-85.6686553955078,31.7590503692627,NA
"alabama,barbour,5",-85.6686553955078,31.8793716430664,NA
"alabama,barbour,6",-85.5998916625977,31.9595851898193,NA
"alabama,barbour,7",-85.5712432861328,32.0111541748047,NA
"alabama,barbour,8",-85.4853057861328,32.0168800354004,NA
"alabama,barbour,9",-85.4681167602539,32.0340690612793,NA
"alabama,barbour,10",-85.4681167602539,32.0168800354004,NA
"alabama,barbour,11",-85.4280090332031,32.0283432006836,NA
"alabama,barbour,12",-85.4337310791016,32.1486625671387,NA
"alabama,barbour,13",-85.2618560791016,32.1543922424316,NA
"alabama,barbour,14",-85.2389297485352,32.1314735412598,NA
"alabama,barbour,15",-85.2561187744141,32.1257438659668,NA
"alabama,barbour,16",-85.2274703979492,32.1142845153809,NA
"alabama,barbour,17",-85.175910949707,32.0684471130371,NA
"alabama,barbour,18",-85.0613098144531,32.0627174377441,NA
"alabama,barbour,19",-85.0613098144531,31.9939613342285,NA
"alabama,barbour,20",-85.1415252685547,31.8679141998291,NA
"alabama,barbour,21",-85.1358032226562,31.7876968383789,NA
"alabama,barbour,22",-85.181640625,31.7647819519043,NA
"alabama,barbour,23",-85.2217483520508,31.7132129669189,NA
"alabama,barbour,24",-85.4280090332031,31.7132129669189,NA
"alabama,barbour,25",-85.4280090332031,31.6158123016357,NA
"alabama,bibb",NA,NA,0.993548443682975
"alabama,bibb,1",-87.0208282470703,32.8362083435059,NA
