"","IDREGION","LBREGION","IDDISTRI","LBDISTRI","IDMUNICI","LBMUNICI","SURFAC05","POP00","POP10","HOMES00","HOMES10","POPMAL00","POPMAL10","POPFEM00","POPFEM10","INLANG00","INLANG10","INCOME00","INCOME01","INCOME02","INCOME03","PTREES00","PTREES01","PTREES02","PTREES03","MARRIA07","MARRIA08","MARRIA09","HARVBE07","HARVBE08","HARVBE09","VALUBE07","VALUBE08","VALUBE09","VOLUBE07","VOLUBE08","VOLUBE09","sHOMES00","sSURFAC","SIZEDIST","sSW_10_3"
"1",5,"SIERRA NORTE",12,"IXTLAN",1,"Abejones",127.76,1540,1084,278,256,760,483,780,601,1308,958,1215,5388,4673,4447,8000,1700,0,18000,0,0,1,22,22,22,106,123,123,9,9,9,0,1,26,0
"2",7,"PAPALOAPAN",6,"TUXTEPEC",2,"Acatlan de Perez Figueroa",790.82,44579,44885,9931,11515,22191,21866,22388,23019,5622,5173,11484,NA,44553,47443,45000,6500,35000,500,202,162,171,55,50,50,299,272,383,44,40,45,1,1,14,0
"3",5,"SIERRA NORTE",14,"MIXE",3,"Asuncion Cacalotepec",90.41,2567,2495,653,692,1237,1206,1330,1289,2248,2248,1163,4184,2173,2810,0,0,0,0,1,1,1,71,71,71,423,405,395,28,29,28,1,1,17,0
"4",4,"MIXTECA",2,"HUAJUAPAM",4,"Asuncion Cuyotepeji",82.7,883,1012,224,289,409,469,474,543,10,1,1011,2472,2001,2293,0,0,0,0,0,0,0,9,9,10,31,31,60,4,4,4,0,0,28,0
"5",3,"ISTMO",29,"JUCHITAN",5,"Asuncion Ixtaltepec",659.28,14249,14751,3706,4228,7065,7296,7184,7455,7032,6387,NA,15144,5552,4890,0,0,60000,14000,75,62,79,5,0,0,19,0,0,3,0,0,1,1,22,0
"6",4,"MIXTECA",10,"NOCHIXTLAN",6,"Asuncion Nochixtlan",336.75,13745,17820,3139,4418,6440,8437,7305,9383,1949,2236,10956,NA,13435,22521,44880,126695,70000,105677,223,167,157,486,486,484,3842,4390,8131,452,439,581,1,1,32,0
"7",8,"VALLES CENTRALES",25,"OCOTLAN",7,"Asuncion Ocotlan",4.19,3655,2612,864,749,1654,1165,2001,1447,3172,2095,NA,1322,5193,5184,0,0,0,1000,4,0,1,18,21,9,185,221,87,14,18,6,1,0,20,0
"8",6,"SIERRA SUR",27,"YAUTEPEC",8,"Asuncion Tlacolulita",175.35,918,842,180,267,449,412,469,430,74,56,847,1527,1899,2092,0,0,0,0,1,0,0,100,115,130,595,830,1322,74,89,96,0,1,12,0
"9",7,"PAPALOAPAN",6,"TUXTEPEC",9,"Ayotzintepec",133.22,5660,6720,1066,1541,2844,3314,2816,3406,3253,3899,1269,5530,6361,28090,0,5000,65000,33850,18,12,3,30,15,15,207,82,255,30,12,17,1,1,14,0
"10",3,"ISTMO",29,"JUCHITAN",10,"El Barrio de la Soledad",289.64,13186,13608,3313,3814,6477,6557,6709,7051,625,567,2660,NA,NA,7284,0,0,0,0,75,49,64,0,0,0,0,0,0,0,0,0,1,1,22,0
