"","waiting","duration.time1","duration.time2","duration.status"
"1",80,4.0166667,1,1
"2",71,2.15,1,1
"3",57,4,Inf,3
"4",80,4,Inf,3
"5",75,4,Inf,3
"6",77,0,2,3
"7",60,4.3833333,1,1
"8",86,4.2833333,1,1
"9",77,2.0333333,1,1
"10",56,4.8333333,1,1
"11",81,1.8333333,1,1
"12",50,5.45,1,1
"13",89,1.6166667,1,1
"14",54,4.8666667,1,1
"15",90,4.3833333,1,1
"16",73,1.7666667,1,1
"17",60,4.6666667,1,1
"18",83,0,2,3
"19",65,4.7333333,1,1
"20",82,4.2166667,1,1
"21",84,1.9,1,1
"22",54,4.9666667,1,1
"23",85,0,2,3
"24",58,4,Inf,3
"25",79,0,2,3
"26",57,4,Inf,3
"27",88,2.8333333,1,1
"28",68,4.5,1,1
"29",76,4.0666667,1,1
"30",78,3.7166667,1,1
"31",74,3.5166667,1,1
"32",85,4.4666667,1,1
"33",75,2.2166667,1,1
"34",65,4.8833333,1,1
"35",76,2.6,1,1
"36",58,4.15,1,1
"37",91,2.2,1,1
"38",50,4.7666667,1,1
"39",87,1.8333333,1,1
"40",48,4.6,1,1
"41",93,2.2666667,1,1
"42",54,4.1333333,1,1
"43",86,0,2,3
"44",53,4,Inf,3
"45",78,0,2,3
"46",52,4,Inf,3
"47",83,1.8833333,1,1
"48",60,4.2666667,1,1
"49",87,2.0833333,1,1
"50",49,4.4666667,1,1
"51",80,2.5,1,1
"52",60,4,Inf,3
"53",92,1.7666667,1,1
"54",43,4.3333333,1,1
"55",89,2.1833333,1,1
"56",60,4.4833333,1,1
"57",84,3.8833333,1,1
"58",69,3.3333333,1,1
"59",74,3.7333333,1,1
"60",71,4,Inf,3
"61",108,1.95,1,1
"62",50,5.2666667,1,1
"63",77,0,2,3
"64",57,4,Inf,3
"65",80,0,2,3
"66",61,4,Inf,3
"67",82,0,2,3
"68",48,4,Inf,3
"69",81,3.5333333,1,1
"70",73,2.1666667,1,1
"71",62,4.5,1,1
"72",79,2.0166667,1,1
"73",54,4.15,1,1
"74",80,4.2,1,1
"75",73,4.3333333,1,1
"76",81,1.9333333,1,1
"77",62,4.65,1,1
"78",81,3.8166667,1,1
"79",71,4.0333333,1,1
"80",79,4.1666667,1,1
"81",81,4.6666667,1,1
"82",74,1.8166667,1,1
"83",59,4,Inf,3
"84",81,2,4,3
"85",66,4,Inf,3
"86",87,0,2,3
"87",53,4.45,1,1
"88",80,2.05,1,1
"89",50,4.25,1,1
"90",87,1.9166667,1,1
"91",51,4.6666667,1,1
"92",82,1.7333333,1,1
"93",58,4.3833333,1,1
"94",81,1.7666667,1,1
"95",49,4.6,1,1
"96",92,1.8666667,1,1
"97",50,4.45,1,1
"98",88,1.6333333,1,1
"99",62,5.0333333,1,1
"100",93,1.8166667,1,1
"101",56,5.1,1,1
"102",89,1.6333333,1,1
"103",51,4.2833333,1,1
"104",79,0,2,3
"105",58,4,Inf,3
"106",82,0,2,3
"107",52,4.5333333,1,1
"108",88,0,2,3
"109",52,4,Inf,3
"110",78,2.9333333,1,1
"111",69,4.7333333,1,1
"112",75,3.9,1,1
"113",77,1.95,1,1
"114",53,4.1166667,1,1
"115",80,1.8,1,1
"116",55,4.6666667,1,1
"117",87,1.8333333,1,1
"118",53,4.7,1,1
"119",85,2.1166667,1,1
"120",61,4.7833333,1,1
"121",93,1.8166667,1,1
"122",54,4.1,1,1
"123",76,4.65,1,1
"124",80,4,Inf,3
"125",81,0,2,3
"126",59,4,Inf,3
"127",86,4,Inf,3
"128",78,4.2166667,1,1
"129",71,4.1333333,1,1
"130",77,3.9333333,1,1
"131",76,3.75,1,1
"132",94,4.4166667,1,1
"133",75,2.4666667,1,1
"134",50,4.1666667,1,1
"135",83,3.8,1,1
"136",82,4.3166667,1,1
"137",72,3.8666667,1,1
"138",77,4.6833333,1,1
"139",75,1.7,1,1
"140",65,4.9666667,1,1
"141",79,4.2666667,1,1
"142",72,4.5833333,1,1
"143",78,4,Inf,3
"144",77,4,Inf,3
"145",79,4,Inf,3
"146",75,4,Inf,3
"147",78,1.9833333,1,1
"148",64,4.6,1,1
"149",80,0.8333333,1,1
"150",49,4.9166667,1,1
"151",88,1.7333333,1,1
"152",54,4.5833333,1,1
"153",85,1.7,1,1
"154",51,4.75,1,1
"155",96,1.8333333,1,1
"156",50,4.5,1,1
"157",80,1.8666667,1,1
"158",78,4.45,1,1
"159",81,4.45,1,1
"160",72,4,Inf,3
"161",75,4.8,1,1
"162",78,4,Inf,3
"163",87,4,Inf,3
"164",69,0,2,3
"165",55,4,Inf,3
"166",83,1.9333333,1,1
"167",49,4.5833333,1,1
"168",82,0,2,3
"169",57,3.7,1,1
"170",84,2.8666667,1,1
"171",57,4.8333333,1,1
"172",84,3.45,1,1
"173",73,4.3833333,1,1
"174",78,1.8,1,1
"175",57,4.4,1,1
"176",79,2.4833333,1,1
"177",57,4.5166667,1,1
"178",90,2.1,1,1
"179",62,4.35,1,1
"180",87,4.3666667,1,1
"181",78,1.7833333,1,1
"182",52,4.9166667,1,1
"183",98,1.8166667,1,1
"184",48,4,Inf,3
"185",78,4,Inf,3
"186",79,4,Inf,3
"187",65,3.8666667,1,1
"188",84,1.85,1,1
"189",50,4.7,1,1
"190",83,2.0166667,1,1
"191",60,4.4666667,1,1
"192",80,1.8666667,1,1
"193",50,4.1666667,1,1
"194",88,1.9,1,1
"195",50,4.25,1,1
"196",84,3.25,1,1
"197",74,4.2166667,1,1
"198",76,1.8833333,1,1
"199",65,4.9833333,1,1
"200",89,1.85,1,1
"201",49,4,Inf,3
"202",88,1.9666667,1,1
"203",51,4.7666667,1,1
"204",78,4,Inf,3
"205",85,0,2,3
"206",65,4,Inf,3
"207",75,4,Inf,3
"208",77,2.3833333,1,1
"209",69,4.4166667,1,1
"210",92,4.2166667,1,1
"211",68,4.3666667,1,1
"212",87,0,2,3
"213",61,4.45,1,1
"214",81,1.75,1,1
"215",55,4.5,1,1
"216",93,1.6166667,1,1
"217",53,4.7,1,1
"218",84,2.5666667,1,1
"219",70,3.7,1,1
"220",73,4.2333333,1,1
"221",93,1.9333333,1,1
"222",50,4.35,1,1
"223",87,4,Inf,3
"224",77,4,Inf,3
"225",74,4,Inf,3
"226",72,4.2166667,1,1
"227",82,4,Inf,3
"228",74,4.1333333,1,1
"229",80,1.8833333,1,1
"230",49,4.4666667,1,1
"231",91,1.95,1,1
"232",53,4.2166667,1,1
"233",86,1.7166667,1,1
"234",49,4.45,1,1
"235",79,4.25,1,1
"236",89,3.9666667,1,1
"237",87,4.3833333,1,1
"238",76,1.9666667,1,1
"239",59,4.45,1,1
"240",80,4.2666667,1,1
"241",89,1.9166667,1,1
"242",45,4.4166667,1,1
"243",93,2,4,3
"244",72,4,Inf,3
"245",71,0,2,3
"246",54,4,Inf,3
"247",79,3.2833333,1,1
"248",74,1.8333333,1,1
"249",65,4.6166667,1,1
"250",78,1.8333333,1,1
"251",57,4.6166667,1,1
"252",87,4.6,1,1
"253",72,4.25,1,1
"254",84,1.9333333,1,1
"255",47,4.9833333,1,1
"256",84,1.9666667,1,1
"257",57,4.3,1,1
"258",87,4.2,1,1
"259",68,4.5333333,1,1
"260",86,4.4,1,1
"261",75,4.6166667,1,1
"262",73,0,2,3
"263",53,4,Inf,3
"264",82,4,Inf,3
"265",93,3.9166667,1,1
"266",77,0,2,3
"267",54,4.5,1,1
"268",96,1.8,1,1
"269",48,4,Inf,3
"270",89,2.75,1,1
"271",63,4.7333333,1,1
"272",84,3.9666667,1,1
"273",76,1.95,1,1
"274",62,4.9666667,1,1
"275",83,1.85,1,1
"276",50,4.8,1,1
"277",85,4,Inf,3
"278",78,4,Inf,3
"279",78,4,Inf,3
"280",81,4,Inf,3
"281",78,4,Inf,3
"282",76,4,Inf,3
"283",74,4,Inf,3
"284",81,0,2,3
"285",66,4,Inf,3
"286",84,1.9333333,1,1
"287",48,4.3333333,1,1
"288",93,1.6666667,1,1
"289",47,4.7666667,1,1
"290",87,1.95,1,1
"291",51,4.6833333,1,1
"292",78,1.9333333,1,1
"293",54,4.4166667,1,1
"294",87,2.1333333,1,1
"295",52,4.0833333,1,1
"296",85,2.0666667,1,1
"297",58,4,Inf,3
"298",88,4,Inf,3
"299",79,0,2,3
