"","Party","I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","I13","I14","I15","I16","I17","I18","I19","I20"
"Sessions","(R)","-","+","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","+"
"Shelby","(R)","+","+","-","-","-","-","-","-","-","-","-","-","-","-","-","+","-","-","-","+"
"Murkowski","(R)","-","+","-","-","-","-","-","-","-","-","-","-","+","+","-","+","-","-","+","+"
"Stevens","(R)","-","+","-","-","-","-","-","-","-","-","-","-","+","+","-","+","-","-","-","+"
"Kyl","(R)","-","-",NA,"-","-","-","-","-","-","-","-","-","-","-","-","-","+","-","-","-"
"McCain","(R)","-","+",NA,NA,NA,NA,"+","-","-",NA,"-",NA,NA,"-","-",NA,NA,NA,NA,NA
"Lincoln","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","-","+","-","+","+","+"
"Pryor","(D)","+","+","+","-","+","-","-","+","+","-","+","+","+","+","-","+","-","+","+","+"
"Boxer","(D)","+","+","+","+","+","+","-","+","+",NA,"+","+","+","+",NA,"+","+","+","+","-"
"Feinstein","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","-","+","-","+","+","+"
"Allard","(R)","-","+","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","+"
"Salazar","(D)","+","+","+","+","+","-","+","+","+","+","+","+","+","+","-","+","-","+","+","+"
"Dodd","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+",NA,NA,NA,NA,NA,"+","-"
"Lieberman","(I)","+","+","-","-","+","+","+","+","-","-","+","+","+","+","-","+","-","+","+","+"
"Biden","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","-","+",NA,"-","-","+","-"
"Carper","(D)","-","+","+","+","+","+","+","+","+","+","+","+","+","+","-","+","-","+","+","+"
"Martinez","(R)","-","+","-","-","-","-","+","-","-","-","-","-","-","-","-","+","-","-","-","+"
"Nelson","(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","-","+","+","-"
"Chambliss","(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","+","-","-","-","+"
