"","fishID","Finnish","English","binomial.name","Swedish"
"1",1,"Ahven","perch","Perca fluviatilis","abborre"
"2",2,"Hauki","Pike","Esox lucius","Gädda"
"3",3,"Kiiski","ruffe","Gymnocephalus cernuus","Gärs"
"4",4,"Kuha","pike perch","Sander lucioperca","Gös "
"5",5,"Kuore","smelt","Osmerus eperlanus","Nors"
"6",6,"Lahna","bream","Abramis brama","Braxen"
"7",7,"Pasuri","silver bream","Blicca bjoerkna","Björkna"
"8",8,"Salakka","bleak","Alburnus alburnus","benlöja"
"9",9,"Särki","Roach","Rutilus rutilus","mört"
"10",10,"Sorva","rudd","Scardinius erythrophthalmus","sarv"
"11",11,"Suutari","tench","Tinca tinca","sutare"
