"","fishID","sl","fl","tl","wt"
"1",1,216,229,258,191.3
"2",1,196,202,230,104
"3",1,50,52,60,2.1
"4",1,159,171,193,59.9
"5",1,77,82,93,6.6
"6",1,119,124,137,32.4
"7",1,101,106,119,15.1
"8",1,81,85,94,6.9
"9",1,75,80,88,6.7
"10",1,79,83,95,7.3
"11",1,99,104,116,14.9
"12",1,78,83,93,7.9
"13",1,141,149,162,32.8
"14",1,92,98,108,9.5
"15",1,70,76,84,6.6
"16",1,49,52,58,1.7
"17",1,46,48,54,1.4
"18",1,126,134,149,31.9
"19",1,120,127,140,19
"20",1,80,85,93,6.8
"21",1,90,97,107,10.5
"22",1,48,51,57,1.3
"23",1,81,86,94,8.2
"24",1,102,108,120,16.4
"25",1,87,91,101,9.7
"26",1,48,52,58,1.8
"27",1,84,88,98,8.6
"28",1,78,83,92,7.4
"29",1,50,55,61,2.3
"30",1,74,78,86,6
"31",1,78,83,92,7.7
"32",1,85,90,99,9
"33",1,50,53,59,2
"34",1,82,88,99,7.5
"35",1,77,82,90,7
"36",1,81,86,97,7.7
"37",1,53,57,62,1.9
"38",1,51,55,61,2
"39",1,81,86,95,7.4
"40",1,80,84,93,7.4
"41",1,51,54,61,1.6
"42",1,89,94,107,12.7
"43",1,88,93,104,8.9
"44",1,51,55,62,2.3
"45",1,52,55,60,1.9
"46",1,45,49,57,1.8
"47",1,47,50,56,1.8
"48",1,51,55,61,2.2
"49",1,50,53,60,2.1
"50",1,52,55,62,2.2
"51",1,51,54,60,2
"52",1,48,51,56,1.8
"53",1,45,48,54,1.2
"54",1,48,51,56,1.9
"55",1,45,48,53,1.3
"56",1,50,53,58,1.7
"57",1,46,49,54,1.6
"58",3,93,97,110,12.6
"59",3,92,97,111,11.1
"60",3,77,81,93,8.7
"61",3,86,92,104,11.1
"62",3,80,84,94,8.4
"63",3,79,84,92,8
"64",3,73,78,87,6.7
"65",3,85,91,102,10.1
"66",3,76,82,90,6.5
"67",3,56,60,67,2.7
"68",3,77,82,92,6.6
"69",3,44,46,52,1.5
"70",3,69,73,79,4.9
"71",3,83,87,96,7.7
"72",3,41,44,49,1.2
"73",3,45,48,54,1.6
"74",3,52,55,60,2.1
"75",3,51,54,62,2.2
"76",3,46,49,55,1.4
"77",3,48,51,58,1.6
"78",3,41,44,50,1
"79",4,264,277,311,177.9
"80",4,179,190,213,67.4
"81",4,158,164,187,37.3
"82",4,257,268,296,154.8
"83",4,213,227,254,91.7
"84",4,165,178,203,48.2
"85",4,303,318,355,334.6
"86",4,225,240,268,167.6
"87",4,263,283,316,206.4
"88",4,181,193,216,66
"89",4,59,63,70,2.4
"90",4,60,64,72,2.1
"91",4,56,60,69,2.3
"92",4,57,60,67,2
"93",4,58,63,70,2.2
"94",4,59,62,70,2.2
"95",4,52,57,64,1.7
"96",4,56,60,68,2.1
"97",4,57,60,68,1.9
"98",4,55,59,67,2
"99",4,57,62,70,2.3
"100",4,56,58,66,2.2
"101",4,59,64,72,2.2
"102",4,62,66,73,1.8
"103",4,57,62,69,1.8
"104",4,51,56,62,1.5
"105",5,46,48,56,1.1
"106",5,62,65,73,1.5
"107",5,97,101,114,5.8
"108",5,66,69,77,1.8
