"","V1","V2","V3","V4","V5"
"1",111,145,188,190,260
"2",113,NA,187,190,259
"3",NA,150,195,192,259
"4",110,147,211,NA,262
"5",101,136,240,200,266
"6",93,125,262,203,271
"7",92,110,46,165,235
"8",94,95,29,113,190
"9",94,94,29,110,188
"10",100,104,21,NA,208
"11",NA,115,17,144,215
"12",NA,156,10,NA,233
"13",NA,181,68,180,247
"14",108,154,305,222,285
"15",81,137,426,251,306
"16",86,138,381,246,300
"17",89,137,378,246,301
"18",88,133,366,244,298
"19",88,131,370,243,298
"20",89,133,380,246,302
"21",92,137,362,244,300
"22",94,139,355,240,299
"23",115,156,NA,215,276
"24",128,167,181,201,265
"25",113,156,242,212,273
"26",112,155,NA,209,271
"27",121,162,224,205,268
"28",126,166,NA,212,273
"29",NA,174,259,NA,278
"30",146,177,NA,212,272
"31",136,155,322,246,301
"32",103,97,552,320,364
"33",80,66,NA,340,377
"34",79,NA,572,340,376
"35",79,66,577,341,NA
"36",78,66,574,NA,377
"37",78,66,571,343,379
"38",78,66,NA,344,380
