"","EXP","FDHO","FDAW","SHEL","TELE","CLOT","HEAL","ENT"
"1",40517,6475,1096,6678,522,1045,495,2363
"2",33541,3146,980,7868,1201,1588,834,2981
"3",5182,1632,150,1553,687,327,277,53
"4",40385,2405,680,4410,3142,901,NA,1986
"5",40302,2227,1637,597,743,731,549,330
"6",23189,2470,475,2252,501,425,1738,240
"7",13503,3510,305,2917,287,628,893,510
"8",5110,1662,0,918,528,0,820,261
"9",15754,2405,695,72,1542,1041,840,802
"10",40763,2483,5340,471,1043,456,2563,1437
"11",23061,1770,3211,3869,905,619,66,809
"12",30839,4160,528,12878,882,1053,211,1103
"13",25206,3390,884,5100,588,1302,3080,2675
"14",15891,1430,591,4444,565,870,678,1179
"15",38821,2496,1037,16038,901,1919,4432,565
"16",11766,2145,525,3484,670,439,0,525
"17",4934,572,48,1277,149,223,603,138
"18",13754,3653,0,1243,365,332,2540,20
"19",14142,1194,230,1636,537,210,366,1507
"20",27813,3692,385,1033,405,1024,2649,5263
"21",21005,1638,201,10470,656,17,1899,724
"22",11511,1677,965,885,229,323,543,440
"23",41750,4469,1325,10300,1721,868,485,1056
"24",32855,5265,802,2937,955,2481,1314,3739
"25",62043,4012,2153,18275,869,1701,242,1350
"26",19415,1404,2255,5107,390,675,5257,336
"27",51815,4550,2384,10541,585,2135,1892,3376
"28",26961,4452,823,1227,500,600,146,9620
"29",19185,1339,754,6279,555,479,248,716
"30",19704,1807,599,7319,350,761,255,1816
"31",21831,3302,510,4649,393,393,1087,1201
"32",40768,2744,6634,5981,1078,7970,2387,1533
"33",49079,4330,750,19417,528,1862,410,1380
"34",12766,3018,29,109,280,38,1589,59
"35",13030,3250,330,3871,586,544,0,1272
"36",8841,1476,85,1513,565,258,2044,0
"37",17943,982,1415,3297,44,844,422,854
"38",6214,1365,345,1502,332,474,1024,0
"39",21114,1508,1245,3593,445,190,1856,80
"40",7898,1862,330,1440,297,130,1782,297
"41",30707,4885,1718,4542,350,1012,1872,1871
"42",69698,6114,3554,15618,2056,7220,1841,1805
"43",70155,5799,2180,6096,583,2459,2027,5777
"44",15032,4160,80,3584,460,1330,225,374
"45",55858,5355,2404,7141,968,2816,1139,2906
"46",31747,3816,2483,6302,1191,1562,1221,1729
"47",11562,3039,150,1200,196,532,3461,0
"48",12390,2102,120,6600,250,341,543,948
"49",7016,1711,150,61,444,232,71,0
"50",96396,2598,3172,19643,735,4260,2517,5422
"51",24614,2606,335,2839,298,2584,1797,928
"52",22735,2765,1080,1558,661,559,3617,1418
"53",20483,3333,1136,7261,490,1031,383,1350
"54",36907,5340,450,6265,3400,589,5267,1823
