"","IncidntNum","Category","Descript","DayOfWeek","Date","Time","PdDistrict","Resolution","Location","lon","lat","violent","HrOfDay","TimeOfDay","HourOfWeek","censusBlock"
"67026",120621114,"ASSAULT","STALKING","Saturday",2012-07-21,"00:01","PARK","NONE","MCALLISTER ST / BRODERICK ST",-122.440030415903,37.7775861616294,"TRUE","00",0.0166666666666667,24.0166666666667,"06075015802"
"34773",120328627,"OTHER OFFENSES","FAILURE TO HEED RED LIGHT AND SIREN","Wednesday",2012-04-25,"17:29","MISSION","NONE","16TH ST / BRYANT ST",-122.410488829308,37.7656058638705,"FALSE","17",17.4833333333333,137.483333333333,"06075017700"
"113571",120653593,"NON-CRIMINAL","AIDED CASE, MENTAL DISTURBED","Friday",2012-08-17,"09:50","SOUTHERN","PSYCHOPATHIC CASE","1200 Block of MARKET ST",-122.415808709601,37.7779245324412,"FALSE","09",9.83333333333333,9.83333333333333,"06075017601"
"35951",120333927,"LARCENY/THEFT","PETTY THEFT FROM A BUILDING","Friday",2012-04-27,"11:30","PARK","NONE","1000 Block of HAYES ST",-122.434453653016,37.7753866238673,"FALSE","11",11.5,11.5,"06075016400"
"102975",120963370,"OTHER OFFENSES","DRIVERS LICENSE, SUSPENDED OR REVOKED","Thursday",2012-11-29,"07:00","BAYVIEW","ARREST, CITED","BAY SHORE BL / AUGUSTA ST",-122.405495088281,37.7342866628413,"FALSE","07",7,151,"06075025702"
"35201",120338701,"DISORDERLY CONDUCT","MAINTAINING A PUBLIC NUISANCE","Sunday",2012-04-29,"00:23","MISSION","ARREST, BOOKED","400 Block of CAPP ST",-122.418001745212,37.7595171606781,"FALSE","00",0.383333333333333,48.3833333333333,"06075020800"
"32815",126051870,"LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Monday",2012-04-16,"08:15","RICHMOND","NONE","BUSH ST / DIVISADERO ST",-122.440064505046,37.7861779818819,"FALSE","08",8.25,80.25,"06075015300"
"22964",120217105,"OTHER OFFENSES","PROBATION VIOLATION","Friday",2012-03-16,"21:15","MISSION","ARREST, CITED","2000 Block of MARKET ST",-122.426893114012,37.7691618401946,"FALSE","21",21.25,21.25,"06075020200"
"28560",120270589,"NON-CRIMINAL","AIDED CASE, MENTAL DISTURBED","Thursday",2012-04-05,"03:43","SOUTHERN","PSYCHOPATHIC CASE","0 Block of DORE ST",-122.412996750977,37.7738519785709,"FALSE","03",3.71666666666667,147.716666666667,"06075017802"
"38937",120367211,"DRIVING UNDER THE INFLUENCE","DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL","Tuesday",2012-05-08,"21:24","TARAVAL","ARREST, BOOKED","1800 Block of 36TH AV",-122.496688435687,37.7518740010975,"FALSE","21",21.4,117.4,"06075035100"
"37225",120349087,"WARRANTS","WARRANT ARREST","Wednesday",2012-05-02,"18:00","TENDERLOIN","ARREST, BOOKED","300 Block of GOLDEN GATE AV",-122.416350101815,37.7815813603157,"FALSE","18",18,138,"06075012401"
"19560",120192557,"ROBBERY","ROBBERY, BODILY FORCE","Thursday",2012-03-08,"11:30","MISSION","NONE","2000 Block of MISSION ST",-122.419553205719,37.7642579484885,"TRUE","11",11.5,155.5,"06075020100"
"4919",120050541,"OTHER OFFENSES","TRAFFIC VIOLATION","Thursday",2012-01-19,"00:25","NORTHERN","ARREST, BOOKED","PINE ST / POLK ST",-122.42049728879,37.789618819255,"FALSE","00",0.416666666666667,144.416666666667,"06075011100"
"26908",120256545,"DRUG/NARCOTIC","SALE OF BASE/ROCK COCAINE","Friday",2012-03-30,"21:45","MISSION","NONE","2000 Block of MISSION ST",-122.419802080745,37.7649620272423,"FALSE","21",21.75,21.75,"06075020100"
"99684",120942409,"OTHER OFFENSES","MISCELLANEOUS INVESTIGATION","Wednesday",2012-11-21,"23:15","CENTRAL","NONE","1600 Block of HYDE ST",-122.418469079355,37.7956319169711,"FALSE","23",23.25,143.25,"06075011000"
"64648",120610054,"NON-CRIMINAL","AIDED CASE, MENTAL DISTURBED","Thursday",2012-08-02,"11:00","MISSION","PSYCHOPATHIC CASE","1000 Block of VALENCIA ST",-122.421013874475,37.7562468198161,"FALSE","11",11,155,"06075020800"
"112479",120510642,"VEHICLE THEFT","STOLEN AUTOMOBILE","Thursday",2012-06-28,"18:55","TARAVAL","NONE","2700 Block of JUDAH ST",-122.491153248923,37.7609650676618,"FALSE","18",18.9166666666667,162.916666666667,"06075032700"
"102233",120579745,"DRUG/NARCOTIC","POSSESSION OF MARIJUANA","Monday",2012-07-23,"00:48","NORTHERN","ARREST, CITED","GOUGH ST / UNION ST",-122.427270640646,37.7981336020854,"FALSE","00",0.8,72.8,"06075013000"
"5629",120058084,"ROBBERY","ROBBERY ON THE STREET, STRONGARM","Saturday",2012-01-21,"19:45","SOUTHERN","NONE","1000 Block of MARKET ST",-122.411983902213,37.7809476497663,"TRUE","19",19.75,43.75,"06075017601"
"56086",120525657,"OTHER OFFENSES","HARASSING PHONE CALLS","Monday",2012-06-25,"08:00","PARK","NONE","400 Block of SCOTT ST",-122.435880428759,37.7737578050539,"FALSE","08",8,80,"06075016400"
"32610",120306899,"FRAUD","CREDIT CARD, THEFT BY USE OF","Wednesday",2012-04-18,"01:00","CENTRAL","NONE","600 Block of GEARY ST",-122.414358619994,37.786540619372,"FALSE","01",1,121,"06075012302"
"37465",120352513,"LARCENY/THEFT","GRAND THEFT OF PROPERTY","Monday",2012-04-30,"23:00","INGLESIDE","NONE","400 Block of JOOST AV",-122.445562073894,37.7324504611773,"FALSE","23",23,95,"06075031100"
"62383",120585504,"FRAUD","FALSE PRETENSES, GRAND THEFT","Friday",2012-06-01,"00:01","INGLESIDE","NONE","0 Block of CIRCULAR AV",-122.437266079198,37.7314268905949,"FALSE","00",0.0166666666666667,0.0166666666666667,"06075031100"
