"","filler","naphthenic_oil","y","ytype"
"1",0,0,26,"n990"
"2",0,10,18,"n990"
"3",0,20,12,"n990"
"4",12,0,28,"n990"
"5",12,10,19,"n990"
"6",12,20,14,"n990"
"7",12,30,12,"n990"
"8",24,0,30,"n990"
"9",24,10,20,"n990"
"10",24,20,14,"n990"
"11",24,30,12,"n990"
"12",36,0,32,"n990"
"13",36,10,21,"n990"
"14",36,20,16,"n990"
"15",36,30,13,"n990"
"16",48,0,34,"n990"
"17",48,10,24,"n990"
"18",48,20,17,"n990"
"19",48,30,14,"n990"
"20",60,0,37,"n990"
"21",60,10,24,"n990"
"22",60,20,17,"n990"
"23",60,30,14,"n990"
"24",0,0,25,"silicaB"
"25",0,10,18,"silicaB"
"26",0,20,13,"silicaB"
"27",0,30,11,"silicaB"
"28",12,0,30,"silicaB"
"29",12,10,21,"silicaB"
"30",12,20,15,"silicaB"
"31",12,30,14,"silicaB"
"32",24,0,35,"silicaB"
"33",24,10,24,"silicaB"
"34",24,20,17,"silicaB"
"35",24,30,15,"silicaB"
"36",36,0,40,"silicaB"
"37",36,10,28,"silicaB"
"38",36,20,20,"silicaB"
"39",36,30,17,"silicaB"
"40",48,0,50,"silicaB"
"41",48,10,33,"silicaB"
"42",48,20,24,"silicaB"
"43",48,30,18,"silicaB"
"44",60,0,60,"silicaB"
"45",60,10,41,"silicaB"
"46",60,20,29,"silicaB"
"47",60,30,25,"silicaB"
