"","x1","x2","x3","y"
"1",-1,-1,-1,34.727
"2",1,-1,-1,38.917
"3",-1,1,-1,44.907
"4",1,1,-1,24.641
"5",-1,-1,1,24.658
"6",1,-1,1,45.636
"7",-1,1,1,33.702
"8",1,1,1,5.374
"9",1.41421,0,0,33.414
"10",1.41421,0,0,34.453
"11",-1.41421,0,0,38.54
"12",-1.41421,0,0,39.201
"13",0,1.41421,0,40.393
"14",0,1.41421,0,38.335
"15",0,1.41421,0,40.687
"16",0,1.41421,0,40.092
"17",0,0,1.41421,23.869
"18",0,0,1.41421,25.823
"19",0,0,-1.41421,33.727
"20",0,0,-1.41421,33.068
"21",0,0,0,43.832
"22",0,0,0,44.562
"23",0,0,0,42.165
"24",0,0,0,41.187
