"","boot","subject","temperature","drop"
"1","A","1","20",4.5
"2","A","1","0",10.3
"3","A","1","-5",8.4
"4","A","1","-22",12.6
"5","A","2","20",2.1
"6","A","2","0",7.6
"7","A","2","-5",7.3
"8","A","2","-22",13.6
"9","A","3","20",7.9
"10","A","3","0",11.9
"11","A","3","-5",11.9
"12","A","3","-22",14.5
"13","A","4","20",7.9
"14","A","4","0",15.2
"15","A","4","-5",10.8
"16","A","4","-22",16.5
"17","A","5","20",5
"18","A","5","0",5.9
"19","A","5","-5",14.1
"20","A","5","-22",12.3
"21","A","6","20",5.3
"22","A","6","0",10.2
"23","A","6","-5",12.8
"24","A","6","-22",10.2
"25","B","1","20",8.3
"26","B","1","0",9
"27","B","1","-5",9.9
"28","B","1","-22",8.6
"29","B","2","20",11.6
"30","B","2","0",10.6
"31","B","2","-5",11.2
"32","B","2","-22",17
"33","B","3","20",11.3
"34","B","3","0",12
"35","B","3","-5",15.1
"36","B","3","-22",16
"37","B","4","20",5.9
"38","B","4","0",18.2
"39","B","4","-5",15.3
"40","B","4","-22",9
"41","B","5","20",8.6
"42","B","5","0",11.3
"43","B","5","-5",15.6
"44","B","5","-22",16.1
"45","B","6","20",6
"46","B","6","0",10.1
"47","B","6","-5",13.3
"48","B","6","-22",13
