"","age","n","weight","sd","category"
"1",16,19,103.82,12.7,"a"
"2",17,19,105.39,12.5,"a"
"3",18,16,107.5,15.3,"a"
"4",19,8,103.12,7.68,"a"
"5",20,6,105.83,16.75,"a"
"6",21,6,107.5,5.77,"a"
"7",22,1,102.5,0,"a"
"8",23,1,117.5,0,"a"
"9",16,12,99.17,9.2,"b"
"10",17,29,107.67,19.55,"b"
"11",18,28,103.57,13.05,"b"
"12",19,32,112.19,17.6,"b"
"13",20,22,110,12.04,"b"
"14",21,8,113.13,14.87,"b"
"15",22,4,112,11.18,"b"
"16",23,7,113.21,7.28,"b"
"17",16,18,100.83,16.75,"c"
"18",17,33,99.32,14.5,"c"
"19",18,24,100.83,19.67,"c"
"20",19,18,96.39,13.29,"c"
"21",20,6,101.67,18.12,"c"
"22",21,4,100,15.21,"c"
"23",22,0,0,0,"c"
"24",23,1,112.5,0,"c"
