"","x1","x2","x3","y"
"1",1.76,0.07,7.8,110.4
"2",1.55,0.07,8.9,102.8
"3",2.73,0.07,8.9,101
"4",2.73,0.07,7.2,108.4
"5",2.56,0.07,8.4,100.7
"6",2.8,0.07,8.7,100.3
"7",2.8,0.07,7.4,102
"8",1.84,0.07,8.7,93.7
"9",2.16,0.07,8.8,98.9
"10",1.98,0.02,7.6,96.6
"11",0.59,0.02,6.5,99.4
"12",0.8,0.02,6.7,96.2
"13",0.8,0.02,6.2,99
"14",1.05,0.02,7,88.4
"15",1.8,0.02,7.3,75.3
"16",1.8,0.02,6.5,92
"17",1.77,0.02,7.6,82.4
"18",2.3,0.02,8.2,77.1
"19",2.03,0.474,7.6,74
"20",1.91,0.474,8.3,65.7
"21",1.91,0.474,8.2,56.8
"22",1.91,0.474,6.9,62.1
"23",0.76,0.474,7.4,61
"24",2.13,0.474,7.6,53.2
"25",2.13,0.474,6.9,59.4
"26",1.51,0.474,7.5,58.7
"27",2.05,0.474,7.6,58
