"","y","x1","x2","x3","x4","x5","x6"
"1",968,158,64,66,"No",62,119
"2",43,11,0.4,5.9,"Yes",30,6.2
"3",588,91,12,33,"Yes",64,65
"4",640,92,34,73,"No",51,74
"5",4743,952,100,118,"No",65,105
"6",566,109,17,73,"No",42,78
"7",325,167,518,5.1,"No",37,95
"8",118,30,226,3.4,"No",41,20
"9",115,35,12524,0,"No",44,23
"10",1545,298,91,57,"No",67,216
"11",1302,203,68,83,"No",54,162
"12",262,41,8.1,40,"Yes",36,29
"13",2207,544,180,102,"No",33,350
"14",1410,254,129,89,"No",37,196
"15",833,150,49,100,"No",30,109
"16",669,136,27,124,"No",42,94
"17",911,147,76,65,"No",44,104
"18",1037,146,72,40,"No",65,109
"19",196,46,31,19,"No",30,37
"20",616,157,314,29,"No",44,113
"21",766,255,655,17,"No",37,166
"22",2120,403,137,95,"No",33,306
"23",841,189,43,110,"No",22,132
"24",648,85,46,59,"No",57,77
"25",1289,234,63,100,"No",40,180
"26",259,38,4.6,72,"Yes",29,31
"27",450,89,18.4,97,"No",32,61
"28",215,23,2.6,44,"Yes",40,24
"29",158,37,67,13,"No",32,23
"30",1071,329,807,21,"No",43,231
"31",387,54,7.8,62,"Yes",46,48
"32",2745,744,350,84,"No",31,439
"33",1580,226,93,71,"No",51,177
"34",185,38,9.1,102,"Yes",20,24
"35",2096,530,237,84,"No",41,358
"36",785,137,34,94,"No",46,107
"37",575,108,18,73,"No",45,81
"38",1889,570,252,89,"No",39,353
"39",100,46,812,1.3,"No",38,27
"40",870,122,79,52,"No",61,86
"41",270,40,9,87,"Yes",23,28
"42",1059,177,85,67,"No",49,135
"43",3006,515,37,196,"No",50,448
"44",295,57,10.8,32,"No",37,38
"45",131,20,42,13,"No",25,15
"46",1050,208,100,50,"No",50,150
"47",730,160,43,59,"Yes",46,109
"48",467,88,77,32,"No",43,54
"49",1059,207,72,87,"No",26,141
"50",148,22,3.4,67,"Yes",37,20
