"","x1","x2","y"
"1",120,600,0.9
"2",60,600,0.949
"3",60,612,0.886
"4",120,612,0.785
"5",120,612,0.791
"6",60,612,0.89
"7",60,620,0.787
"8",30,620,0.877
"9",15,620,0.938
"10",60,620,0.782
"11",45.1,620,0.827
"12",90,620,0.696
"13",150,620,0.582
"14",60,620,0.795
"15",60,620,0.8
"16",60,620,0.79
"17",30,620,0.883
"18",90,620,0.712
"19",150,620,0.576
"20",60,620,0.802
"21",60,620,0.802
"22",60,620,0.804
"23",60,620,0.794
"24",60,620,0.804
"25",60,620,0.799
"26",30,631,0.764
"27",45.1,631,0.688
"28",40,631,0.717
"29",30,631,0.802
"30",45,631,0.695
"31",15,639,0.808
"32",30,639,0.655
"33",90,639,0.309
"34",25,639,0.689
"35",60.1,639,0.437
"36",60,639,0.425
"37",30,639,0.638
"38",30,639,0.659
