"","x","y"
"1",19,9.75
"2",40,9
"3",42,9.6
"4",42,9.75
"5",47,11.25
"6",49,9.45
"7",50,11.25
"8",54,9
"9",56,7.95
"10",56,12
"11",57,8.1
"12",57,10.2
"13",58,8.55
"14",61,7.2
"15",62,7.95
"16",62,8.85
"17",65,8.25
"18",65,8.85
"19",65,9.75
"20",66,8.85
"21",66,9.15
"22",66,10.2
"23",67,9.15
"24",68,7.95
"25",68,8.85
"26",68,9
"27",69,7.8
"28",69,10.05
"29",70,10.5
"30",71,9.15
"31",71,9.45
"32",71,9.45
"33",72,9.45
"34",73,8.1
"35",74,8.85
"36",74,9.6
"37",75,6.45
"38",75,9.75
"39",75,10.2
"40",76,6
"41",77,8.85
"42",80,9
"43",82,9.75
"44",82,10.65
"45",82,13.2
"46",83,7.95
"47",86,7.95
"48",88,9.15
"49",88,9.75
"50",94,9
