"","v26","logs","z"
"1",12.6,2.449,"Coma"
"2",13.12,2.394,"Coma"
"3",14.23,2.285,"Coma"
"4",14.86,2.166,"Coma"
"5",13.92,2.286,"Coma"
"6",14.36,2.209,"Coma"
"7",15.07,2.113,"Coma"
"8",14.07,2.301,"Coma"
"9",14.53,2.243,"Coma"
"10",15.6,2.169,"Coma"
"11",12.27,2.383,"Coma"
"12",14.36,2.311,"Coma"
"13",14.5,2.339,"Coma"
"14",15.52,2.251,"Coma"
"15",13.46,2.361,"Coma"
"16",11.85,2.584,"Coma"
"17",15.31,2.007,"Coma"
"18",13.98,2.18,"Coma"
"19",15.28,2.099,"Coma"
"20",14.26,2.275,"Coma"
"21",14.11,2.32,"Coma"
"22",14.87,2.191,"Coma"
"23",14.82,2.247,"Coma"
"24",15.37,2.059,"Coma"
"25",13.49,2.394,"Coma"
"26",15.04,2.154,"Coma"
"27",13.67,2.274,"Coma"
"28",12.88,2.383,"Coma"
"29",11.39,2.242,"Virgo"
"30",9.98,2.412,"Virgo"
"31",9.37,2.48,"Virgo"
"32",12.24,2.059,"Virgo"
"33",9.2,2.355,"Virgo"
"34",12.17,2.009,"Virgo"
"35",12.01,1.949,"Virgo"
"36",12.5,2.079,"Virgo"
"37",8.56,2.474,"Virgo"
"38",10.28,2.268,"Virgo"
"39",11.28,2.17,"Virgo"
"40",8.79,2.528,"Virgo"
"41",11.92,2.021,"Virgo"
"42",9.95,2.391,"Virgo"
"43",11.3,2.185,"Virgo"
"44",9.88,2.338,"Virgo"
"45",9.82,2.303,"Virgo"
"46",8.9,2.514,"Virgo"
"47",10.97,2.262,"Virgo"
"48",9.28,2.276,"Virgo"
"49",11.37,2.027,"Virgo"
