"","y","tiller","type","nrate","x"
"1",370,"1","Waldron","0",4.2
"2",659,"1","Waldron","50",7.2
"3",935,"1","Waldron","270",9.8
"4",390,"1","Ciano","0",3.6
"5",753,"1","Ciano","50",7.6
"6",733,"1","Ciano","270",10.3
"7",182,"2","Waldron","0",3.1
"8",417,"2","Waldron","50",5.2
"9",686,"2","Waldron","270",7.8
"10",188,"2","Ciano","0",2.8
"11",632,"2","Ciano","50",6
"12",538,"2","Ciano","270",7.7
"13",27,"3","Waldron","0",2
"14",141,"3","Waldron","50",2.8
"15",262,"3","Waldron","270",3.6
"16",34,"3","Ciano","0",2.7
"17",222,"3","Ciano","50",3.1
"18",242,"3","Ciano","270",4.4
