"","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","y"
"1",-1,0,-1,-1,1,1,-1,0,0,1,-1,4
"2",-1,0,-1,-1,1,1,-1,0,0,1,-1,6
"3",-1,0,-1,0,-2,0,2,0,0,0,2,11
"4",-1,0,-1,0,-2,0,2,0,0,0,2,7
"5",-1,0,-1,1,1,-1,-1,0,0,-1,-1,5
"6",-1,0,-1,1,1,-1,-1,0,0,-1,-1,9
"7",1,0,-1,-1,1,-1,1,0,0,1,-1,6
"8",1,0,-1,-1,1,-1,1,0,0,1,-1,4
"9",1,0,-1,0,-2,0,-2,0,0,0,2,13
"10",1,0,-1,0,-2,0,-2,0,0,0,2,15
"11",1,0,-1,1,1,1,1,0,0,-1,-1,9
"12",1,0,-1,1,1,1,1,0,0,-1,-1,7
"13",0,-1,1,-1,1,0,0,1,-1,-1,1,13
"14",0,-1,1,-1,1,0,0,1,-1,-1,1,15
"15",0,-1,1,0,-2,0,0,0,2,0,-2,15
"16",0,-1,1,0,-2,0,0,0,2,0,-2,9
"17",0,-1,1,1,1,0,0,-1,-1,1,1,13
"18",0,-1,1,1,1,0,0,-1,-1,1,1,13
"19",0,1,1,-1,1,0,0,-1,1,-1,1,12
"20",0,1,1,-1,1,0,0,-1,1,-1,1,12
"21",0,1,1,0,-2,0,0,0,-2,0,-2,12
"22",0,1,1,0,-2,0,0,0,-2,0,-2,14
"23",0,1,1,1,1,0,0,1,1,1,1,7
"24",0,1,1,1,1,0,0,1,1,1,1,9
