"","x","y"
"1",8,0.49
"2",8,0.49
"3",10,0.48
"4",10,0.47
"5",10,0.48
"6",10,0.47
"7",12,0.46
"8",12,0.46
"9",12,0.45
"10",12,0.43
"11",14,0.45
"12",14,0.43
"13",14,0.43
"14",16,0.44
"15",16,0.43
"16",16,0.43
"17",18,0.46
"18",18,0.45
"19",20,0.42
"20",20,0.42
"21",20,0.43
"22",22,0.41
"23",22,0.41
"24",22,0.4
"25",24,0.42
"26",24,0.4
"27",24,0.4
"28",26,0.41
"29",26,0.4
"30",26,0.41
"31",28,0.41
"32",28,0.4
"33",30,0.4
"34",30,0.4
"35",30,0.38
"36",32,0.41
"37",32,0.4
"38",34,0.4
"39",36,0.41
"40",36,0.38
"41",38,0.4
"42",38,0.4
"43",40,0.39
"44",42,0.39
