"","r","t","nms"
"1",6.80498578527,-30.3529443619,"Trial 1"
"2",3.38959601061,-25.6114598545,"Trial 1"
"3",5.38147211075,-12.4252274527,"Trial 1"
"4",8.05954021942,13.9613805187,"Trial 1"
"5",5.31822922787,-4.95093284067,"Trial 1"
"6",2.98509993563,-25.6922741909,"Trial 1"
"7",1.96658700238,12.4687641616,"Trial 1"
"8",6.76926540821,-4.91376410703,"Trial 1"
"9",4.07340189872,-10.9673802876,"Trial 1"
"10",6.50437182527,30.8141940549,"Trial 1"
"11",7.556369819,2.47495943114,"Trial 1"
"12",4.04745609407,17.9755437524,"Trial 1"
"13",7.38666249607,0.771130593362,"Trial 1"
"14",5.41362473698,6.13748848563,"Trial 1"
"15",7.47071653116,-14.451963574,"Trial 1"
"16",7.98211021694,28.1845341129,"Trial 1"
"17",4.73781408009,12.538680066,"Trial 1"
"18",4.20645304293,-8.98323033713,"Trial 1"
"19",5.47860480459,5.23128516476,"Trial 1"
"20",4.8245202807,-64.4890025358,"Trial 1"
"21",5.5996006099,11.3574866818,"Trial 1"
"22",6.86679521708,3.45407479151,"Trial 1"
"23",3.08567136626,13.9243466131,"Trial 1"
"24",7.77181094323,-25.3640020468,"Trial 1"
"25",3.6877944351,-16.818006386,"Trial 1"
"26",5.36035668519,-10.2600510306,"Trial 1"
"27",5.1404467393,-13.2121341256,"Trial 1"
"28",6.04544568093,2.5793388653,"Trial 1"
"29",6.83392094019,8.71757496585,"Trial 1"
"30",3.62076946254,-10.6754987192,"Trial 1"
"31",3.9894305834,-2.92636601252,"Trial 1"
"32",5.3118244995,25.1958807548,"Trial 1"
"33",4.60821348028,40.5903293216,"Trial 1"
"34",6.64058471615,-9.12143363019,"Trial 1"
"35",3.05518885448,-24.2973623813,"Trial 1"
"36",7.49256416375,-3.17694450569,"Trial 1"
"37",5.48507817779,10.8504984192,"Trial 1"
"38",3.89779499662,-31.3320597474,"Trial 1"
"39",5.97624511403,4.84956746221,"Trial 1"
"40",5.44706156091,15.0482769541,"Trial 1"
"41",5.37703411681,3.29510469926,"Trial 1"
"42",4.69080578773,-6.19709187313,"Trial 1"
"43",4.71164049118,-8.77857413578,"Trial 1"
"44",3.62991932939,29.5491741194,"Trial 1"
"45",5.95766807637,-5.13744879288,"Trial 1"
"46",5.35712128439,23.0268604879,"Trial 1"
"47",3.84923528282,-6.63481657837,"Trial 1"
"48",6.25050713632,2.75501499186,"Trial 1"
"49",7.12224335715,21.7332501137,"Trial 1"
"50",3.39940423384,-24.8169949601,"Trial 1"
"51",3.51055667227,-7.83054706253,"Trial 1"
"52",4.10099760366,28.3257962102,"Trial 1"
