"","r","t","nms"
"1",1,0,"Figure8"
"2",0.995,6,"Figure8"
"3",0.978,12,"Figure8"
"4",0.951,18,"Figure8"
"5",0.914,24,"Figure8"
"6",0.866,30,"Figure8"
"7",0.809,36,"Figure8"
"8",0.743,42,"Figure8"
"9",0.669,48,"Figure8"
"10",0.588,54,"Figure8"
"11",0.5,60,"Figure8"
"12",0.407,66,"Figure8"
"13",0.309,72,"Figure8"
"14",0.208,78,"Figure8"
"15",0.105,84,"Figure8"
"16",0,90,"Figure8"
"17",0.105,96,"Figure8"
"18",0.208,102,"Figure8"
"19",0.309,108,"Figure8"
"20",0.407,114,"Figure8"
"21",0.5,120,"Figure8"
"22",0.588,126,"Figure8"
"23",0.669,132,"Figure8"
"24",0.743,138,"Figure8"
"25",0.809,144,"Figure8"
"26",0.866,150,"Figure8"
"27",0.914,156,"Figure8"
"28",0.951,162,"Figure8"
"29",0.978,168,"Figure8"
"30",0.995,174,"Figure8"
"31",1,180,"Figure8"
"32",0.995,186,"Figure8"
"33",0.978,192,"Figure8"
"34",0.951,198,"Figure8"
"35",0.914,204,"Figure8"
"36",0.866,210,"Figure8"
"37",0.809,216,"Figure8"
"38",0.743,222,"Figure8"
"39",0.669,228,"Figure8"
"40",0.588,234,"Figure8"
"41",0.5,240,"Figure8"
"42",0.407,246,"Figure8"
"43",0.309,252,"Figure8"
"44",0.208,258,"Figure8"
"45",0.105,264,"Figure8"
"46",0,270,"Figure8"
"47",0.105,276,"Figure8"
"48",0.208,282,"Figure8"
"49",0.309,288,"Figure8"
"50",0.407,294,"Figure8"
"51",0.5,300,"Figure8"
"52",0.588,306,"Figure8"
"53",0.669,312,"Figure8"
"54",0.743,318,"Figure8"
"55",0.809,324,"Figure8"
"56",0.866,330,"Figure8"
"57",0.914,336,"Figure8"
"58",0.951,342,"Figure8"
"59",0.978,348,"Figure8"
"60",0.995,354,"Figure8"
"61",1,360,"Figure8"
"62",1,0,"Cardioid"
"63",0.997,6,"Cardioid"
"64",0.989,12,"Cardioid"
"65",0.976,18,"Cardioid"
"66",0.957,24,"Cardioid"
"67",0.933,30,"Cardioid"
"68",0.905,36,"Cardioid"
"69",0.872,42,"Cardioid"
"70",0.835,48,"Cardioid"
