"","r","t","nms"
"1",77.5,"North","11-14 m/s"
"2",72.5,"N-E","11-14 m/s"
"3",70,"East","11-14 m/s"
"4",45,"S-E","11-14 m/s"
"5",22.5,"South","11-14 m/s"
"6",42.5,"S-W","11-14 m/s"
"7",40,"West","11-14 m/s"
"8",62.5,"N-W","11-14 m/s"
"9",57.5,"North","8-11 m/s"
"10",50,"N-E","8-11 m/s"
"11",45,"East","8-11 m/s"
"12",35,"S-E","8-11 m/s"
"13",20,"South","8-11 m/s"
"14",22.5,"S-W","8-11 m/s"
"15",37.5,"West","8-11 m/s"
"16",55,"N-W","8-11 m/s"
"17",40,"North","5-8 m/s"
"18",30,"N-E","5-8 m/s"
"19",30,"East","5-8 m/s"
"20",35,"S-E","5-8 m/s"
"21",7.5,"South","5-8 m/s"
"22",7.5,"S-W","5-8 m/s"
"23",32.5,"West","5-8 m/s"
"24",40,"N-W","5-8 m/s"
"25",20,"North","less than m/s"
"26",7.5,"N-E","less than m/s"
"27",15,"East","less than m/s"
"28",22.5,"S-E","less than m/s"
"29",2.5,"South","less than m/s"
"30",2.5,"S-W","less than m/s"
"31",12.5,"West","less than m/s"
"32",22.5,"N-W","less than m/s"
