"","PID","Pct","how","b","under","over","y","n"
"1","100021-VBM","100021","VBM",352,40,0,236,76
"2","100022-VBM","100022","VBM",189,19,0,139,31
"3","100023-VBM","100023","VBM",136,18,0,89,29
"4","100024-VBM","100024","VBM",318,25,0,220,73
"5","100025-VBM","100025","VBM",252,22,0,179,51
"6","100026-VBM","100026","VBM",303,14,0,197,92
"7","100027-VBM","100027","VBM",387,34,0,284,69
"8","100028-VBM","100028","VBM",313,69,0,198,46
"9","100029-VBM","100029","VBM",407,24,0,305,78
"10","100030-VBM","100030","VBM",260,17,0,184,59
"11","100031-VBM","100031","VBM",351,28,0,256,67
"12","100032-VBM","100032","VBM",303,24,0,202,77
"13","100033-VBM","100033","VBM",376,14,0,294,68
"14","100034-VBM","100034","VBM",313,14,0,215,84
"15","100035-VBM","100035","VBM",411,25,0,285,101
"16","100036-VBM","100036","VBM",349,29,0,228,92
"17","100037-VBM","100037","VBM",278,23,0,187,68
"18","100038-VBM","100038","VBM",237,21,0,144,72
"19","100039-VBM","100039","VBM",435,16,0,337,82
"20","100040-VBM","100040","VBM",559,25,0,425,109
"21","100041-VBM","100041","VBM",348,59,0,236,53
"22","100042-VBM","100042","VBM",263,48,0,177,38
"23","100043-VBM","100043","VBM",314,27,0,210,77
"24","100044-VBM","100044","VBM",361,18,0,221,122
"25","100045-VBM","100045","VBM",242,20,0,167,55
"26","100046-VBM","100046","VBM",436,24,0,296,116
"27","100047-VBM","100047","VBM",342,8,0,252,82
"28","100048-VBM","100048","VBM",372,19,0,249,104
"29","100049-VBM","100049","VBM",507,20,0,342,145
"30","100050-VBM","100050","VBM",310,30,0,217,63
"31","100051-VBM","100051","VBM",323,16,0,197,110
"32","100052-VBM","100052","VBM",407,4,0,266,137
"33","100053-VBM","100053","VBM",351,35,0,212,104
"34","100054-VBM","100054","VBM",549,18,1,393,137
"35","100055-VBM","100055","VBM",350,22,0,237,91
"36","100056-VBM","100056","VBM",395,12,0,299,84
"37","100057-VBM","100057","VBM",266,16,0,178,72
"38","100058-VBM","100058","VBM",257,7,0,170,80
