"","PID","r","tot.votes","leopold","danner"
"1002 PCT","1002 PCT",1391,594,295,186
"1002 VBM","1002 VBM",1391,573,251,227
"1005 PCT","1005 PCT",1251,556,292,166
"1005 VBM","1005 VBM",1251,436,208,150
"1006 PCT","1006 PCT",1268,484,277,140
"1006 VBM","1006 VBM",1268,537,290,182
"1007 PCT","1007 PCT",1607,692,367,205
"1007 VBM","1007 VBM",1607,630,311,240
"1009 PCT","1009 PCT",79,0,0,0
"1009 VBM","1009 VBM",79,60,27,23
"1010 PCT","1010 PCT",1818,813,448,249
"1010 VBM","1010 VBM",1818,661,375,205
"1011 PCT","1011 PCT",37,0,0,0
"1011 VBM","1011 VBM",37,36,11,16
"1012 PCT","1012 PCT",500,206,109,70
"1012 VBM","1012 VBM",500,181,96,54
"1013 PCT","1013 PCT",1311,560,287,193
"1013 VBM","1013 VBM",1311,557,261,216
"1014 PCT","1014 PCT",100,0,0,0
"1014 VBM","1014 VBM",100,94,38,40
"1015 PCT","1015 PCT",728,350,172,116
"1015 VBM","1015 VBM",728,274,120,101
"1016 PCT","1016 PCT",546,193,81,59
"1016 VBM","1016 VBM",546,264,99,118
"1017 PCT","1017 PCT",1233,633,339,196
"1017 VBM","1017 VBM",1233,399,191,139
"1018 PCT","1018 PCT",109,0,0,0
"1018 VBM","1018 VBM",109,90,39,35
"1019 PCT","1019 PCT",964,448,218,128
"1019 VBM","1019 VBM",964,378,186,128
"1020 PCT","1020 PCT",93,0,0,0
"1020 VBM","1020 VBM",93,84,38,35
"1021 PCT","1021 PCT",13,0,0,0
"1021 VBM","1021 VBM",13,13,1,6
"1022 PCT","1022 PCT",1818,855,452,268
"1022 VBM","1022 VBM",1818,641,316,223
"1023 PCT","1023 PCT",423,138,52,52
"1023 VBM","1023 VBM",423,217,75,80
"1025 PCT","1025 PCT",36,0,0,0
"1025 VBM","1025 VBM",36,32,15,11
"1026 PCT","1026 PCT",462,218,118,55
"1026 VBM","1026 VBM",462,180,88,63
"1027 PCT","1027 PCT",619,264,143,78
"1027 VBM","1027 VBM",619,232,107,98
"1028 PCT","1028 PCT",949,470,223,171
"1028 VBM","1028 VBM",949,365,136,174
"1029 PCT","1029 PCT",434,215,101,76
"1029 VBM","1029 VBM",434,179,82,73
"1031 PCT","1031 PCT",19,0,0,0
"1031 VBM","1031 VBM",19,19,10,5
"1032 PCT","1032 PCT",80,0,0,0
