"","Bad","Good","pred","obs"
"2",0.577094865928253,0.422905134071747,"Bad","Bad"
"5",0.678465156207009,0.321534843792991,"Bad","Bad"
"6",0.303136033119413,0.696863966880587,"Good","Good"
"7",0.0586894406509227,0.941310559349077,"Good","Good"
"19",0.408396306244992,0.591603693755008,"Good","Bad"
"22",0.211159475443736,0.788840524556264,"Good","Good"
"24",0.0282906528101913,0.971709347189809,"Good","Good"
"25",0.0303936454823832,0.969606354517617,"Good","Good"
"36",0.480334753905612,0.519665246094388,"Good","Bad"
"37",0.343986103547218,0.656013896452782,"Good","Good"
"38",0.167376215910557,0.832623784089443,"Good","Bad"
"39",0.0636280107864793,0.936371989213521,"Good","Good"
"41",0.238934428908622,0.761065571091378,"Good","Good"
"42",0.378231344625665,0.621768655374335,"Good","Good"
"45",0.279083533590847,0.720916466409153,"Good","Bad"
"47",0.143336343569443,0.856663656430557,"Good","Good"
"49",0.0701200735353467,0.929879926464653,"Good","Good"
"52",0.12145252081086,0.87854747918914,"Good","Good"
"53",0.112831451790917,0.887168548209083,"Good","Good"
"66",0.131862132317592,0.868137867682408,"Good","Good"
"73",0.195207589843356,0.804792410156644,"Good","Good"
"75",0.578712810060923,0.421287189939077,"Bad","Bad"
"76",0.0522290830459353,0.947770916954065,"Good","Good"
"83",0.188187244541346,0.811812755458654,"Good","Good"
"85",0.143908782410094,0.856091217589906,"Good","Good"
"87",0.327973675026136,0.672026324973864,"Good","Good"
"93",0.0337233474972194,0.966276652502781,"Good","Bad"
"94",0.253423157269903,0.746576842730097,"Good","Good"
"98",0.325514048179412,0.674485951820588,"Good","Good"
"99",0.151051129665857,0.848948870334143,"Good","Good"
"103",0.0680386567912611,0.931961343208739,"Good","Good"
"105",0.0372547495567384,0.962745250443262,"Good","Good"
"114",0.350687837878241,0.649312162121759,"Good","Bad"
"116",0.0267398591642788,0.973260140835721,"Good","Good"
"117",0.404287391341827,0.595712608658173,"Good","Bad"
"118",0.267726166838072,0.732273833161928,"Good","Good"
"119",0.341203342788869,0.658796657211131,"Good","Bad"
"123",0.13135820392504,0.86864179607496,"Good","Good"
"127",0.269136842298579,0.730863157701421,"Good","Good"
"128",0.293940054026107,0.706059945973893,"Good","Bad"
"129",0.071630560521143,0.928369439478857,"Good","Good"
"133",0.229889235352254,0.770110764647746,"Good","Good"
"138",0.0660929870311121,0.933907012968888,"Good","Bad"
"141",0.107619424987857,0.892380575012143,"Good","Good"
"146",0.62474002151118,0.37525997848882,"Bad","Good"
"148",0.0336372953570576,0.966362704642942,"Good","Good"
"157",0.0310985349433981,0.968901465056602,"Good","Good"
"170",0.291234201313794,0.708765798686206,"Good","Bad"
"175",0.710309040985429,0.289690959014571,"Bad","Bad"
"187",0.190982888543948,0.809017111456052,"Good","Bad"
"192",0.668609464840761,0.331390535159239,"Bad","Bad"
"196",0.214608063768701,0.785391936231299,"Good","Bad"
"199",0.146230863507062,0.853769136492938,"Good","Good"
"203",0.124035110637035,0.875964889362965,"Good","Good"
"214",0.0443525004519785,0.955647499548022,"Good","Bad"
"217",0.529141746326663,0.470858253673337,"Bad","Good"
"218",0.155884935274977,0.844115064725023,"Good","Good"
"219",0.696848325328223,0.303151674671777,"Bad","Good"
"220",0.0711691297174113,0.928830870282589,"Good","Good"
"224",0.0630726315752056,0.936927368424794,"Good","Good"
"225",0.0458967850682377,0.954103214931762,"Good","Good"
"227",0.767616047364036,0.232383952635964,"Bad","Bad"
"233",0.0594583369828473,0.940541663017153,"Good","Good"
"236",0.61940344267979,0.38059655732021,"Bad","Bad"
"243",0.799180172812059,0.200819827187941,"Bad","Bad"
"246",0.061112671444404,0.938887328555596,"Good","Good"
"248",0.677667892183111,0.322332107816889,"Bad","Good"
"250",0.307957967551461,0.692042032448539,"Good","Bad"
"261",0.263801362640983,0.736198637359017,"Good","Good"
"263",0.494317224516893,0.505682775483107,"Good","Good"
"266",0.278176877662932,0.721823122337068,"Good","Bad"
"272",0.0221758668294397,0.97782413317056,"Good","Good"
"273",0.951077659012402,0.0489223409875983,"Bad","Good"
"276",0.0484996779488436,0.951500322051156,"Good","Good"
"283",0.0879171493570396,0.91208285064296,"Good","Good"
"303",0.0525027861363665,0.947497213863634,"Good","Bad"
"312",0.266001562831977,0.733998437168023,"Good","Good"
"318",0.088776730298329,0.911223269701671,"Good","Good"
"323",0.105132101323068,0.894867898676932,"Good","Good"
"325",0.118572718881021,0.881427281118979,"Good","Good"
"334",0.271258349197975,0.728741650802025,"Good","Bad"
"344",0.314085231315159,0.685914768684841,"Good","Good"
"347",0.0804637196439464,0.919536280356054,"Good","Good"
"354",0.824147507264935,0.175852492735065,"Bad","Bad"
"370",0.177595473583501,0.822404526416499,"Good","Good"
"371",0.163815097009732,0.836184902990268,"Good","Good"
"374",0.248378017333887,0.751621982666113,"Good","Good"
"398",0.255329845646728,0.744670154353272,"Good","Good"
"405",0.261992155895694,0.738007844104306,"Good","Good"
"407",0.00467463092919762,0.995325369070802,"Good","Good"
"409",0.231832898679446,0.768167101320554,"Good","Good"
"410",0.0616046992042198,0.93839530079578,"Good","Bad"
"417",0.616847374381025,0.383152625618975,"Bad","Bad"
"418",0.697099362602475,0.302900637397525,"Bad","Good"
"426",0.172959652660146,0.827040347339854,"Good","Good"
"429",0.0745221504192181,0.925477849580782,"Good","Good"
"430",0.179339633367324,0.820660366632676,"Good","Bad"
"434",0.114146985373687,0.885853014626313,"Good","Good"
"443",0.352844921362098,0.647155078637902,"Good","Good"
"447",0.810006406907486,0.189993593092513,"Bad","Bad"
"449",0.0225704066524566,0.977429593347543,"Good","Good"
"450",0.151880783095947,0.848119216904053,"Good","Bad"
"459",0.428569976914262,0.571430023085738,"Good","Good"
"468",0.307463973640864,0.692536026359136,"Good","Good"
"481",0.0871935039912853,0.912806496008715,"Good","Good"
"484",0.0645228826702969,0.935477117329703,"Good","Good"
"487",0.0422254677442436,0.957774532255756,"Good","Good"
"491",0.0638010171071458,0.936198982892854,"Good","Good"
"499",0.116992853880623,0.883007146119377,"Good","Good"
"501",0.826908858081894,0.173091141918106,"Bad","Bad"
"506",0.0404770042689931,0.959522995731007,"Good","Bad"
"517",0.165246663550285,0.834753336449715,"Good","Good"
"522",0.395760776695181,0.604239223304819,"Good","Bad"
"528",0.00772488468805421,0.992275115311946,"Good","Good"
"542",0.186834533161891,0.813165466838109,"Good","Good"
"550",0.0194756915378507,0.980524308462149,"Good","Good"
"552",0.106079629847391,0.893920370152609,"Good","Good"
"554",0.345011172861083,0.654988827138917,"Good","Good"
"555",0.166738200997288,0.833261799002712,"Good","Good"
"570",0.737874459494706,0.262125540505294,"Bad","Bad"
"590",0.0984545870448559,0.901545412955144,"Good","Bad"
"593",0.172495192039678,0.827504807960322,"Good","Good"
"597",0.786938429253209,0.213061570746791,"Bad","Bad"
"598",0.431555332055948,0.568444667944052,"Good","Bad"
"602",0.33317636083971,0.66682363916029,"Good","Bad"
"610",0.037519259050505,0.962480740949495,"Good","Good"
"615",0.074544113155382,0.925455886844618,"Good","Bad"
"624",0.76673132308942,0.23326867691058,"Bad","Good"
"625",0.400561100851159,0.599438899148841,"Good","Bad"
"626",0.0602350648522531,0.939764935147747,"Good","Good"
"632",0.721031797495751,0.278968202504249,"Bad","Bad"
"637",0.0953853763162831,0.904614623683717,"Good","Good"
"643",0.159859706524725,0.840140293475275,"Good","Bad"
"646",0.367494434936697,0.632505565063303,"Good","Bad"
"647",0.688754498138517,0.311245501861484,"Bad","Good"
"649",0.34900800903156,0.65099199096844,"Good","Bad"
"652",0.243463607585034,0.756536392414966,"Good","Bad"
"655",0.0116922627103843,0.988307737289616,"Good","Good"
"656",0.716769724541237,0.283230275458763,"Bad","Good"
"662",0.519541027978998,0.480458972021002,"Bad","Bad"
"664",0.26334913216996,0.73665086783004,"Good","Good"
"665",0.0428601947095788,0.957139805290421,"Good","Good"
"671",0.0561917492646675,0.943808250735332,"Good","Good"
"678",0.739771724872392,0.260228275127608,"Bad","Bad"
"680",0.161273501933742,0.838726498066258,"Good","Good"
"681",0.168134486417195,0.831865513582805,"Good","Good"
"684",0.155336090306276,0.844663909693724,"Good","Good"
"689",0.0876512573555066,0.912348742644493,"Good","Good"
"691",0.355275138651827,0.644724861348173,"Good","Good"
"693",0.361896010968669,0.638103989031331,"Good","Good"
"702",0.264754245511205,0.735245754488795,"Good","Bad"
"709",0.271755266861065,0.728244733138935,"Good","Good"
"711",0.0530095061393631,0.946990493860637,"Good","Good"
"714",0.164745651717737,0.835254348282263,"Good","Good"
"726",0.0669221528712026,0.933077847128797,"Good","Good"
"743",0.0457201010226155,0.954279898977385,"Good","Good"
"745",0.300774343301614,0.699225656698386,"Good","Good"
"748",0.541500550525235,0.458499449474765,"Bad","Bad"
"751",0.240897237872806,0.759102762127194,"Good","Good"
"763",0.396259379429667,0.603740620570333,"Good","Good"
"767",0.689820715720779,0.310179284279221,"Bad","Bad"
"768",0.0230305853997852,0.976969414600215,"Good","Good"
"792",0.0238516874406456,0.976148312559354,"Good","Good"
"793",0.0155569624771166,0.984443037522883,"Good","Good"
"798",0.110600899919699,0.889399100080301,"Good","Good"
"799",0.0868651160040768,0.913134883995923,"Good","Good"
"804",0.0235551526590223,0.976444847340978,"Good","Good"
"812",0.0579754252048612,0.942024574795139,"Good","Good"
"817",0.0284730605360982,0.971526939463902,"Good","Good"
"827",0.566882316103325,0.433117683896675,"Bad","Bad"
"831",0.105822633134378,0.894177366865622,"Good","Good"
"839",0.0453260974634526,0.954673902536547,"Good","Good"
"846",0.0714912340841267,0.928508765915873,"Good","Good"
"849",0.0643762641678456,0.935623735832154,"Good","Good"
"850",0.148619605281892,0.851380394718108,"Good","Bad"
"854",0.78819822618759,0.21180177381241,"Bad","Bad"
"861",0.0376373022804916,0.962362697719508,"Good","Good"
"872",0.0330547149537721,0.966945285046228,"Good","Good"
"888",0.788177268394638,0.211822731605362,"Bad","Bad"
"899",0.03659915451434,0.96340084548566,"Good","Good"
"901",0.171456739334287,0.828543260665713,"Good","Bad"
"906",0.349312757856982,0.650687242143018,"Good","Good"
"917",0.022851154937458,0.977148845062542,"Good","Good"
"918",0.629093611648957,0.370906388351043,"Bad","Bad"
"919",0.573446719868933,0.426553280131067,"Bad","Bad"
"922",0.197053893046508,0.802946106953492,"Good","Good"
"934",0.0228745918309767,0.977125408169023,"Good","Good"
"938",0.475142603040775,0.524857396959225,"Good","Good"
"946",0.932711342824863,0.0672886571751366,"Bad","Good"
"966",0.355422045692648,0.644577954307352,"Good","Good"
"969",0.100395938724702,0.899604061275298,"Good","Good"
"972",0.184769700064979,0.815230299935021,"Good","Good"
"981",0.0815540968873049,0.918445903112695,"Good","Bad"
"983",0.32666326224009,0.67333673775991,"Good","Good"
"985",0.0235116530049022,0.976488346995098,"Good","Good"
"988",0.0348826186136152,0.965117381386385,"Good","Good"
"990",0.118361391684491,0.881638608315509,"Good","Good"
"992",0.30396241008984,0.69603758991016,"Good","Good"
"996",0.0420844484477387,0.957915551552261,"Good","Good"
"998",0.0884491204616267,0.911550879538373,"Good","Good"
