"","x","y"
"1",26960,NA
"2",-233678,502321
"3",-224171,489678
"4",-230638,475416
"5",-246602,473795
"6",-256106,486428
"7",-249649,500692
"8",-233678,502321
"9",26854,NA
"10",-208207,491299
"11",-198717,478650
"12",-205193,464390
"13",-221150,462776
"14",-230638,475416
"15",-224171,489678
"16",-208207,491299
"17",27066,NA
"18",-256106,486428
"19",-246602,473795
"20",-253072,459541
"21",-269036,457918
"22",-278537,470542
"23",-272077,484797
"24",-256106,486428
"25",25138,NA
"26",154689,486270
"27",164050,473513
"28",157503,459232
"29",141604,457704
"30",132245,470452
"31",138783,484736
"32",154689,486270
"33",24516,NA
"34",275307,484120
"35",284626,471331
"36",278056,457046
"37",262175,455547
"38",252857,468327
"39",259419,482615
"40",275307,484120
"41",26747,NA
"42",-182760,480262
"43",-173285,467606
"44",-179771,453348
"45",-195722,451743
"46",-205193,464390
"47",-198717,478650
"48",-182760,480262
"49",24768,NA
"50",227637,479595
"51",236970,466819
"52",230407,452538
"53",214520,451028
"54",205189,463794
"55",211743,478080
"56",227637,479595
"57",26961,NA
"58",-230638,475416
"59",-221150,462776
"60",-227629,448525
"61",-243586,446910
"62",-253072,459541
"63",-246602,473795
"64",-230638,475416
"65",25016,NA
"66",179949,475039
"67",189296,462277
"68",182741,447998
"69",166848,446478
"70",157503,459232
"71",164050,473513
"72",179949,475039
"73",25260,NA
"74",132245,470452
"75",141604,457704
"76",135057,443429
"77",119158,441899
"78",109800,454638
"79",116339,468916
"80",132245,470452
"81",24643,NA
"82",252857,468327
"83",262175,455547
"84",255604,441268
"85",239724,439766
"86",230407,452538
"87",236970,466819
"88",252857,468327
"89",25500,NA
"90",84522,465834
"91",93895,453100
"92",87355,438829
"93",71450,437289
"94",62079,450014
"95",68610,464288
"96",84522,465834
"97",26855,NA
"98",-205193,464390
"99",-195722,451743
"100",-202210,437493
"101",-218161,435887
"102",-227629,448525
"103",-221150,462776
"104",-205193,464390
"105",24893,NA
"106",205189,463794
"107",214520,451028
"108",207957,436752
"109",192071,435240
"110",182741,447998
"111",189296,462277
"112",205189,463794
"113",27067,NA
"114",-253072,459541
"115",-243586,446910
"116",-250069,432667
"117",-266027,431051
"118",-275508,443672
"119",-269036,457918
"120",-253072,459541
"121",25139,NA
"122",157503,459232
"123",166848,446478
"124",160292,432207
"125",144400,430684
"126",135057,443429
"127",141604,457704
"128",157503,459232
"129",24517,NA
"130",278056,457046
"131",287360,444261
"132",280781,429986
"133",264907,428492
"134",255604,441268
"135",262175,455547
"136",278056,457046
"137",25381,NA
"138",109800,454638
"139",119158,441899
"140",112609,427631
"141",96711,426099
"142",87355,438829
"143",93895,453100
"144",109800,454638
"145",26748,NA
"146",-179771,453348
"147",-170316,440695
"148",-176814,426446
"149",-192758,424849
"150",-202210,437493
"151",-195722,451743
"152",-179771,453348
"153",24769,NA
"154",230407,452538
"155",239724,439766
"156",233152,425494
"157",217272,423989
"158",207957,436752
"159",214520,451028
"160",230407,452538
"161",25619,NA
"162",62079,450014
"163",71450,437289
"164",64908,423025
"165",49004,421483
"166",39634,434200
"167",46168,448466
"168",62079,450014
"169",26962,NA
"170",-227629,448525
"171",-218161,435887
"172",-224653,421645
"173",-240604,420038
"174",-250069,432667
"175",-243586,446910
"176",-227629,448525
"177",25017,NA
"178",182741,447998
"179",192071,435240
"180",185506,420971
"181",169621,419457
"182",160292,432207
"183",166848,446478
"184",182741,447998
"185",24390,NA
"186",303235,445753
"187",312524,432964
"188",305938,418692
"189",290070,417205
"190",280781,429986
"191",287360,444261
"192",303235,445753
"193",25853,NA
"194",14339,445360
"195",23724,432650
"196",17188,418390
"197",1278,416838
"198",-8105,429540
"199",-1578,443802
"200",14339,445360
"201",25261,NA
"202",135057,443429
"203",144400,430684
"204",137843,416419
"205",121951,414895
"206",112609,427631
"207",119158,441899
"208",135057,443429
"209",26640,NA
"210",-154372,442291
"211",-144933,429631
